pop_rank,file,metro,cbsa_code,rows
1,new_york_ny.csv,"New York-Newark-Jersey City, NY-NJ-PA",35620,2331
2,los_angeles_ca.csv,"Los Angeles-Long Beach-Anaheim, CA",31080,2331
3,chicago_il.csv,"Chicago-Naperville-Elgin, IL-IN-WI",16980,2331
4,dallas_fort_worth_tx.csv,"Dallas-Fort Worth-Arlington, TX",19100,2331
5,houston_tx.csv,"Houston-The Woodlands-Sugar Land, TX",26420,2331
6,atlanta_ga.csv,"Atlanta-Sandy Springs-Alpharetta, GA",12060,2331
7,washington_dc.csv,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,2331
8,philadelphia_pa.csv,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,2331
9,miami_fl.csv,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,2331
10,phoenix_az.csv,"Phoenix-Mesa-Chandler, AZ",38060,2331
11,boston_ma.csv,"Boston-Cambridge-Newton, MA-NH",14460,2331
12,riverside_ca.csv,"Riverside-San Bernardino-Ontario, CA",40140,2331
13,san_francisco_ca.csv,"San Francisco-Oakland-Berkeley, CA",41860,2331
14,detroit_mi.csv,"Detroit-Warren-Dearborn, MI",19820,2331
15,seattle_wa.csv,"Seattle-Tacoma-Bellevue, WA",42660,2331
16,minneapolis_mn.csv,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,2331
17,tampa_fl.csv,"Tampa-St. Petersburg-Clearwater, FL",45300,2331
18,san_diego_ca.csv,"San Diego-Chula Vista-Carlsbad, CA",41740,2331
19,denver_co.csv,"Denver-Aurora-Lakewood, CO",19740,2331
20,baltimore_md.csv,"Baltimore-Columbia-Towson, MD",12580,2331
21,st_louis_mo.csv,"St. Louis, MO-IL",41180,2331
22,orlando_fl.csv,"Orlando-Kissimmee-Sanford, FL",36740,2331
23,charlotte_nc.csv,"Charlotte-Concord-Gastonia, NC-SC",16740,2331
24,san_antonio_tx.csv,"San Antonio-New Braunfels, TX",41700,2331
25,portland_or.csv,"Portland-Vancouver-Hillsboro, OR-WA",38900,2331
26,sacramento_ca.csv,"Sacramento-Roseville-Folsom, CA",40900,2331
27,pittsburgh_pa.csv,"Pittsburgh, PA",38300,2331
28,austin_tx.csv,"Austin-Round Rock-Georgetown, TX",12420,2331
29,las_vegas_nv.csv,"Las Vegas-Henderson-Paradise, NV",29820,2331
30,cincinnati_oh.csv,"Cincinnati, OH-KY-IN",17140,2331
