date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100
2020-02-02,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.05
2020-02-03,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.11
2020-02-04,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.18
2020-02-05,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.23
2020-02-06,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.34
2020-02-07,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.14
2020-02-08,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.09
2020-02-09,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.01
2020-02-10,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.03
2020-02-11,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.03
2020-02-12,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.13
2020-02-13,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.23
2020-02-14,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.5
2020-02-15,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.32
2020-02-16,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.29
2020-02-17,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.24
2020-02-18,"Atlanta-Sandy Springs-Alpharetta, GA",12060,100.15
2020-02-19,"Atlanta-Sandy Springs-Alpharetta, GA",12060,99.98
2020-02-20,"Atlanta-Sandy Springs-Alpharetta, GA",12060,99.82
2020-02-21,"Atlanta-Sandy Springs-Alpharetta, GA",12060,99.67
2020-02-22,"Atlanta-Sandy Springs-Alpharetta, GA",12060,99.63
2020-02-23,"Atlanta-Sandy Springs-Alpharetta, GA",12060,99.62
2020-02-24,"Atlanta-Sandy Springs-Alpharetta, GA",12060,99.55
2020-02-25,"Atlanta-Sandy Springs-Alpharetta, GA",12060,99.56
