date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Baltimore-Columbia-Towson, MD",12580,100
2020-02-02,"Baltimore-Columbia-Towson, MD",12580,100.08
2020-02-03,"Baltimore-Columbia-Towson, MD",12580,100.14
2020-02-04,"Baltimore-Columbia-Towson, MD",12580,100.17
2020-02-05,"Baltimore-Columbia-Towson, MD",12580,100.32
2020-02-06,"Baltimore-Columbia-Towson, MD",12580,100.55
2020-02-07,"Baltimore-Columbia-Towson, MD",12580,100.72
2020-02-08,"Baltimore-Columbia-Towson, MD",12580,100.89
2020-02-09,"Baltimore-Columbia-Towson, MD",12580,100.96
2020-02-10,"Baltimore-Columbia-Towson, MD",12580,101.12
2020-02-11,"Baltimore-Columbia-Towson, MD",12580,101.24
2020-02-12,"Baltimore-Columbia-Towson, MD",12580,101.33
2020-02-13,"Baltimore-Columbia-Towson, MD",12580,101.33
2020-02-14,"Baltimore-Columbia-Towson, MD",12580,101.38
2020-02-15,"Baltimore-Columbia-Towson, MD",12580,101.15
2020-02-16,"Baltimore-Columbia-Towson, MD",12580,101.13
2020-02-17,"Baltimore-Columbia-Towson, MD",12580,101.08
2020-02-18,"Baltimore-Columbia-Towson, MD",12580,101.09
2020-02-19,"Baltimore-Columbia-Towson, MD",12580,100.98
2020-02-20,"Baltimore-Columbia-Towson, MD",12580,100.91
2020-02-21,"Baltimore-Columbia-Towson, MD",12580,100.82
2020-02-22,"Baltimore-Columbia-Towson, MD",12580,100.86
2020-02-23,"Baltimore-Columbia-Towson, MD",12580,100.95
2020-02-24,"Baltimore-Columbia-Towson, MD",12580,101.01
2020-02-25,"Baltimore-Columbia-Towson, MD",12580,101.13
2020-02-26,"Baltimore-Columbia-Towson, MD",12580,101.31
2020-02-27,"Baltimore-Columbia-Towson, MD",12580,101.4
2020-02-28,"Baltimore-Columbia-Towson, MD",12580,101.52
2020-02-29,"Baltimore-Columbia-Towson, MD",12580,101.64
2020-03-01,"Baltimore-Columbia-Towson, MD",12580,101.65
2020-03-02,"Baltimore-Columbia-Towson, MD",12580,101.7
2020-03-03,"Baltimore-Columbia-Towson, MD",12580,101.61
2020-03-04,"Baltimore-Columbia-Towson, MD",12580,101.57
2020-03-05,"Baltimore-Columbia-Towson, MD",12580,101.67
2020-03-06,"Baltimore-Columbia-Towson, MD",12580,101.73
2020-03-07,"Baltimore-Columbia-Towson, MD",12580,101.82
2020-03-08,"Baltimore-Columbia-Towson, MD",12580,101.86
2020-03-09,"Baltimore-Columbia-Towson, MD",12580,101.81
2020-03-10,"Baltimore-Columbia-Towson, MD",12580,101.87
2020-03-11,"Baltimore-Columbia-Towson, MD",12580,101.85
2020-03-12,"Baltimore-Columbia-Towson, MD",12580,101.76
2020-03-13,"Baltimore-Columbia-Towson, MD",12580,101.63
2020-03-14,"Baltimore-Columbia-Towson, MD",12580,101.54
2020-03-15,"Baltimore-Columbia-Towson, MD",12580,101.32
2020-03-16,"Baltimore-Columbia-Towson, MD",12580,101.14
