date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Boston-Cambridge-Newton, MA-NH",14460,100
2020-02-02,"Boston-Cambridge-Newton, MA-NH",14460,99.97
2020-02-03,"Boston-Cambridge-Newton, MA-NH",14460,99.9
2020-02-04,"Boston-Cambridge-Newton, MA-NH",14460,99.85
2020-02-05,"Boston-Cambridge-Newton, MA-NH",14460,99.86
2020-02-06,"Boston-Cambridge-Newton, MA-NH",14460,99.98
2020-02-07,"Boston-Cambridge-Newton, MA-NH",14460,100
2020-02-08,"Boston-Cambridge-Newton, MA-NH",14460,100.02
2020-02-09,"Boston-Cambridge-Newton, MA-NH",14460,99.99
2020-02-10,"Boston-Cambridge-Newton, MA-NH",14460,100.09
2020-02-11,"Boston-Cambridge-Newton, MA-NH",14460,100.1
2020-02-12,"Boston-Cambridge-Newton, MA-NH",14460,100.09
2020-02-13,"Boston-Cambridge-Newton, MA-NH",14460,100.06
2020-02-14,"Boston-Cambridge-Newton, MA-NH",14460,100.02
2020-02-15,"Boston-Cambridge-Newton, MA-NH",14460,99.74
2020-02-16,"Boston-Cambridge-Newton, MA-NH",14460,99.73
2020-02-17,"Boston-Cambridge-Newton, MA-NH",14460,99.67
2020-02-18,"Boston-Cambridge-Newton, MA-NH",14460,99.55
2020-02-19,"Boston-Cambridge-Newton, MA-NH",14460,99.48
2020-02-20,"Boston-Cambridge-Newton, MA-NH",14460,99.32
2020-02-21,"Boston-Cambridge-Newton, MA-NH",14460,99.26
2020-02-22,"Boston-Cambridge-Newton, MA-NH",14460,99.32
2020-02-23,"Boston-Cambridge-Newton, MA-NH",14460,99.31
2020-02-24,"Boston-Cambridge-Newton, MA-NH",14460,99.2
2020-02-25,"Boston-Cambridge-Newton, MA-NH",14460,99.26
2020-02-26,"Boston-Cambridge-Newton, MA-NH",14460,99.28
2020-02-27,"Boston-Cambridge-Newton, MA-NH",14460,99.32
2020-02-28,"Boston-Cambridge-Newton, MA-NH",14460,99.36
2020-02-29,"Boston-Cambridge-Newton, MA-NH",14460,99.44
2020-03-01,"Boston-Cambridge-Newton, MA-NH",14460,99.44
2020-03-02,"Boston-Cambridge-Newton, MA-NH",14460,99.39
2020-03-03,"Boston-Cambridge-Newton, MA-NH",14460,99.26
2020-03-04,"Boston-Cambridge-Newton, MA-NH",14460,99.14
2020-03-05,"Boston-Cambridge-Newton, MA-NH",14460,98.98
2020-03-06,"Boston-Cambridge-Newton, MA-NH",14460,98.89
2020-03-07,"Boston-Cambridge-Newton, MA-NH",14460,98.77
2020-03-08,"Boston-Cambridge-Newton, MA-NH",14460,98.66
2020-03-09,"Boston-Cambridge-Newton, MA-NH",14460,98.56
2020-03-10,"Boston-Cambridge-Newton, MA-NH",14460,98.47
2020-03-11,"Boston-Cambridge-Newton, MA-NH",14460,98.33
2020-03-12,"Boston-Cambridge-Newton, MA-NH",14460,98.22
2020-03-13,"Boston-Cambridge-Newton, MA-NH",14460,97.94
2020-03-14,"Boston-Cambridge-Newton, MA-NH",14460,97.62
2020-03-15,"Boston-Cambridge-Newton, MA-NH",14460,97.23
2020-03-16,"Boston-Cambridge-Newton, MA-NH",14460,96.98
2020-03-17,"Boston-Cambridge-Newton, MA-NH",14460,96.45
2020-03-18,"Boston-Cambridge-Newton, MA-NH",14460,95.61
2020-03-19,"Boston-Cambridge-Newton, MA-NH",14460,94.62
2020-03-20,"Boston-Cambridge-Newton, MA-NH",14460,93.44
2020-03-21,"Boston-Cambridge-Newton, MA-NH",14460,91.75
2020-03-22,"Boston-Cambridge-Newton, MA-NH",14460,90.26
2020-03-23,"Boston-Cambridge-Newton, MA-NH",14460,88.61
2020-03-24,"Boston-Cambridge-Newton, MA-NH",14460,87.08
2020-03-25,"Boston-Cambridge-Newton, MA-NH",14460,85.58
2020-03-26,"Boston-Cambridge-Newton, MA-NH",14460,84.07
2020-03-27,"Boston-Cambridge-Newton, MA-NH",14460,82.42
2020-03-28,"Boston-Cambridge-Newton, MA-NH",14460,81.22
2020-03-29,"Boston-Cambridge-Newton, MA-NH",14460,79.81
2020-03-30,"Boston-Cambridge-Newton, MA-NH",14460,78.48
2020-03-31,"Boston-Cambridge-Newton, MA-NH",14460,77.17
2020-04-01,"Boston-Cambridge-Newton, MA-NH",14460,75.91
2020-04-02,"Boston-Cambridge-Newton, MA-NH",14460,74.7
2020-04-03,"Boston-Cambridge-Newton, MA-NH",14460,73.7
2020-04-04,"Boston-Cambridge-Newton, MA-NH",14460,72.5
2020-04-05,"Boston-Cambridge-Newton, MA-NH",14460,71.24
2020-04-06,"Boston-Cambridge-Newton, MA-NH",14460,70.01
2020-04-07,"Boston-Cambridge-Newton, MA-NH",14460,68.69
2020-04-08,"Boston-Cambridge-Newton, MA-NH",14460,67.6
2020-04-09,"Boston-Cambridge-Newton, MA-NH",14460,66.47
2020-04-10,"Boston-Cambridge-Newton, MA-NH",14460,65.43
2020-04-11,"Boston-Cambridge-Newton, MA-NH",14460,64.71
2020-04-12,"Boston-Cambridge-Newton, MA-NH",14460,63.99
2020-04-13,"Boston-Cambridge-Newton, MA-NH",14460,63.52
2020-04-14,"Boston-Cambridge-Newton, MA-NH",14460,63.26
2020-04-15,"Boston-Cambridge-Newton, MA-NH",14460,63.07
2020-04-16,"Boston-Cambridge-Newton, MA-NH",14460,62.88
2020-04-17,"Boston-Cambridge-Newton, MA-NH",14460,62.67
2020-04-18,"Boston-Cambridge-Newton, MA-NH",14460,62.36
2020-04-19,"Boston-Cambridge-Newton, MA-NH",14460,62.16
2020-04-20,"Boston-Cambridge-Newton, MA-NH",14460,61.86
2020-04-21,"Boston-Cambridge-Newton, MA-NH",14460,61.51
2020-04-22,"Boston-Cambridge-Newton, MA-NH",14460,61.08
2020-04-23,"Boston-Cambridge-Newton, MA-NH",14460,60.71
