date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Charlotte-Concord-Gastonia, NC-SC",16740,100
2020-02-02,"Charlotte-Concord-Gastonia, NC-SC",16740,100.01
2020-02-03,"Charlotte-Concord-Gastonia, NC-SC",16740,99.96
2020-02-04,"Charlotte-Concord-Gastonia, NC-SC",16740,99.97
2020-02-05,"Charlotte-Concord-Gastonia, NC-SC",16740,100.04
2020-02-06,"Charlotte-Concord-Gastonia, NC-SC",16740,100.22
2020-02-07,"Charlotte-Concord-Gastonia, NC-SC",16740,100.17
2020-02-08,"Charlotte-Concord-Gastonia, NC-SC",16740,100.22
2020-02-09,"Charlotte-Concord-Gastonia, NC-SC",16740,100.23
2020-02-10,"Charlotte-Concord-Gastonia, NC-SC",16740,100.32
2020-02-11,"Charlotte-Concord-Gastonia, NC-SC",16740,100.38
2020-02-12,"Charlotte-Concord-Gastonia, NC-SC",16740,100.4
2020-02-13,"Charlotte-Concord-Gastonia, NC-SC",16740,100.36
2020-02-14,"Charlotte-Concord-Gastonia, NC-SC",16740,100.47
2020-02-15,"Charlotte-Concord-Gastonia, NC-SC",16740,100.3
2020-02-16,"Charlotte-Concord-Gastonia, NC-SC",16740,100.25
2020-02-17,"Charlotte-Concord-Gastonia, NC-SC",16740,100.23
2020-02-18,"Charlotte-Concord-Gastonia, NC-SC",16740,100.09
2020-02-19,"Charlotte-Concord-Gastonia, NC-SC",16740,99.91
2020-02-20,"Charlotte-Concord-Gastonia, NC-SC",16740,99.78
2020-02-21,"Charlotte-Concord-Gastonia, NC-SC",16740,99.55
2020-02-22,"Charlotte-Concord-Gastonia, NC-SC",16740,99.35
2020-02-23,"Charlotte-Concord-Gastonia, NC-SC",16740,99.31
2020-02-24,"Charlotte-Concord-Gastonia, NC-SC",16740,99.16
2020-02-25,"Charlotte-Concord-Gastonia, NC-SC",16740,99.12
2020-02-26,"Charlotte-Concord-Gastonia, NC-SC",16740,99.14
2020-02-27,"Charlotte-Concord-Gastonia, NC-SC",16740,99.08
2020-02-28,"Charlotte-Concord-Gastonia, NC-SC",16740,99.12
2020-02-29,"Charlotte-Concord-Gastonia, NC-SC",16740,99.26
2020-03-01,"Charlotte-Concord-Gastonia, NC-SC",16740,99.17
2020-03-02,"Charlotte-Concord-Gastonia, NC-SC",16740,99.14
2020-03-03,"Charlotte-Concord-Gastonia, NC-SC",16740,99.03
2020-03-04,"Charlotte-Concord-Gastonia, NC-SC",16740,98.9
2020-03-05,"Charlotte-Concord-Gastonia, NC-SC",16740,98.74
2020-03-06,"Charlotte-Concord-Gastonia, NC-SC",16740,98.59
2020-03-07,"Charlotte-Concord-Gastonia, NC-SC",16740,98.29
2020-03-08,"Charlotte-Concord-Gastonia, NC-SC",16740,98.09
2020-03-09,"Charlotte-Concord-Gastonia, NC-SC",16740,97.91
