date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Cincinnati, OH-KY-IN",17140,100
2020-02-02,"Cincinnati, OH-KY-IN",17140,100.04
2020-02-03,"Cincinnati, OH-KY-IN",17140,100.07
2020-02-04,"Cincinnati, OH-KY-IN",17140,100.11
2020-02-05,"Cincinnati, OH-KY-IN",17140,100.23
2020-02-06,"Cincinnati, OH-KY-IN",17140,100.41
2020-02-07,"Cincinnati, OH-KY-IN",17140,100.39
2020-02-08,"Cincinnati, OH-KY-IN",17140,100.4
2020-02-09,"Cincinnati, OH-KY-IN",17140,100.3
2020-02-10,"Cincinnati, OH-KY-IN",17140,100.28
2020-02-11,"Cincinnati, OH-KY-IN",17140,100.2
2020-02-12,"Cincinnati, OH-KY-IN",17140,100.08
2020-02-13,"Cincinnati, OH-KY-IN",17140,99.93
2020-02-14,"Cincinnati, OH-KY-IN",17140,99.89
2020-02-15,"Cincinnati, OH-KY-IN",17140,99.66
2020-02-16,"Cincinnati, OH-KY-IN",17140,99.59
2020-02-17,"Cincinnati, OH-KY-IN",17140,99.51
2020-02-18,"Cincinnati, OH-KY-IN",17140,99.33
2020-02-19,"Cincinnati, OH-KY-IN",17140,99.1
2020-02-20,"Cincinnati, OH-KY-IN",17140,98.78
2020-02-21,"Cincinnati, OH-KY-IN",17140,98.69
2020-02-22,"Cincinnati, OH-KY-IN",17140,98.72
2020-02-23,"Cincinnati, OH-KY-IN",17140,98.79
2020-02-24,"Cincinnati, OH-KY-IN",17140,98.83
2020-02-25,"Cincinnati, OH-KY-IN",17140,99.02
2020-02-26,"Cincinnati, OH-KY-IN",17140,99.2
2020-02-27,"Cincinnati, OH-KY-IN",17140,99.48
2020-02-28,"Cincinnati, OH-KY-IN",17140,99.54
2020-02-29,"Cincinnati, OH-KY-IN",17140,99.56
2020-03-01,"Cincinnati, OH-KY-IN",17140,99.46
2020-03-02,"Cincinnati, OH-KY-IN",17140,99.39
2020-03-03,"Cincinnati, OH-KY-IN",17140,99.14
2020-03-04,"Cincinnati, OH-KY-IN",17140,98.93
2020-03-05,"Cincinnati, OH-KY-IN",17140,98.7
2020-03-06,"Cincinnati, OH-KY-IN",17140,98.54
2020-03-07,"Cincinnati, OH-KY-IN",17140,98.2
2020-03-08,"Cincinnati, OH-KY-IN",17140,98
2020-03-09,"Cincinnati, OH-KY-IN",17140,97.72
2020-03-10,"Cincinnati, OH-KY-IN",17140,97.75
2020-03-11,"Cincinnati, OH-KY-IN",17140,97.72
2020-03-12,"Cincinnati, OH-KY-IN",17140,97.65
2020-03-13,"Cincinnati, OH-KY-IN",17140,97.5
2020-03-14,"Cincinnati, OH-KY-IN",17140,97.51
2020-03-15,"Cincinnati, OH-KY-IN",17140,97.39
2020-03-16,"Cincinnati, OH-KY-IN",17140,97.35
2020-03-17,"Cincinnati, OH-KY-IN",17140,96.93
2020-03-18,"Cincinnati, OH-KY-IN",17140,96.26
2020-03-19,"Cincinnati, OH-KY-IN",17140,95.41
2020-03-20,"Cincinnati, OH-KY-IN",17140,94.42
2020-03-21,"Cincinnati, OH-KY-IN",17140,93.08
2020-03-22,"Cincinnati, OH-KY-IN",17140,91.81
2020-03-23,"Cincinnati, OH-KY-IN",17140,90.35
2020-03-24,"Cincinnati, OH-KY-IN",17140,88.91
2020-03-25,"Cincinnati, OH-KY-IN",17140,87.47
