date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Detroit-Warren-Dearborn, MI",19820,100
2020-02-02,"Detroit-Warren-Dearborn, MI",19820,100.1
2020-02-03,"Detroit-Warren-Dearborn, MI",19820,100.16
2020-02-04,"Detroit-Warren-Dearborn, MI",19820,100.27
2020-02-05,"Detroit-Warren-Dearborn, MI",19820,100.42
2020-02-06,"Detroit-Warren-Dearborn, MI",19820,100.66
2020-02-07,"Detroit-Warren-Dearborn, MI",19820,100.55
2020-02-08,"Detroit-Warren-Dearborn, MI",19820,100.46
2020-02-09,"Detroit-Warren-Dearborn, MI",19820,100.4
2020-02-10,"Detroit-Warren-Dearborn, MI",19820,100.46
2020-02-11,"Detroit-Warren-Dearborn, MI",19820,100.44
2020-02-12,"Detroit-Warren-Dearborn, MI",19820,100.47
2020-02-13,"Detroit-Warren-Dearborn, MI",19820,100.49
2020-02-14,"Detroit-Warren-Dearborn, MI",19820,100.65
2020-02-15,"Detroit-Warren-Dearborn, MI",19820,100.49
2020-02-16,"Detroit-Warren-Dearborn, MI",19820,100.42
2020-02-17,"Detroit-Warren-Dearborn, MI",19820,100.25
2020-02-18,"Detroit-Warren-Dearborn, MI",19820,100.07
2020-02-19,"Detroit-Warren-Dearborn, MI",19820,99.9
2020-02-20,"Detroit-Warren-Dearborn, MI",19820,99.67
2020-02-21,"Detroit-Warren-Dearborn, MI",19820,99.41
2020-02-22,"Detroit-Warren-Dearborn, MI",19820,99.32
2020-02-23,"Detroit-Warren-Dearborn, MI",19820,99.22
2020-02-24,"Detroit-Warren-Dearborn, MI",19820,99.24
2020-02-25,"Detroit-Warren-Dearborn, MI",19820,99.35
2020-02-26,"Detroit-Warren-Dearborn, MI",19820,99.46
2020-02-27,"Detroit-Warren-Dearborn, MI",19820,99.56
2020-02-28,"Detroit-Warren-Dearborn, MI",19820,99.77
2020-02-29,"Detroit-Warren-Dearborn, MI",19820,99.99
2020-03-01,"Detroit-Warren-Dearborn, MI",19820,100.14
2020-03-02,"Detroit-Warren-Dearborn, MI",19820,100.24
2020-03-03,"Detroit-Warren-Dearborn, MI",19820,100.26
2020-03-04,"Detroit-Warren-Dearborn, MI",19820,100.25
2020-03-05,"Detroit-Warren-Dearborn, MI",19820,100.21
2020-03-06,"Detroit-Warren-Dearborn, MI",19820,100.2
2020-03-07,"Detroit-Warren-Dearborn, MI",19820,100
2020-03-08,"Detroit-Warren-Dearborn, MI",19820,99.92
2020-03-09,"Detroit-Warren-Dearborn, MI",19820,99.74
2020-03-10,"Detroit-Warren-Dearborn, MI",19820,99.71
2020-03-11,"Detroit-Warren-Dearborn, MI",19820,99.61
2020-03-12,"Detroit-Warren-Dearborn, MI",19820,99.52
2020-03-13,"Detroit-Warren-Dearborn, MI",19820,99.32
2020-03-14,"Detroit-Warren-Dearborn, MI",19820,99.33
2020-03-15,"Detroit-Warren-Dearborn, MI",19820,99.03
2020-03-16,"Detroit-Warren-Dearborn, MI",19820,98.96
2020-03-17,"Detroit-Warren-Dearborn, MI",19820,98.49
2020-03-18,"Detroit-Warren-Dearborn, MI",19820,97.77
2020-03-19,"Detroit-Warren-Dearborn, MI",19820,96.95
2020-03-20,"Detroit-Warren-Dearborn, MI",19820,95.94
2020-03-21,"Detroit-Warren-Dearborn, MI",19820,94.42
2020-03-22,"Detroit-Warren-Dearborn, MI",19820,93.18
2020-03-23,"Detroit-Warren-Dearborn, MI",19820,91.69
2020-03-24,"Detroit-Warren-Dearborn, MI",19820,90.32
2020-03-25,"Detroit-Warren-Dearborn, MI",19820,88.86
2020-03-26,"Detroit-Warren-Dearborn, MI",19820,87.32
2020-03-27,"Detroit-Warren-Dearborn, MI",19820,85.64
2020-03-28,"Detroit-Warren-Dearborn, MI",19820,84.42
