date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Las Vegas-Henderson-Paradise, NV",29820,100
2020-02-02,"Las Vegas-Henderson-Paradise, NV",29820,99.83
2020-02-03,"Las Vegas-Henderson-Paradise, NV",29820,99.58
2020-02-04,"Las Vegas-Henderson-Paradise, NV",29820,99.36
2020-02-05,"Las Vegas-Henderson-Paradise, NV",29820,99.49
2020-02-06,"Las Vegas-Henderson-Paradise, NV",29820,99.75
2020-02-07,"Las Vegas-Henderson-Paradise, NV",29820,99.63
2020-02-08,"Las Vegas-Henderson-Paradise, NV",29820,99.75
2020-02-09,"Las Vegas-Henderson-Paradise, NV",29820,99.78
2020-02-10,"Las Vegas-Henderson-Paradise, NV",29820,99.78
2020-02-11,"Las Vegas-Henderson-Paradise, NV",29820,99.64
2020-02-12,"Las Vegas-Henderson-Paradise, NV",29820,99.73
2020-02-13,"Las Vegas-Henderson-Paradise, NV",29820,99.78
2020-02-14,"Las Vegas-Henderson-Paradise, NV",29820,100.04
2020-02-15,"Las Vegas-Henderson-Paradise, NV",29820,100.01
2020-02-16,"Las Vegas-Henderson-Paradise, NV",29820,100.1
2020-02-17,"Las Vegas-Henderson-Paradise, NV",29820,100.21
2020-02-18,"Las Vegas-Henderson-Paradise, NV",29820,100.42
2020-02-19,"Las Vegas-Henderson-Paradise, NV",29820,100.42
2020-02-20,"Las Vegas-Henderson-Paradise, NV",29820,100.52
2020-02-21,"Las Vegas-Henderson-Paradise, NV",29820,100.63
2020-02-22,"Las Vegas-Henderson-Paradise, NV",29820,100.7
2020-02-23,"Las Vegas-Henderson-Paradise, NV",29820,101.13
2020-02-24,"Las Vegas-Henderson-Paradise, NV",29820,101.53
2020-02-25,"Las Vegas-Henderson-Paradise, NV",29820,101.84
2020-02-26,"Las Vegas-Henderson-Paradise, NV",29820,102.12
2020-02-27,"Las Vegas-Henderson-Paradise, NV",29820,102.22
2020-02-28,"Las Vegas-Henderson-Paradise, NV",29820,102.29
2020-02-29,"Las Vegas-Henderson-Paradise, NV",29820,102.64
2020-03-01,"Las Vegas-Henderson-Paradise, NV",29820,102.59
2020-03-02,"Las Vegas-Henderson-Paradise, NV",29820,102.63
2020-03-03,"Las Vegas-Henderson-Paradise, NV",29820,102.69
2020-03-04,"Las Vegas-Henderson-Paradise, NV",29820,102.65
2020-03-05,"Las Vegas-Henderson-Paradise, NV",29820,102.71
2020-03-06,"Las Vegas-Henderson-Paradise, NV",29820,102.64
2020-03-07,"Las Vegas-Henderson-Paradise, NV",29820,102.25
