date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Los Angeles-Long Beach-Anaheim, CA",31080,100
2020-02-02,"Los Angeles-Long Beach-Anaheim, CA",31080,99.97
2020-02-03,"Los Angeles-Long Beach-Anaheim, CA",31080,99.95
2020-02-04,"Los Angeles-Long Beach-Anaheim, CA",31080,99.93
2020-02-05,"Los Angeles-Long Beach-Anaheim, CA",31080,99.99
2020-02-06,"Los Angeles-Long Beach-Anaheim, CA",31080,100.08
2020-02-07,"Los Angeles-Long Beach-Anaheim, CA",31080,99.93
2020-02-08,"Los Angeles-Long Beach-Anaheim, CA",31080,99.94
2020-02-09,"Los Angeles-Long Beach-Anaheim, CA",31080,99.89
2020-02-10,"Los Angeles-Long Beach-Anaheim, CA",31080,99.92
2020-02-11,"Los Angeles-Long Beach-Anaheim, CA",31080,99.88
2020-02-12,"Los Angeles-Long Beach-Anaheim, CA",31080,99.9
2020-02-13,"Los Angeles-Long Beach-Anaheim, CA",31080,99.9
2020-02-14,"Los Angeles-Long Beach-Anaheim, CA",31080,100.04
2020-02-15,"Los Angeles-Long Beach-Anaheim, CA",31080,99.93
2020-02-16,"Los Angeles-Long Beach-Anaheim, CA",31080,99.91
2020-02-17,"Los Angeles-Long Beach-Anaheim, CA",31080,99.83
2020-02-18,"Los Angeles-Long Beach-Anaheim, CA",31080,99.78
2020-02-19,"Los Angeles-Long Beach-Anaheim, CA",31080,99.67
2020-02-20,"Los Angeles-Long Beach-Anaheim, CA",31080,99.53
2020-02-21,"Los Angeles-Long Beach-Anaheim, CA",31080,99.44
2020-02-22,"Los Angeles-Long Beach-Anaheim, CA",31080,99.36
2020-02-23,"Los Angeles-Long Beach-Anaheim, CA",31080,99.37
2020-02-24,"Los Angeles-Long Beach-Anaheim, CA",31080,99.39
2020-02-25,"Los Angeles-Long Beach-Anaheim, CA",31080,99.5
2020-02-26,"Los Angeles-Long Beach-Anaheim, CA",31080,99.59
2020-02-27,"Los Angeles-Long Beach-Anaheim, CA",31080,99.69
2020-02-28,"Los Angeles-Long Beach-Anaheim, CA",31080,99.87
2020-02-29,"Los Angeles-Long Beach-Anaheim, CA",31080,100.09
2020-03-01,"Los Angeles-Long Beach-Anaheim, CA",31080,100.2
2020-03-02,"Los Angeles-Long Beach-Anaheim, CA",31080,100.35
2020-03-03,"Los Angeles-Long Beach-Anaheim, CA",31080,100.34
2020-03-04,"Los Angeles-Long Beach-Anaheim, CA",31080,100.2
2020-03-05,"Los Angeles-Long Beach-Anaheim, CA",31080,100.04
2020-03-06,"Los Angeles-Long Beach-Anaheim, CA",31080,99.92
2020-03-07,"Los Angeles-Long Beach-Anaheim, CA",31080,99.61
2020-03-08,"Los Angeles-Long Beach-Anaheim, CA",31080,99.42
2020-03-09,"Los Angeles-Long Beach-Anaheim, CA",31080,99.08
2020-03-10,"Los Angeles-Long Beach-Anaheim, CA",31080,98.8
2020-03-11,"Los Angeles-Long Beach-Anaheim, CA",31080,98.65
2020-03-12,"Los Angeles-Long Beach-Anaheim, CA",31080,98.45
2020-03-13,"Los Angeles-Long Beach-Anaheim, CA",31080,98.1
2020-03-14,"Los Angeles-Long Beach-Anaheim, CA",31080,97.89
2020-03-15,"Los Angeles-Long Beach-Anaheim, CA",31080,97.46
2020-03-16,"Los Angeles-Long Beach-Anaheim, CA",31080,97.17
2020-03-17,"Los Angeles-Long Beach-Anaheim, CA",31080,96.53
2020-03-18,"Los Angeles-Long Beach-Anaheim, CA",31080,95.66
2020-03-19,"Los Angeles-Long Beach-Anaheim, CA",31080,94.67
2020-03-20,"Los Angeles-Long Beach-Anaheim, CA",31080,93.44
2020-03-21,"Los Angeles-Long Beach-Anaheim, CA",31080,91.69
2020-03-22,"Los Angeles-Long Beach-Anaheim, CA",31080,90.1
2020-03-23,"Los Angeles-Long Beach-Anaheim, CA",31080,88.3
2020-03-24,"Los Angeles-Long Beach-Anaheim, CA",31080,86.68
