date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100
2020-02-02,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.12
2020-02-03,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.24
2020-02-04,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.41
2020-02-05,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.57
2020-02-06,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.79
2020-02-07,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.72
2020-02-08,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.72
2020-02-09,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.65
2020-02-10,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.66
2020-02-11,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.7
2020-02-12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.72
2020-02-13,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.71
2020-02-14,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.72
2020-02-15,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.48
2020-02-16,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.35
2020-02-17,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,100.1
2020-02-18,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.85
2020-02-19,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.58
2020-02-20,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.34
2020-02-21,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.13
2020-02-22,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.98
2020-02-23,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.77
2020-02-24,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.75
2020-02-25,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.63
2020-02-26,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.62
2020-02-27,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.59
2020-02-28,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.7
2020-02-29,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.89
2020-03-01,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.1
2020-03-02,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.23
2020-03-03,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.35
2020-03-04,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.43
2020-03-05,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.5
2020-03-06,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.59
2020-03-07,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.51
2020-03-08,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99.43
2020-03-09,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,99
2020-03-10,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.58
2020-03-11,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,98.03
2020-03-12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,97.41
2020-03-13,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,96.61
2020-03-14,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,95.94
2020-03-15,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,95.01
2020-03-16,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,94.44
2020-03-17,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,93.54
2020-03-18,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,92.62
2020-03-19,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,91.55
2020-03-20,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,90.18
2020-03-21,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,88.45
2020-03-22,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,86.99
2020-03-23,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,85.37
2020-03-24,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,83.91
2020-03-25,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,82.24
2020-03-26,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,80.47
2020-03-27,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,78.63
2020-03-28,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,77.19
2020-03-29,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,75.57
2020-03-30,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,74
2020-03-31,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,72.39
2020-04-01,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,70.94
2020-04-02,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,69.61
2020-04-03,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,68.71
2020-04-04,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,67.38
2020-04-05,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,66.11
2020-04-06,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,64.9
2020-04-07,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,63.6
2020-04-08,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,62.52
2020-04-09,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,61.41
2020-04-10,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,60.22
2020-04-11,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,59.44
2020-04-12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,58.67
2020-04-13,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,58.07
2020-04-14,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,57.53
2020-04-15,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,56.92
2020-04-16,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,56.37
2020-04-17,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,55.63
2020-04-18,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,54.95
2020-04-19,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,54.28
2020-04-20,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,53.61
2020-04-21,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,53.04
2020-04-22,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,52.42
2020-04-23,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,51.79
2020-04-24,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,51.4
2020-04-25,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,51.01
2020-04-26,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,50.63
2020-04-27,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,50.22
2020-04-28,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.83
2020-04-29,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.55
2020-04-30,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.38
2020-05-01,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.34
2020-05-02,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.35
2020-05-03,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.4
2020-05-04,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.43
2020-05-05,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.47
2020-05-06,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.6
2020-05-07,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.7
2020-05-08,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,49.84
2020-05-09,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,50.04
2020-05-10,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,50.28
2020-05-11,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,50.47
2020-05-12,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,50.7
2020-05-13,"Miami-Fort Lauderdale-Pompano Beach, FL",33100,50.62
