date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"New York-Newark-Jersey City, NY-NJ-PA",35620,100
2020-02-02,"New York-Newark-Jersey City, NY-NJ-PA",35620,100
2020-02-03,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.93
2020-02-04,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.83
2020-02-05,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.88
2020-02-06,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.87
2020-02-07,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.81
2020-02-08,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.77
2020-02-09,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.66
2020-02-10,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.72
2020-02-11,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.77
2020-02-12,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.81
2020-02-13,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.89
2020-02-14,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.03
2020-02-15,"New York-Newark-Jersey City, NY-NJ-PA",35620,100
2020-02-16,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.1
2020-02-17,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.13
2020-02-18,"New York-Newark-Jersey City, NY-NJ-PA",35620,100
2020-02-19,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.92
2020-02-20,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.87
2020-02-21,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.8
2020-02-22,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.78
2020-02-23,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.81
2020-02-24,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.77
2020-02-25,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.93
2020-02-26,"New York-Newark-Jersey City, NY-NJ-PA",35620,100
2020-02-27,"New York-Newark-Jersey City, NY-NJ-PA",35620,100
2020-02-28,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.07
2020-02-29,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.19
2020-03-01,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.18
2020-03-02,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.27
2020-03-03,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.34
2020-03-04,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.33
2020-03-05,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.41
2020-03-06,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.53
2020-03-07,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.52
2020-03-08,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.47
2020-03-09,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.28
2020-03-10,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.19
2020-03-11,"New York-Newark-Jersey City, NY-NJ-PA",35620,100.08
2020-03-12,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.88
2020-03-13,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.56
2020-03-14,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.33
2020-03-15,"New York-Newark-Jersey City, NY-NJ-PA",35620,99.09
2020-03-16,"New York-Newark-Jersey City, NY-NJ-PA",35620,98.94
2020-03-17,"New York-Newark-Jersey City, NY-NJ-PA",35620,98.51
2020-03-18,"New York-Newark-Jersey City, NY-NJ-PA",35620,98
2020-03-19,"New York-Newark-Jersey City, NY-NJ-PA",35620,97.31
2020-03-20,"New York-Newark-Jersey City, NY-NJ-PA",35620,96.38
2020-03-21,"New York-Newark-Jersey City, NY-NJ-PA",35620,94.83
2020-03-22,"New York-Newark-Jersey City, NY-NJ-PA",35620,93.53
