date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100
2020-02-02,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.03
2020-02-03,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.04
2020-02-04,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.1
2020-02-05,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.15
2020-02-06,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.24
2020-02-07,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.13
2020-02-08,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.08
2020-02-09,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.04
2020-02-10,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.07
2020-02-11,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.05
2020-02-12,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.13
2020-02-13,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.21
2020-02-14,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.37
2020-02-15,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.31
2020-02-16,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.34
2020-02-17,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.32
2020-02-18,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.26
2020-02-19,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.13
2020-02-20,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.03
2020-02-21,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,99.98
2020-02-22,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.07
2020-02-23,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.12
2020-02-24,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.14
2020-02-25,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,100.27
