date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Phoenix-Mesa-Chandler, AZ",38060,100
2020-02-02,"Phoenix-Mesa-Chandler, AZ",38060,100.02
2020-02-03,"Phoenix-Mesa-Chandler, AZ",38060,100.06
2020-02-04,"Phoenix-Mesa-Chandler, AZ",38060,100.1
2020-02-05,"Phoenix-Mesa-Chandler, AZ",38060,100.16
2020-02-06,"Phoenix-Mesa-Chandler, AZ",38060,100.27
2020-02-07,"Phoenix-Mesa-Chandler, AZ",38060,100.14
2020-02-08,"Phoenix-Mesa-Chandler, AZ",38060,100.16
2020-02-09,"Phoenix-Mesa-Chandler, AZ",38060,100.13
2020-02-10,"Phoenix-Mesa-Chandler, AZ",38060,100.21
2020-02-11,"Phoenix-Mesa-Chandler, AZ",38060,100.23
2020-02-12,"Phoenix-Mesa-Chandler, AZ",38060,100.56
2020-02-13,"Phoenix-Mesa-Chandler, AZ",38060,100.87
2020-02-14,"Phoenix-Mesa-Chandler, AZ",38060,101.27
2020-02-15,"Phoenix-Mesa-Chandler, AZ",38060,101.36
2020-02-16,"Phoenix-Mesa-Chandler, AZ",38060,101.56
2020-02-17,"Phoenix-Mesa-Chandler, AZ",38060,101.68
2020-02-18,"Phoenix-Mesa-Chandler, AZ",38060,101.81
2020-02-19,"Phoenix-Mesa-Chandler, AZ",38060,101.71
2020-02-20,"Phoenix-Mesa-Chandler, AZ",38060,101.51
2020-02-21,"Phoenix-Mesa-Chandler, AZ",38060,101.45
2020-02-22,"Phoenix-Mesa-Chandler, AZ",38060,101.39
2020-02-23,"Phoenix-Mesa-Chandler, AZ",38060,101.33
2020-02-24,"Phoenix-Mesa-Chandler, AZ",38060,101.38
2020-02-25,"Phoenix-Mesa-Chandler, AZ",38060,101.5
2020-02-26,"Phoenix-Mesa-Chandler, AZ",38060,101.58
2020-02-27,"Phoenix-Mesa-Chandler, AZ",38060,101.64
2020-02-28,"Phoenix-Mesa-Chandler, AZ",38060,101.68
2020-02-29,"Phoenix-Mesa-Chandler, AZ",38060,101.82
2020-03-01,"Phoenix-Mesa-Chandler, AZ",38060,102.01
2020-03-02,"Phoenix-Mesa-Chandler, AZ",38060,102.09
2020-03-03,"Phoenix-Mesa-Chandler, AZ",38060,102.04
2020-03-04,"Phoenix-Mesa-Chandler, AZ",38060,101.92
2020-03-05,"Phoenix-Mesa-Chandler, AZ",38060,101.84
2020-03-06,"Phoenix-Mesa-Chandler, AZ",38060,101.8
