date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Pittsburgh, PA",38300,100
2020-02-02,"Pittsburgh, PA",38300,100.15
2020-02-03,"Pittsburgh, PA",38300,100.25
2020-02-04,"Pittsburgh, PA",38300,100.26
2020-02-05,"Pittsburgh, PA",38300,100.29
2020-02-06,"Pittsburgh, PA",38300,100.44
2020-02-07,"Pittsburgh, PA",38300,100.38
2020-02-08,"Pittsburgh, PA",38300,100.42
2020-02-09,"Pittsburgh, PA",38300,100.34
2020-02-10,"Pittsburgh, PA",38300,100.39
2020-02-11,"Pittsburgh, PA",38300,100.54
2020-02-12,"Pittsburgh, PA",38300,100.72
2020-02-13,"Pittsburgh, PA",38300,100.69
2020-02-14,"Pittsburgh, PA",38300,100.88
2020-02-15,"Pittsburgh, PA",38300,100.61
2020-02-16,"Pittsburgh, PA",38300,100.51
2020-02-17,"Pittsburgh, PA",38300,100.35
2020-02-18,"Pittsburgh, PA",38300,100.19
2020-02-19,"Pittsburgh, PA",38300,100.02
2020-02-20,"Pittsburgh, PA",38300,99.87
2020-02-21,"Pittsburgh, PA",38300,99.67
2020-02-22,"Pittsburgh, PA",38300,99.62
2020-02-23,"Pittsburgh, PA",38300,99.55
2020-02-24,"Pittsburgh, PA",38300,99.58
2020-02-25,"Pittsburgh, PA",38300,99.73
2020-02-26,"Pittsburgh, PA",38300,99.73
2020-02-27,"Pittsburgh, PA",38300,99.8
2020-02-28,"Pittsburgh, PA",38300,99.81
2020-02-29,"Pittsburgh, PA",38300,99.92
2020-03-01,"Pittsburgh, PA",38300,99.99
2020-03-02,"Pittsburgh, PA",38300,99.94
2020-03-03,"Pittsburgh, PA",38300,99.76
2020-03-04,"Pittsburgh, PA",38300,99.67
2020-03-05,"Pittsburgh, PA",38300,99.58
2020-03-06,"Pittsburgh, PA",38300,99.55
2020-03-07,"Pittsburgh, PA",38300,99.46
2020-03-08,"Pittsburgh, PA",38300,99.51
2020-03-09,"Pittsburgh, PA",38300,99.49
2020-03-10,"Pittsburgh, PA",38300,99.4
2020-03-11,"Pittsburgh, PA",38300,99.33
2020-03-12,"Pittsburgh, PA",38300,99.21
2020-03-13,"Pittsburgh, PA",38300,99.07
2020-03-14,"Pittsburgh, PA",38300,98.96
2020-03-15,"Pittsburgh, PA",38300,98.69
2020-03-16,"Pittsburgh, PA",38300,98.51
2020-03-17,"Pittsburgh, PA",38300,98.16
2020-03-18,"Pittsburgh, PA",38300,97.53
2020-03-19,"Pittsburgh, PA",38300,96.68
2020-03-20,"Pittsburgh, PA",38300,95.49
2020-03-21,"Pittsburgh, PA",38300,93.82
2020-03-22,"Pittsburgh, PA",38300,92.24
2020-03-23,"Pittsburgh, PA",38300,90.51
2020-03-24,"Pittsburgh, PA",38300,88.86
2020-03-25,"Pittsburgh, PA",38300,87.11
2020-03-26,"Pittsburgh, PA",38300,85.4
2020-03-27,"Pittsburgh, PA",38300,83.62
2020-03-28,"Pittsburgh, PA",38300,82.24
2020-03-29,"Pittsburgh, PA",38300,80.74
2020-03-30,"Pittsburgh, PA",38300,79.3
2020-03-31,"Pittsburgh, PA",38300,77.8
2020-04-01,"Pittsburgh, PA",38300,76.45
2020-04-02,"Pittsburgh, PA",38300,75.25
2020-04-03,"Pittsburgh, PA",38300,74.34
2020-04-04,"Pittsburgh, PA",38300,73.13
2020-04-05,"Pittsburgh, PA",38300,71.88
2020-04-06,"Pittsburgh, PA",38300,70.84
2020-04-07,"Pittsburgh, PA",38300,69.86
2020-04-08,"Pittsburgh, PA",38300,69.25
2020-04-09,"Pittsburgh, PA",38300,68.5
2020-04-10,"Pittsburgh, PA",38300,67.67
2020-04-11,"Pittsburgh, PA",38300,67.25
2020-04-12,"Pittsburgh, PA",38300,66.9
2020-04-13,"Pittsburgh, PA",38300,66.41
2020-04-14,"Pittsburgh, PA",38300,66.01
2020-04-15,"Pittsburgh, PA",38300,65.43
2020-04-16,"Pittsburgh, PA",38300,64.78
2020-04-17,"Pittsburgh, PA",38300,64.35
2020-04-18,"Pittsburgh, PA",38300,63.87
2020-04-19,"Pittsburgh, PA",38300,63.5
2020-04-20,"Pittsburgh, PA",38300,63.22
2020-04-21,"Pittsburgh, PA",38300,62.95
2020-04-22,"Pittsburgh, PA",38300,62.6
