date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Portland-Vancouver-Hillsboro, OR-WA",38900,100
2020-02-02,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.04
2020-02-03,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.11
2020-02-04,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.2
2020-02-05,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.3
2020-02-06,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.5
2020-02-07,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.47
2020-02-08,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.46
2020-02-09,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.39
2020-02-10,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.34
2020-02-11,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.21
2020-02-12,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.25
2020-02-13,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.26
2020-02-14,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.35
2020-02-15,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.31
2020-02-16,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.36
2020-02-17,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.36
2020-02-18,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.3
2020-02-19,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.15
2020-02-20,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.95
2020-02-21,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.84
2020-02-22,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.63
2020-02-23,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.58
2020-02-24,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.48
2020-02-25,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.71
2020-02-26,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.97
2020-02-27,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.17
2020-02-28,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.27
2020-02-29,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.56
2020-03-01,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.66
2020-03-02,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.82
2020-03-03,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.79
2020-03-04,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.43
2020-03-05,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.18
2020-03-06,"Portland-Vancouver-Hillsboro, OR-WA",38900,100.05
2020-03-07,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.57
2020-03-08,"Portland-Vancouver-Hillsboro, OR-WA",38900,99.23
2020-03-09,"Portland-Vancouver-Hillsboro, OR-WA",38900,98.76
2020-03-10,"Portland-Vancouver-Hillsboro, OR-WA",38900,98.34
2020-03-11,"Portland-Vancouver-Hillsboro, OR-WA",38900,98.2
2020-03-12,"Portland-Vancouver-Hillsboro, OR-WA",38900,97.93
2020-03-13,"Portland-Vancouver-Hillsboro, OR-WA",38900,97.52
2020-03-14,"Portland-Vancouver-Hillsboro, OR-WA",38900,97.32
2020-03-15,"Portland-Vancouver-Hillsboro, OR-WA",38900,97
2020-03-16,"Portland-Vancouver-Hillsboro, OR-WA",38900,96.91
2020-03-17,"Portland-Vancouver-Hillsboro, OR-WA",38900,96.58
2020-03-18,"Portland-Vancouver-Hillsboro, OR-WA",38900,95.99
2020-03-19,"Portland-Vancouver-Hillsboro, OR-WA",38900,95.31
2020-03-20,"Portland-Vancouver-Hillsboro, OR-WA",38900,94.43
2020-03-21,"Portland-Vancouver-Hillsboro, OR-WA",38900,92.92
2020-03-22,"Portland-Vancouver-Hillsboro, OR-WA",38900,91.51
2020-03-23,"Portland-Vancouver-Hillsboro, OR-WA",38900,89.86
2020-03-24,"Portland-Vancouver-Hillsboro, OR-WA",38900,88.25
2020-03-25,"Portland-Vancouver-Hillsboro, OR-WA",38900,86.49
2020-03-26,"Portland-Vancouver-Hillsboro, OR-WA",38900,84.61
2020-03-27,"Portland-Vancouver-Hillsboro, OR-WA",38900,82.66
2020-03-28,"Portland-Vancouver-Hillsboro, OR-WA",38900,81.19
2020-03-29,"Portland-Vancouver-Hillsboro, OR-WA",38900,79.69
2020-03-30,"Portland-Vancouver-Hillsboro, OR-WA",38900,78.3
2020-03-31,"Portland-Vancouver-Hillsboro, OR-WA",38900,76.91
2020-04-01,"Portland-Vancouver-Hillsboro, OR-WA",38900,75.59
2020-04-02,"Portland-Vancouver-Hillsboro, OR-WA",38900,74.25
2020-04-03,"Portland-Vancouver-Hillsboro, OR-WA",38900,73.19
2020-04-04,"Portland-Vancouver-Hillsboro, OR-WA",38900,71.81
2020-04-05,"Portland-Vancouver-Hillsboro, OR-WA",38900,70.31
2020-04-06,"Portland-Vancouver-Hillsboro, OR-WA",38900,68.94
2020-04-07,"Portland-Vancouver-Hillsboro, OR-WA",38900,67.53
2020-04-08,"Portland-Vancouver-Hillsboro, OR-WA",38900,66.33
2020-04-09,"Portland-Vancouver-Hillsboro, OR-WA",38900,65.16
2020-04-10,"Portland-Vancouver-Hillsboro, OR-WA",38900,64.1
2020-04-11,"Portland-Vancouver-Hillsboro, OR-WA",38900,63.38
2020-04-12,"Portland-Vancouver-Hillsboro, OR-WA",38900,62.64
2020-04-13,"Portland-Vancouver-Hillsboro, OR-WA",38900,62.01
2020-04-14,"Portland-Vancouver-Hillsboro, OR-WA",38900,61.41
2020-04-15,"Portland-Vancouver-Hillsboro, OR-WA",38900,60.75
2020-04-16,"Portland-Vancouver-Hillsboro, OR-WA",38900,60.22
2020-04-17,"Portland-Vancouver-Hillsboro, OR-WA",38900,59.63
2020-04-18,"Portland-Vancouver-Hillsboro, OR-WA",38900,59.19
2020-04-19,"Portland-Vancouver-Hillsboro, OR-WA",38900,58.82
2020-04-20,"Portland-Vancouver-Hillsboro, OR-WA",38900,58.37
2020-04-21,"Portland-Vancouver-Hillsboro, OR-WA",38900,57.94
2020-04-22,"Portland-Vancouver-Hillsboro, OR-WA",38900,57.5
2020-04-23,"Portland-Vancouver-Hillsboro, OR-WA",38900,57.2
2020-04-24,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.91
2020-04-25,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.64
2020-04-26,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.37
2020-04-27,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.09
2020-04-28,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.92
2020-04-29,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.82
2020-04-30,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.8
2020-05-01,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.69
2020-05-02,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.55
2020-05-03,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.34
2020-05-04,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.12
2020-05-05,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.84
2020-05-06,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.7
2020-05-07,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.34
2020-05-08,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.21
2020-05-09,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.26
2020-05-10,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.42
2020-05-11,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.44
2020-05-12,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.62
2020-05-13,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.34
2020-05-14,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.45
2020-05-15,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.74
2020-05-16,"Portland-Vancouver-Hillsboro, OR-WA",38900,54.86
2020-05-17,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.09
2020-05-18,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.41
2020-05-19,"Portland-Vancouver-Hillsboro, OR-WA",38900,55.57
2020-05-20,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.11
2020-05-21,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.47
2020-05-22,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.52
2020-05-23,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.67
2020-05-24,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.69
2020-05-25,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.66
2020-05-26,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.61
2020-05-27,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.44
2020-05-28,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.25
2020-05-29,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.27
2020-05-30,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.38
2020-05-31,"Portland-Vancouver-Hillsboro, OR-WA",38900,56.5
