date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"San Antonio-New Braunfels, TX",41700,100
2020-02-02,"San Antonio-New Braunfels, TX",41700,99.94
2020-02-03,"San Antonio-New Braunfels, TX",41700,99.82
2020-02-04,"San Antonio-New Braunfels, TX",41700,99.77
2020-02-05,"San Antonio-New Braunfels, TX",41700,99.77
2020-02-06,"San Antonio-New Braunfels, TX",41700,99.72
2020-02-07,"San Antonio-New Braunfels, TX",41700,99.51
2020-02-08,"San Antonio-New Braunfels, TX",41700,99.6
2020-02-09,"San Antonio-New Braunfels, TX",41700,99.68
2020-02-10,"San Antonio-New Braunfels, TX",41700,99.86
2020-02-11,"San Antonio-New Braunfels, TX",41700,99.95
2020-02-12,"San Antonio-New Braunfels, TX",41700,100.04
2020-02-13,"San Antonio-New Braunfels, TX",41700,100.23
2020-02-14,"San Antonio-New Braunfels, TX",41700,100.56
2020-02-15,"San Antonio-New Braunfels, TX",41700,100.51
2020-02-16,"San Antonio-New Braunfels, TX",41700,100.45
2020-02-17,"San Antonio-New Braunfels, TX",41700,100.35
2020-02-18,"San Antonio-New Braunfels, TX",41700,100.24
2020-02-19,"San Antonio-New Braunfels, TX",41700,100.26
2020-02-20,"San Antonio-New Braunfels, TX",41700,100.14
2020-02-21,"San Antonio-New Braunfels, TX",41700,99.97
2020-02-22,"San Antonio-New Braunfels, TX",41700,99.88
2020-02-23,"San Antonio-New Braunfels, TX",41700,99.92
2020-02-24,"San Antonio-New Braunfels, TX",41700,100.1
2020-02-25,"San Antonio-New Braunfels, TX",41700,100.27
2020-02-26,"San Antonio-New Braunfels, TX",41700,100.22
2020-02-27,"San Antonio-New Braunfels, TX",41700,100.19
2020-02-28,"San Antonio-New Braunfels, TX",41700,100.21
2020-02-29,"San Antonio-New Braunfels, TX",41700,100.33
2020-03-01,"San Antonio-New Braunfels, TX",41700,100.33
2020-03-02,"San Antonio-New Braunfels, TX",41700,100.26
2020-03-03,"San Antonio-New Braunfels, TX",41700,100.25
2020-03-04,"San Antonio-New Braunfels, TX",41700,100.32
2020-03-05,"San Antonio-New Braunfels, TX",41700,100.4
2020-03-06,"San Antonio-New Braunfels, TX",41700,100.49
2020-03-07,"San Antonio-New Braunfels, TX",41700,100.21
2020-03-08,"San Antonio-New Braunfels, TX",41700,100.21
2020-03-09,"San Antonio-New Braunfels, TX",41700,100.13
2020-03-10,"San Antonio-New Braunfels, TX",41700,100.08
2020-03-11,"San Antonio-New Braunfels, TX",41700,100.02
2020-03-12,"San Antonio-New Braunfels, TX",41700,100
2020-03-13,"San Antonio-New Braunfels, TX",41700,99.78
2020-03-14,"San Antonio-New Braunfels, TX",41700,99.91
2020-03-15,"San Antonio-New Braunfels, TX",41700,99.63
2020-03-16,"San Antonio-New Braunfels, TX",41700,99.44
2020-03-17,"San Antonio-New Braunfels, TX",41700,98.86
2020-03-18,"San Antonio-New Braunfels, TX",41700,98.07
2020-03-19,"San Antonio-New Braunfels, TX",41700,96.92
2020-03-20,"San Antonio-New Braunfels, TX",41700,95.54
2020-03-21,"San Antonio-New Braunfels, TX",41700,93.7
2020-03-22,"San Antonio-New Braunfels, TX",41700,91.98
2020-03-23,"San Antonio-New Braunfels, TX",41700,89.98
2020-03-24,"San Antonio-New Braunfels, TX",41700,88.06
2020-03-25,"San Antonio-New Braunfels, TX",41700,86.1
2020-03-26,"San Antonio-New Braunfels, TX",41700,84.19
2020-03-27,"San Antonio-New Braunfels, TX",41700,82.37
2020-03-28,"San Antonio-New Braunfels, TX",41700,80.84
2020-03-29,"San Antonio-New Braunfels, TX",41700,79.14
2020-03-30,"San Antonio-New Braunfels, TX",41700,77.63
2020-03-31,"San Antonio-New Braunfels, TX",41700,76.2
2020-04-01,"San Antonio-New Braunfels, TX",41700,74.79
2020-04-02,"San Antonio-New Braunfels, TX",41700,73.5
2020-04-03,"San Antonio-New Braunfels, TX",41700,72.37
2020-04-04,"San Antonio-New Braunfels, TX",41700,70.69
2020-04-05,"San Antonio-New Braunfels, TX",41700,69.03
2020-04-06,"San Antonio-New Braunfels, TX",41700,67.73
2020-04-07,"San Antonio-New Braunfels, TX",41700,66.27
2020-04-08,"San Antonio-New Braunfels, TX",41700,65.14
2020-04-09,"San Antonio-New Braunfels, TX",41700,63.94
2020-04-10,"San Antonio-New Braunfels, TX",41700,62.83
2020-04-11,"San Antonio-New Braunfels, TX",41700,62.4
2020-04-12,"San Antonio-New Braunfels, TX",41700,61.96
2020-04-13,"San Antonio-New Braunfels, TX",41700,61.23
2020-04-14,"San Antonio-New Braunfels, TX",41700,60.75
2020-04-15,"San Antonio-New Braunfels, TX",41700,60.15
2020-04-16,"San Antonio-New Braunfels, TX",41700,59.67
2020-04-17,"San Antonio-New Braunfels, TX",41700,59.17
2020-04-18,"San Antonio-New Braunfels, TX",41700,58.73
2020-04-19,"San Antonio-New Braunfels, TX",41700,58.38
2020-04-20,"San Antonio-New Braunfels, TX",41700,58.07
2020-04-21,"San Antonio-New Braunfels, TX",41700,57.81
2020-04-22,"San Antonio-New Braunfels, TX",41700,57.44
2020-04-23,"San Antonio-New Braunfels, TX",41700,57.14
2020-04-24,"San Antonio-New Braunfels, TX",41700,56.88
2020-04-25,"San Antonio-New Braunfels, TX",41700,56.75
2020-04-26,"San Antonio-New Braunfels, TX",41700,56.54
2020-04-27,"San Antonio-New Braunfels, TX",41700,56.51
2020-04-28,"San Antonio-New Braunfels, TX",41700,56.54
2020-04-29,"San Antonio-New Braunfels, TX",41700,56.54
2020-04-30,"San Antonio-New Braunfels, TX",41700,56.62
2020-05-01,"San Antonio-New Braunfels, TX",41700,56.69
2020-05-02,"San Antonio-New Braunfels, TX",41700,56.76
2020-05-03,"San Antonio-New Braunfels, TX",41700,56.97
2020-05-04,"San Antonio-New Braunfels, TX",41700,57.02
2020-05-05,"San Antonio-New Braunfels, TX",41700,57.06
2020-05-06,"San Antonio-New Braunfels, TX",41700,57.46
2020-05-07,"San Antonio-New Braunfels, TX",41700,57.74
2020-05-08,"San Antonio-New Braunfels, TX",41700,58.2
2020-05-09,"San Antonio-New Braunfels, TX",41700,58.66
2020-05-10,"San Antonio-New Braunfels, TX",41700,59.08
2020-05-11,"San Antonio-New Braunfels, TX",41700,59.4
