date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"San Francisco-Oakland-Berkeley, CA",41860,100
2020-02-02,"San Francisco-Oakland-Berkeley, CA",41860,99.89
2020-02-03,"San Francisco-Oakland-Berkeley, CA",41860,99.76
2020-02-04,"San Francisco-Oakland-Berkeley, CA",41860,99.73
2020-02-05,"San Francisco-Oakland-Berkeley, CA",41860,99.65
2020-02-06,"San Francisco-Oakland-Berkeley, CA",41860,99.59
2020-02-07,"San Francisco-Oakland-Berkeley, CA",41860,99.48
2020-02-08,"San Francisco-Oakland-Berkeley, CA",41860,99.35
2020-02-09,"San Francisco-Oakland-Berkeley, CA",41860,99.29
2020-02-10,"San Francisco-Oakland-Berkeley, CA",41860,99.27
2020-02-11,"San Francisco-Oakland-Berkeley, CA",41860,99.17
2020-02-12,"San Francisco-Oakland-Berkeley, CA",41860,99.13
2020-02-13,"San Francisco-Oakland-Berkeley, CA",41860,99.09
2020-02-14,"San Francisco-Oakland-Berkeley, CA",41860,99.17
2020-02-15,"San Francisco-Oakland-Berkeley, CA",41860,99.15
2020-02-16,"San Francisco-Oakland-Berkeley, CA",41860,99.29
2020-02-17,"San Francisco-Oakland-Berkeley, CA",41860,99.4
2020-02-18,"San Francisco-Oakland-Berkeley, CA",41860,99.39
2020-02-19,"San Francisco-Oakland-Berkeley, CA",41860,99.38
2020-02-20,"San Francisco-Oakland-Berkeley, CA",41860,99.43
2020-02-21,"San Francisco-Oakland-Berkeley, CA",41860,99.5
2020-02-22,"San Francisco-Oakland-Berkeley, CA",41860,99.53
2020-02-23,"San Francisco-Oakland-Berkeley, CA",41860,99.53
2020-02-24,"San Francisco-Oakland-Berkeley, CA",41860,99.55
2020-02-25,"San Francisco-Oakland-Berkeley, CA",41860,99.65
2020-02-26,"San Francisco-Oakland-Berkeley, CA",41860,99.67
2020-02-27,"San Francisco-Oakland-Berkeley, CA",41860,99.64
2020-02-28,"San Francisco-Oakland-Berkeley, CA",41860,99.62
2020-02-29,"San Francisco-Oakland-Berkeley, CA",41860,99.71
2020-03-01,"San Francisco-Oakland-Berkeley, CA",41860,99.71
