date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Seattle-Tacoma-Bellevue, WA",42660,100
2020-02-02,"Seattle-Tacoma-Bellevue, WA",42660,99.93
2020-02-03,"Seattle-Tacoma-Bellevue, WA",42660,99.98
2020-02-04,"Seattle-Tacoma-Bellevue, WA",42660,100.02
2020-02-05,"Seattle-Tacoma-Bellevue, WA",42660,100.11
2020-02-06,"Seattle-Tacoma-Bellevue, WA",42660,100.23
2020-02-07,"Seattle-Tacoma-Bellevue, WA",42660,100.21
2020-02-08,"Seattle-Tacoma-Bellevue, WA",42660,100.15
2020-02-09,"Seattle-Tacoma-Bellevue, WA",42660,100.15
2020-02-10,"Seattle-Tacoma-Bellevue, WA",42660,100.19
2020-02-11,"Seattle-Tacoma-Bellevue, WA",42660,100.21
2020-02-12,"Seattle-Tacoma-Bellevue, WA",42660,100.23
2020-02-13,"Seattle-Tacoma-Bellevue, WA",42660,100.21
2020-02-14,"Seattle-Tacoma-Bellevue, WA",42660,100.3
2020-02-15,"Seattle-Tacoma-Bellevue, WA",42660,100.26
2020-02-16,"Seattle-Tacoma-Bellevue, WA",42660,100.32
2020-02-17,"Seattle-Tacoma-Bellevue, WA",42660,100.36
2020-02-18,"Seattle-Tacoma-Bellevue, WA",42660,100.31
2020-02-19,"Seattle-Tacoma-Bellevue, WA",42660,100.34
2020-02-20,"Seattle-Tacoma-Bellevue, WA",42660,100.37
2020-02-21,"Seattle-Tacoma-Bellevue, WA",42660,100.38
2020-02-22,"Seattle-Tacoma-Bellevue, WA",42660,100.3
2020-02-23,"Seattle-Tacoma-Bellevue, WA",42660,100.36
2020-02-24,"Seattle-Tacoma-Bellevue, WA",42660,100.39
2020-02-25,"Seattle-Tacoma-Bellevue, WA",42660,100.66
2020-02-26,"Seattle-Tacoma-Bellevue, WA",42660,100.87
2020-02-27,"Seattle-Tacoma-Bellevue, WA",42660,101.1
2020-02-28,"Seattle-Tacoma-Bellevue, WA",42660,101.32
2020-02-29,"Seattle-Tacoma-Bellevue, WA",42660,101.72
2020-03-01,"Seattle-Tacoma-Bellevue, WA",42660,101.97
2020-03-02,"Seattle-Tacoma-Bellevue, WA",42660,102.22
2020-03-03,"Seattle-Tacoma-Bellevue, WA",42660,102.25
2020-03-04,"Seattle-Tacoma-Bellevue, WA",42660,102.02
2020-03-05,"Seattle-Tacoma-Bellevue, WA",42660,101.79
2020-03-06,"Seattle-Tacoma-Bellevue, WA",42660,101.54
