date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"St. Louis, MO-IL",41180,100
2020-02-02,"St. Louis, MO-IL",41180,99.91
2020-02-03,"St. Louis, MO-IL",41180,99.84
2020-02-04,"St. Louis, MO-IL",41180,99.79
2020-02-05,"St. Louis, MO-IL",41180,99.85
2020-02-06,"St. Louis, MO-IL",41180,99.97
2020-02-07,"St. Louis, MO-IL",41180,99.75
2020-02-08,"St. Louis, MO-IL",41180,99.81
2020-02-09,"St. Louis, MO-IL",41180,99.77
2020-02-10,"St. Louis, MO-IL",41180,99.77
2020-02-11,"St. Louis, MO-IL",41180,99.82
2020-02-12,"St. Louis, MO-IL",41180,99.73
2020-02-13,"St. Louis, MO-IL",41180,99.59
2020-02-14,"St. Louis, MO-IL",41180,99.61
2020-02-15,"St. Louis, MO-IL",41180,99.35
2020-02-16,"St. Louis, MO-IL",41180,99.12
2020-02-17,"St. Louis, MO-IL",41180,98.93
2020-02-18,"St. Louis, MO-IL",41180,98.6
2020-02-19,"St. Louis, MO-IL",41180,98.33
2020-02-20,"St. Louis, MO-IL",41180,98.15
2020-02-21,"St. Louis, MO-IL",41180,97.98
2020-02-22,"St. Louis, MO-IL",41180,97.9
2020-02-23,"St. Louis, MO-IL",41180,97.93
2020-02-24,"St. Louis, MO-IL",41180,97.92
2020-02-25,"St. Louis, MO-IL",41180,98.04
2020-02-26,"St. Louis, MO-IL",41180,98.18
2020-02-27,"St. Louis, MO-IL",41180,98.26
2020-02-28,"St. Louis, MO-IL",41180,98.33
2020-02-29,"St. Louis, MO-IL",41180,98.47
2020-03-01,"St. Louis, MO-IL",41180,98.43
2020-03-02,"St. Louis, MO-IL",41180,98.42
2020-03-03,"St. Louis, MO-IL",41180,98.4
2020-03-04,"St. Louis, MO-IL",41180,98.31
2020-03-05,"St. Louis, MO-IL",41180,98.22
2020-03-06,"St. Louis, MO-IL",41180,98.17
2020-03-07,"St. Louis, MO-IL",41180,97.99
2020-03-08,"St. Louis, MO-IL",41180,97.97
2020-03-09,"St. Louis, MO-IL",41180,97.86
2020-03-10,"St. Louis, MO-IL",41180,97.93
2020-03-11,"St. Louis, MO-IL",41180,97.99
2020-03-12,"St. Louis, MO-IL",41180,98.05
2020-03-13,"St. Louis, MO-IL",41180,97.97
2020-03-14,"St. Louis, MO-IL",41180,98.09
2020-03-15,"St. Louis, MO-IL",41180,98
2020-03-16,"St. Louis, MO-IL",41180,98
2020-03-17,"St. Louis, MO-IL",41180,97.68
2020-03-18,"St. Louis, MO-IL",41180,97.21
2020-03-19,"St. Louis, MO-IL",41180,96.54
2020-03-20,"St. Louis, MO-IL",41180,95.62
2020-03-21,"St. Louis, MO-IL",41180,94.33
2020-03-22,"St. Louis, MO-IL",41180,93.17
2020-03-23,"St. Louis, MO-IL",41180,91.93
2020-03-24,"St. Louis, MO-IL",41180,90.68
2020-03-25,"St. Louis, MO-IL",41180,89.33
2020-03-26,"St. Louis, MO-IL",41180,88.02
2020-03-27,"St. Louis, MO-IL",41180,86.58
2020-03-28,"St. Louis, MO-IL",41180,85.42
2020-03-29,"St. Louis, MO-IL",41180,84.14
2020-03-30,"St. Louis, MO-IL",41180,82.88
2020-03-31,"St. Louis, MO-IL",41180,81.69
2020-04-01,"St. Louis, MO-IL",41180,80.56
2020-04-02,"St. Louis, MO-IL",41180,79.45
2020-04-03,"St. Louis, MO-IL",41180,78.67
2020-04-04,"St. Louis, MO-IL",41180,77.45
2020-04-05,"St. Louis, MO-IL",41180,76.23
2020-04-06,"St. Louis, MO-IL",41180,75.27
2020-04-07,"St. Louis, MO-IL",41180,74.23
2020-04-08,"St. Louis, MO-IL",41180,73.61
2020-04-09,"St. Louis, MO-IL",41180,72.94
2020-04-10,"St. Louis, MO-IL",41180,72.17
2020-04-11,"St. Louis, MO-IL",41180,71.68
2020-04-12,"St. Louis, MO-IL",41180,71.23
2020-04-13,"St. Louis, MO-IL",41180,70.64
2020-04-14,"St. Louis, MO-IL",41180,70.2
2020-04-15,"St. Louis, MO-IL",41180,69.51
2020-04-16,"St. Louis, MO-IL",41180,68.83
2020-04-17,"St. Louis, MO-IL",41180,68.21
2020-04-18,"St. Louis, MO-IL",41180,67.77
2020-04-19,"St. Louis, MO-IL",41180,67.33
2020-04-20,"St. Louis, MO-IL",41180,66.83
2020-04-21,"St. Louis, MO-IL",41180,66.21
2020-04-22,"St. Louis, MO-IL",41180,65.47
2020-04-23,"St. Louis, MO-IL",41180,64.88
2020-04-24,"St. Louis, MO-IL",41180,64.36
2020-04-25,"St. Louis, MO-IL",41180,63.83
2020-04-26,"St. Louis, MO-IL",41180,63.33
2020-04-27,"St. Louis, MO-IL",41180,62.9
2020-04-28,"St. Louis, MO-IL",41180,62.58
2020-04-29,"St. Louis, MO-IL",41180,62.41
2020-04-30,"St. Louis, MO-IL",41180,62.32
2020-05-01,"St. Louis, MO-IL",41180,62.17
2020-05-02,"St. Louis, MO-IL",41180,62.07
2020-05-03,"St. Louis, MO-IL",41180,62.02
2020-05-04,"St. Louis, MO-IL",41180,61.85
2020-05-05,"St. Louis, MO-IL",41180,61.77
2020-05-06,"St. Louis, MO-IL",41180,61.82
2020-05-07,"St. Louis, MO-IL",41180,61.88
2020-05-08,"St. Louis, MO-IL",41180,62.08
2020-05-09,"St. Louis, MO-IL",41180,62.31
2020-05-10,"St. Louis, MO-IL",41180,62.54
2020-05-11,"St. Louis, MO-IL",41180,62.75
2020-05-12,"St. Louis, MO-IL",41180,62.89
