date,metro,cbsa_code,indeed_job_postings_index
2020-02-01,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100
2020-02-02,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.98
2020-02-03,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.9
2020-02-04,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.8
2020-02-05,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.84
2020-02-06,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.95
2020-02-07,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.98
2020-02-08,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.04
2020-02-09,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.06
2020-02-10,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.21
2020-02-11,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.38
2020-02-12,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.44
2020-02-13,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.47
2020-02-14,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.5
2020-02-15,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.35
2020-02-16,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.36
2020-02-17,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.35
2020-02-18,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.15
2020-02-19,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.99
2020-02-20,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.87
2020-02-21,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.81
2020-02-22,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.86
2020-02-23,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.93
2020-02-24,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,99.91
2020-02-25,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.11
2020-02-26,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.28
2020-02-27,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.42
2020-02-28,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,100.52
