date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Accounting
2020-02-01,US,100,total postings,Accounting
2020-02-02,US,100.59,new postings,Accounting
2020-02-02,US,100.3,total postings,Accounting
2020-02-03,US,100.77,new postings,Accounting
2020-02-03,US,100.56,total postings,Accounting
2020-02-04,US,100.34,new postings,Accounting
2020-02-04,US,100.57,total postings,Accounting
2020-02-05,US,99.54,new postings,Accounting
2020-02-05,US,100.57,total postings,Accounting
2020-02-06,US,98.73,new postings,Accounting
2020-02-06,US,100.7,total postings,Accounting
2020-02-07,US,97.79,new postings,Accounting
2020-02-07,US,100.69,total postings,Accounting
2020-02-08,US,96.73,new postings,Accounting
2020-02-08,US,101.28,total postings,Accounting
2020-02-09,US,96.13,new postings,Accounting
2020-02-09,US,101.22,total postings,Accounting
2020-02-10,US,96.36,new postings,Accounting
2020-02-10,US,101.25,total postings,Accounting
2020-02-11,US,96.75,new postings,Accounting
2020-02-11,US,101.49,total postings,Accounting
2020-02-12,US,97.81,new postings,Accounting
2020-02-12,US,101.68,total postings,Accounting
2020-02-13,US,98.46,new postings,Accounting
2020-02-13,US,101.72,total postings,Accounting
2020-02-14,US,98.9,new postings,Accounting
2020-02-14,US,101.88,total postings,Accounting
2020-02-15,US,99.46,new postings,Accounting
2020-02-15,US,101.59,total postings,Accounting
2020-02-16,US,100.22,new postings,Accounting
2020-02-16,US,101.67,total postings,Accounting
2020-02-17,US,100.16,new postings,Accounting
2020-02-17,US,101.66,total postings,Accounting
2020-02-18,US,99.57,new postings,Accounting
2020-02-18,US,101.59,total postings,Accounting
2020-02-19,US,98.67,new postings,Accounting
2020-02-19,US,101.58,total postings,Accounting
2020-02-20,US,98.29,new postings,Accounting
2020-02-20,US,101.32,total postings,Accounting
2020-02-21,US,98.39,new postings,Accounting
2020-02-21,US,100.98,total postings,Accounting
2020-02-22,US,98.57,new postings,Accounting
2020-02-22,US,100.71,total postings,Accounting
2020-02-23,US,98.45,new postings,Accounting
2020-02-23,US,100.37,total postings,Accounting
2020-02-24,US,98.61,new postings,Accounting
2020-02-24,US,100.32,total postings,Accounting
2020-02-25,US,100.21,new postings,Accounting
2020-02-25,US,100.1,total postings,Accounting
2020-02-26,US,101.64,new postings,Accounting
2020-02-26,US,100.37,total postings,Accounting
2020-02-27,US,102.67,new postings,Accounting
2020-02-27,US,101,total postings,Accounting
2020-02-28,US,103.08,new postings,Accounting
2020-02-28,US,101.68,total postings,Accounting
2020-02-29,US,103.47,new postings,Accounting
2020-02-29,US,102.47,total postings,Accounting
2020-03-01,US,104.27,new postings,Accounting
2020-03-01,US,103.26,total postings,Accounting
2020-03-02,US,104.9,new postings,Accounting
2020-03-02,US,103.74,total postings,Accounting
2020-03-03,US,104.01,new postings,Accounting
2020-03-03,US,104.39,total postings,Accounting
2020-03-04,US,103.01,new postings,Accounting
2020-03-04,US,104.46,total postings,Accounting
2020-03-05,US,101.9,new postings,Accounting
2020-03-05,US,104.39,total postings,Accounting
2020-03-06,US,101.04,new postings,Accounting
2020-03-06,US,104.34,total postings,Accounting
2020-03-07,US,99.78,new postings,Accounting
2020-03-07,US,104.25,total postings,Accounting
2020-03-08,US,98.16,new postings,Accounting
2020-03-08,US,104.03,total postings,Accounting
2020-03-09,US,96.38,new postings,Accounting
2020-03-09,US,103.7,total postings,Accounting
2020-03-10,US,95.16,new postings,Accounting
2020-03-10,US,103.35,total postings,Accounting
2020-03-11,US,94.69,new postings,Accounting
2020-03-11,US,103.05,total postings,Accounting
2020-03-12,US,94.31,new postings,Accounting
2020-03-12,US,102.04,total postings,Accounting
2020-03-13,US,93.85,new postings,Accounting
2020-03-13,US,100.95,total postings,Accounting
2020-03-14,US,93.13,new postings,Accounting
2020-03-14,US,99.88,total postings,Accounting
2020-03-15,US,92.43,new postings,Accounting
2020-03-15,US,98.68,total postings,Accounting
2020-03-16,US,92.36,new postings,Accounting
2020-03-16,US,97.72,total postings,Accounting
2020-03-17,US,90.66,new postings,Accounting
2020-03-17,US,96.59,total postings,Accounting
2020-03-18,US,87.45,new postings,Accounting
2020-03-18,US,95.25,total postings,Accounting
2020-03-19,US,82.99,new postings,Accounting
2020-03-19,US,94.29,total postings,Accounting
2020-03-20,US,77.61,new postings,Accounting
2020-03-20,US,93.07,total postings,Accounting
2020-03-21,US,72.01,new postings,Accounting
2020-03-21,US,91.27,total postings,Accounting
2020-03-22,US,66.25,new postings,Accounting
2020-03-22,US,89.75,total postings,Accounting
2020-03-23,US,60.07,new postings,Accounting
2020-03-23,US,88.07,total postings,Accounting
2020-03-24,US,56.01,new postings,Accounting
2020-03-24,US,86.52,total postings,Accounting
2020-03-25,US,52.49,new postings,Accounting
2020-03-25,US,84.79,total postings,Accounting
2020-03-26,US,49.8,new postings,Accounting
2020-03-26,US,83.08,total postings,Accounting
2020-03-27,US,47.42,new postings,Accounting
2020-03-27,US,81.06,total postings,Accounting
2020-03-28,US,45.77,new postings,Accounting
2020-03-28,US,79.47,total postings,Accounting
2020-03-29,US,44.24,new postings,Accounting
2020-03-29,US,77.6,total postings,Accounting
2020-03-30,US,42.85,new postings,Accounting
2020-03-30,US,75.8,total postings,Accounting
2020-03-31,US,40.75,new postings,Accounting
2020-03-31,US,73.84,total postings,Accounting
2020-04-01,US,39.09,new postings,Accounting
2020-04-01,US,72.02,total postings,Accounting
2020-04-02,US,37.17,new postings,Accounting
2020-04-02,US,70.3,total postings,Accounting
2020-04-03,US,36.33,new postings,Accounting
2020-04-03,US,69.12,total postings,Accounting
2020-04-04,US,35.36,new postings,Accounting
2020-04-04,US,67.85,total postings,Accounting
2020-04-05,US,34.15,new postings,Accounting
2020-04-05,US,66.58,total postings,Accounting
2020-04-06,US,33.15,new postings,Accounting
2020-04-06,US,65.18,total postings,Accounting
2020-04-07,US,32.53,new postings,Accounting
2020-04-07,US,63.91,total postings,Accounting
2020-04-08,US,32.25,new postings,Accounting
2020-04-08,US,62.92,total postings,Accounting
2020-04-09,US,32.59,new postings,Accounting
2020-04-09,US,61.96,total postings,Accounting
2020-04-10,US,32.73,new postings,Accounting
2020-04-10,US,61.1,total postings,Accounting
2020-04-11,US,33.73,new postings,Accounting
