date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Architecture
2020-02-01,US,100,new postings,Architecture
2020-02-02,US,100.02,total postings,Architecture
2020-02-02,US,101.5,new postings,Architecture
2020-02-03,US,100.12,total postings,Architecture
2020-02-03,US,102.66,new postings,Architecture
2020-02-04,US,100.16,total postings,Architecture
2020-02-04,US,103.62,new postings,Architecture
2020-02-05,US,100.24,total postings,Architecture
2020-02-05,US,104.98,new postings,Architecture
2020-02-06,US,100.4,total postings,Architecture
2020-02-06,US,106.33,new postings,Architecture
2020-02-07,US,100.38,total postings,Architecture
2020-02-07,US,106.13,new postings,Architecture
2020-02-08,US,100.36,total postings,Architecture
2020-02-08,US,105.38,new postings,Architecture
2020-02-09,US,100.32,total postings,Architecture
2020-02-09,US,104.63,new postings,Architecture
2020-02-10,US,100.25,total postings,Architecture
2020-02-10,US,103.88,new postings,Architecture
2020-02-11,US,100.35,total postings,Architecture
2020-02-11,US,104.2,new postings,Architecture
2020-02-12,US,100.41,total postings,Architecture
2020-02-12,US,103.62,new postings,Architecture
2020-02-13,US,100.49,total postings,Architecture
2020-02-13,US,103.04,new postings,Architecture
2020-02-14,US,100.68,total postings,Architecture
2020-02-14,US,103.82,new postings,Architecture
2020-02-15,US,100.87,total postings,Architecture
2020-02-15,US,105.15,new postings,Architecture
2020-02-16,US,101.17,total postings,Architecture
2020-02-16,US,106.85,new postings,Architecture
2020-02-17,US,101.51,total postings,Architecture
2020-02-17,US,109.52,new postings,Architecture
2020-02-18,US,101.67,total postings,Architecture
2020-02-18,US,109.31,new postings,Architecture
2020-02-19,US,101.76,total postings,Architecture
2020-02-19,US,109.93,new postings,Architecture
2020-02-20,US,101.81,total postings,Architecture
2020-02-20,US,109.9,new postings,Architecture
2020-02-21,US,101.78,total postings,Architecture
2020-02-21,US,109.58,new postings,Architecture
2020-02-22,US,101.65,total postings,Architecture
2020-02-22,US,108.18,new postings,Architecture
2020-02-23,US,101.59,total postings,Architecture
2020-02-23,US,106.46,new postings,Architecture
2020-02-24,US,101.45,total postings,Architecture
2020-02-24,US,103.94,new postings,Architecture
2020-02-25,US,101.39,total postings,Architecture
2020-02-25,US,103.25,new postings,Architecture
2020-02-26,US,101.26,total postings,Architecture
2020-02-26,US,101.68,new postings,Architecture
2020-02-27,US,101.06,total postings,Architecture
2020-02-27,US,100.47,new postings,Architecture
2020-02-28,US,100.9,total postings,Architecture
2020-02-28,US,99.15,new postings,Architecture
2020-02-29,US,100.78,total postings,Architecture
2020-02-29,US,98.82,new postings,Architecture
2020-03-01,US,100.68,total postings,Architecture
2020-03-01,US,98.5,new postings,Architecture
2020-03-02,US,100.63,total postings,Architecture
2020-03-02,US,98.1,new postings,Architecture
2020-03-03,US,100.6,total postings,Architecture
