date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Arts & Entertainment
2020-02-01,US,100,total postings,Arts & Entertainment
2020-02-02,US,99.99,new postings,Arts & Entertainment
2020-02-02,US,99.86,total postings,Arts & Entertainment
2020-02-03,US,99.98,new postings,Arts & Entertainment
2020-02-03,US,99.74,total postings,Arts & Entertainment
2020-02-04,US,99.17,new postings,Arts & Entertainment
2020-02-04,US,99.46,total postings,Arts & Entertainment
2020-02-05,US,98.45,new postings,Arts & Entertainment
2020-02-05,US,99.37,total postings,Arts & Entertainment
2020-02-06,US,97.9,new postings,Arts & Entertainment
2020-02-06,US,99.26,total postings,Arts & Entertainment
2020-02-07,US,97.09,new postings,Arts & Entertainment
2020-02-07,US,99.21,total postings,Arts & Entertainment
2020-02-08,US,96.78,new postings,Arts & Entertainment
2020-02-08,US,99.15,total postings,Arts & Entertainment
2020-02-09,US,96.82,new postings,Arts & Entertainment
2020-02-09,US,99.11,total postings,Arts & Entertainment
2020-02-10,US,96.78,new postings,Arts & Entertainment
2020-02-10,US,99.08,total postings,Arts & Entertainment
2020-02-11,US,96.84,new postings,Arts & Entertainment
2020-02-11,US,99.22,total postings,Arts & Entertainment
2020-02-12,US,96.79,new postings,Arts & Entertainment
2020-02-12,US,99.28,total postings,Arts & Entertainment
2020-02-13,US,96.12,new postings,Arts & Entertainment
2020-02-13,US,99.35,total postings,Arts & Entertainment
2020-02-14,US,95.38,new postings,Arts & Entertainment
2020-02-14,US,99.32,total postings,Arts & Entertainment
2020-02-15,US,94.94,new postings,Arts & Entertainment
2020-02-15,US,99.22,total postings,Arts & Entertainment
2020-02-16,US,94.67,new postings,Arts & Entertainment
2020-02-16,US,99.39,total postings,Arts & Entertainment
2020-02-17,US,94.12,new postings,Arts & Entertainment
2020-02-17,US,99.57,total postings,Arts & Entertainment
2020-02-18,US,93.03,new postings,Arts & Entertainment
2020-02-18,US,99.49,total postings,Arts & Entertainment
2020-02-19,US,92.45,new postings,Arts & Entertainment
2020-02-19,US,99.52,total postings,Arts & Entertainment
2020-02-20,US,91.75,new postings,Arts & Entertainment
2020-02-20,US,99.48,total postings,Arts & Entertainment
2020-02-21,US,91.58,new postings,Arts & Entertainment
2020-02-21,US,99.45,total postings,Arts & Entertainment
2020-02-22,US,91.34,new postings,Arts & Entertainment
2020-02-22,US,99.21,total postings,Arts & Entertainment
2020-02-23,US,90.78,new postings,Arts & Entertainment
2020-02-23,US,99,total postings,Arts & Entertainment
2020-02-24,US,90.16,new postings,Arts & Entertainment
2020-02-24,US,98.69,total postings,Arts & Entertainment
2020-02-25,US,91.11,new postings,Arts & Entertainment
2020-02-25,US,98.63,total postings,Arts & Entertainment
2020-02-26,US,91.28,new postings,Arts & Entertainment
2020-02-26,US,98.43,total postings,Arts & Entertainment
2020-02-27,US,93.34,new postings,Arts & Entertainment
2020-02-27,US,98.28,total postings,Arts & Entertainment
2020-02-28,US,94.82,new postings,Arts & Entertainment
2020-02-28,US,98.15,total postings,Arts & Entertainment
2020-02-29,US,96.12,new postings,Arts & Entertainment
2020-02-29,US,98.3,total postings,Arts & Entertainment
2020-03-01,US,97.95,new postings,Arts & Entertainment
2020-03-01,US,98.35,total postings,Arts & Entertainment
2020-03-02,US,99.85,new postings,Arts & Entertainment
2020-03-02,US,98.45,total postings,Arts & Entertainment
2020-03-03,US,100,new postings,Arts & Entertainment
