date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Banking & Finance
2020-02-01,US,100,total postings,Banking & Finance
2020-02-02,US,101.37,new postings,Banking & Finance
2020-02-02,US,99.92,total postings,Banking & Finance
2020-02-03,US,101.97,new postings,Banking & Finance
2020-02-03,US,99.86,total postings,Banking & Finance
2020-02-04,US,100.76,new postings,Banking & Finance
2020-02-04,US,99.64,total postings,Banking & Finance
2020-02-05,US,99.49,new postings,Banking & Finance
2020-02-05,US,99.58,total postings,Banking & Finance
2020-02-06,US,97.96,new postings,Banking & Finance
2020-02-06,US,99.56,total postings,Banking & Finance
2020-02-07,US,97.52,new postings,Banking & Finance
2020-02-07,US,99.57,total postings,Banking & Finance
2020-02-08,US,96.66,new postings,Banking & Finance
2020-02-08,US,99.67,total postings,Banking & Finance
2020-02-09,US,95.6,new postings,Banking & Finance
2020-02-09,US,99.57,total postings,Banking & Finance
2020-02-10,US,95.41,new postings,Banking & Finance
2020-02-10,US,100.16,total postings,Banking & Finance
2020-02-11,US,95.49,new postings,Banking & Finance
2020-02-11,US,100.76,total postings,Banking & Finance
2020-02-12,US,96.04,new postings,Banking & Finance
2020-02-12,US,101.49,total postings,Banking & Finance
2020-02-13,US,96.71,new postings,Banking & Finance
2020-02-13,US,102.06,total postings,Banking & Finance
2020-02-14,US,97.02,new postings,Banking & Finance
2020-02-14,US,102.66,total postings,Banking & Finance
2020-02-15,US,97.81,new postings,Banking & Finance
2020-02-15,US,103.11,total postings,Banking & Finance
2020-02-16,US,99.06,new postings,Banking & Finance
2020-02-16,US,103.84,total postings,Banking & Finance
2020-02-17,US,99.87,new postings,Banking & Finance
2020-02-17,US,103.93,total postings,Banking & Finance
2020-02-18,US,100.28,new postings,Banking & Finance
2020-02-18,US,103.87,total postings,Banking & Finance
2020-02-19,US,100.2,new postings,Banking & Finance
2020-02-19,US,103.82,total postings,Banking & Finance
2020-02-20,US,99.76,new postings,Banking & Finance
2020-02-20,US,103.84,total postings,Banking & Finance
2020-02-21,US,99.22,new postings,Banking & Finance
2020-02-21,US,103.83,total postings,Banking & Finance
2020-02-22,US,98.24,new postings,Banking & Finance
2020-02-22,US,103.65,total postings,Banking & Finance
2020-02-23,US,96.93,new postings,Banking & Finance
2020-02-23,US,103.67,total postings,Banking & Finance
2020-02-24,US,95.59,new postings,Banking & Finance
2020-02-24,US,103.73,total postings,Banking & Finance
2020-02-25,US,96.15,new postings,Banking & Finance
2020-02-25,US,103.97,total postings,Banking & Finance
2020-02-26,US,96.78,new postings,Banking & Finance
2020-02-26,US,104.1,total postings,Banking & Finance
2020-02-27,US,97.85,new postings,Banking & Finance
2020-02-27,US,104.3,total postings,Banking & Finance
2020-02-28,US,98.63,new postings,Banking & Finance
2020-02-28,US,104.47,total postings,Banking & Finance
2020-02-29,US,100.02,new postings,Banking & Finance
2020-02-29,US,104.98,total postings,Banking & Finance
2020-03-01,US,101.29,new postings,Banking & Finance
2020-03-01,US,105.22,total postings,Banking & Finance
2020-03-02,US,102.47,new postings,Banking & Finance
2020-03-02,US,105.5,total postings,Banking & Finance
2020-03-03,US,102.48,new postings,Banking & Finance
