date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Childcare
2020-02-01,US,100,total postings,Childcare
2020-02-02,US,100.58,new postings,Childcare
2020-02-02,US,99.57,total postings,Childcare
2020-02-03,US,100.98,new postings,Childcare
2020-02-03,US,99.1,total postings,Childcare
2020-02-04,US,100.21,new postings,Childcare
2020-02-04,US,99.02,total postings,Childcare
2020-02-05,US,99.53,new postings,Childcare
2020-02-05,US,99.07,total postings,Childcare
2020-02-06,US,99.27,new postings,Childcare
2020-02-06,US,99.17,total postings,Childcare
2020-02-07,US,98.73,new postings,Childcare
2020-02-07,US,99.22,total postings,Childcare
2020-02-08,US,98.06,new postings,Childcare
2020-02-08,US,99.17,total postings,Childcare
2020-02-09,US,97.53,new postings,Childcare
2020-02-09,US,99.03,total postings,Childcare
2020-02-10,US,97.28,new postings,Childcare
2020-02-10,US,98.84,total postings,Childcare
2020-02-11,US,97.39,new postings,Childcare
2020-02-11,US,98.75,total postings,Childcare
2020-02-12,US,98.32,new postings,Childcare
2020-02-12,US,98.77,total postings,Childcare
2020-02-13,US,98.86,new postings,Childcare
2020-02-13,US,98.79,total postings,Childcare
2020-02-14,US,99.22,new postings,Childcare
2020-02-14,US,98.8,total postings,Childcare
2020-02-15,US,100.05,new postings,Childcare
2020-02-15,US,98.86,total postings,Childcare
2020-02-16,US,100.66,new postings,Childcare
2020-02-16,US,98.94,total postings,Childcare
2020-02-17,US,100.95,new postings,Childcare
2020-02-17,US,98.98,total postings,Childcare
2020-02-18,US,100.82,new postings,Childcare
2020-02-18,US,98.93,total postings,Childcare
2020-02-19,US,100.18,new postings,Childcare
2020-02-19,US,98.85,total postings,Childcare
2020-02-20,US,99.88,new postings,Childcare
2020-02-20,US,98.84,total postings,Childcare
2020-02-21,US,100.49,new postings,Childcare
2020-02-21,US,98.9,total postings,Childcare
2020-02-22,US,100.93,new postings,Childcare
2020-02-22,US,98.98,total postings,Childcare
2020-02-23,US,101.03,new postings,Childcare
2020-02-23,US,98.99,total postings,Childcare
2020-02-24,US,101.26,new postings,Childcare
2020-02-24,US,99.08,total postings,Childcare
2020-02-25,US,102.42,new postings,Childcare
2020-02-25,US,99.2,total postings,Childcare
2020-02-26,US,103.14,new postings,Childcare
2020-02-26,US,99.27,total postings,Childcare
2020-02-27,US,103.65,new postings,Childcare
2020-02-27,US,99.31,total postings,Childcare
2020-02-28,US,103.11,new postings,Childcare
2020-02-28,US,99.31,total postings,Childcare
2020-02-29,US,102.51,new postings,Childcare
2020-02-29,US,99.23,total postings,Childcare
2020-03-01,US,102.09,new postings,Childcare
2020-03-01,US,99.22,total postings,Childcare
2020-03-02,US,101.28,new postings,Childcare
2020-03-02,US,99.12,total postings,Childcare
2020-03-03,US,100.11,new postings,Childcare
2020-03-03,US,99.2,total postings,Childcare
