date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Civil Engineering
2020-02-01,US,100,total postings,Civil Engineering
2020-02-02,US,100.56,new postings,Civil Engineering
2020-02-02,US,99.91,total postings,Civil Engineering
2020-02-03,US,100.73,new postings,Civil Engineering
2020-02-03,US,99.97,total postings,Civil Engineering
2020-02-04,US,98.73,new postings,Civil Engineering
2020-02-04,US,99.86,total postings,Civil Engineering
2020-02-05,US,97.42,new postings,Civil Engineering
2020-02-05,US,99.89,total postings,Civil Engineering
2020-02-06,US,96.49,new postings,Civil Engineering
2020-02-06,US,99.98,total postings,Civil Engineering
2020-02-07,US,95.12,new postings,Civil Engineering
2020-02-07,US,100.01,total postings,Civil Engineering
2020-02-08,US,93.68,new postings,Civil Engineering
2020-02-08,US,99.99,total postings,Civil Engineering
2020-02-09,US,93.12,new postings,Civil Engineering
2020-02-09,US,100.09,total postings,Civil Engineering
2020-02-10,US,92.73,new postings,Civil Engineering
2020-02-10,US,100.04,total postings,Civil Engineering
2020-02-11,US,93.05,new postings,Civil Engineering
2020-02-11,US,100.05,total postings,Civil Engineering
2020-02-12,US,93.76,new postings,Civil Engineering
2020-02-12,US,100.1,total postings,Civil Engineering
2020-02-13,US,94.01,new postings,Civil Engineering
2020-02-13,US,100.13,total postings,Civil Engineering
2020-02-14,US,94.9,new postings,Civil Engineering
2020-02-14,US,100.18,total postings,Civil Engineering
2020-02-15,US,95.92,new postings,Civil Engineering
2020-02-15,US,100.13,total postings,Civil Engineering
2020-02-16,US,96.77,new postings,Civil Engineering
2020-02-16,US,100.23,total postings,Civil Engineering
2020-02-17,US,98.23,new postings,Civil Engineering
2020-02-17,US,100.47,total postings,Civil Engineering
2020-02-18,US,99.58,new postings,Civil Engineering
2020-02-18,US,100.58,total postings,Civil Engineering
2020-02-19,US,98.74,new postings,Civil Engineering
2020-02-19,US,100.52,total postings,Civil Engineering
2020-02-20,US,97.66,new postings,Civil Engineering
2020-02-20,US,100.32,total postings,Civil Engineering
2020-02-21,US,96.41,new postings,Civil Engineering
2020-02-21,US,100.11,total postings,Civil Engineering
2020-02-22,US,95.03,new postings,Civil Engineering
2020-02-22,US,100.02,total postings,Civil Engineering
2020-02-23,US,93.44,new postings,Civil Engineering
2020-02-23,US,99.92,total postings,Civil Engineering
2020-02-24,US,91.03,new postings,Civil Engineering
2020-02-24,US,99.69,total postings,Civil Engineering
2020-02-25,US,89.79,new postings,Civil Engineering
2020-02-25,US,99.6,total postings,Civil Engineering
2020-02-26,US,89.8,new postings,Civil Engineering
2020-02-26,US,99.59,total postings,Civil Engineering
2020-02-27,US,90.1,new postings,Civil Engineering
2020-02-27,US,99.5,total postings,Civil Engineering
2020-02-28,US,90.38,new postings,Civil Engineering
2020-02-28,US,99.46,total postings,Civil Engineering
2020-02-29,US,90.59,new postings,Civil Engineering
2020-02-29,US,99.61,total postings,Civil Engineering
2020-03-01,US,91.24,new postings,Civil Engineering
2020-03-01,US,99.77,total postings,Civil Engineering
2020-03-02,US,92.05,new postings,Civil Engineering
2020-03-02,US,99.81,total postings,Civil Engineering
2020-03-03,US,92.05,new postings,Civil Engineering
2020-03-03,US,99.81,total postings,Civil Engineering
2020-03-04,US,92.45,new postings,Civil Engineering
2020-03-04,US,99.78,total postings,Civil Engineering
2020-03-05,US,93.42,new postings,Civil Engineering
2020-03-05,US,99.88,total postings,Civil Engineering
2020-03-06,US,94.73,new postings,Civil Engineering
2020-03-06,US,99.98,total postings,Civil Engineering
2020-03-07,US,96.63,new postings,Civil Engineering
2020-03-07,US,99.97,total postings,Civil Engineering
2020-03-08,US,97.13,new postings,Civil Engineering
2020-03-08,US,99.87,total postings,Civil Engineering
2020-03-09,US,97.57,new postings,Civil Engineering
2020-03-09,US,99.75,total postings,Civil Engineering
2020-03-10,US,97.39,new postings,Civil Engineering
2020-03-10,US,99.67,total postings,Civil Engineering
2020-03-11,US,96.93,new postings,Civil Engineering
2020-03-11,US,99.61,total postings,Civil Engineering
2020-03-12,US,95.52,new postings,Civil Engineering
2020-03-12,US,99.59,total postings,Civil Engineering
2020-03-13,US,94.22,new postings,Civil Engineering
2020-03-13,US,99.65,total postings,Civil Engineering
2020-03-14,US,91.72,new postings,Civil Engineering
2020-03-14,US,99.79,total postings,Civil Engineering
2020-03-15,US,90.02,new postings,Civil Engineering
2020-03-15,US,99.68,total postings,Civil Engineering
2020-03-16,US,88.71,new postings,Civil Engineering
2020-03-16,US,99.72,total postings,Civil Engineering
2020-03-17,US,87.25,new postings,Civil Engineering
2020-03-17,US,99.62,total postings,Civil Engineering
2020-03-18,US,85.03,new postings,Civil Engineering
2020-03-18,US,99.38,total postings,Civil Engineering
2020-03-19,US,82.21,new postings,Civil Engineering
2020-03-19,US,98.99,total postings,Civil Engineering
2020-03-20,US,77.58,new postings,Civil Engineering
2020-03-20,US,98.28,total postings,Civil Engineering
2020-03-21,US,72.28,new postings,Civil Engineering
2020-03-21,US,97.08,total postings,Civil Engineering
2020-03-22,US,66.6,new postings,Civil Engineering
2020-03-22,US,96.16,total postings,Civil Engineering
2020-03-23,US,61.26,new postings,Civil Engineering
2020-03-23,US,95.25,total postings,Civil Engineering
2020-03-24,US,57.06,new postings,Civil Engineering
2020-03-24,US,94.46,total postings,Civil Engineering
2020-03-25,US,53.66,new postings,Civil Engineering
2020-03-25,US,93.49,total postings,Civil Engineering
2020-03-26,US,51.14,new postings,Civil Engineering
2020-03-26,US,92.38,total postings,Civil Engineering
2020-03-27,US,48.73,new postings,Civil Engineering
2020-03-27,US,90.87,total postings,Civil Engineering
2020-03-28,US,48.56,new postings,Civil Engineering
2020-03-28,US,89.71,total postings,Civil Engineering
2020-03-29,US,48.93,new postings,Civil Engineering
2020-03-29,US,88.25,total postings,Civil Engineering
2020-03-30,US,48.56,new postings,Civil Engineering
2020-03-30,US,86.75,total postings,Civil Engineering
2020-03-31,US,47.22,new postings,Civil Engineering
2020-03-31,US,85.14,total postings,Civil Engineering
2020-04-01,US,46.34,new postings,Civil Engineering
2020-04-01,US,83.36,total postings,Civil Engineering
2020-04-02,US,45.01,new postings,Civil Engineering
2020-04-02,US,81.67,total postings,Civil Engineering
2020-04-03,US,44.35,new postings,Civil Engineering
2020-04-03,US,80.69,total postings,Civil Engineering
2020-04-04,US,42.65,new postings,Civil Engineering
2020-04-04,US,79.6,total postings,Civil Engineering
2020-04-05,US,40.59,new postings,Civil Engineering
2020-04-05,US,78.55,total postings,Civil Engineering
2020-04-06,US,38.44,new postings,Civil Engineering
2020-04-06,US,77.52,total postings,Civil Engineering
2020-04-07,US,37.59,new postings,Civil Engineering
2020-04-07,US,76.39,total postings,Civil Engineering
2020-04-08,US,36.81,new postings,Civil Engineering
2020-04-08,US,75.88,total postings,Civil Engineering
2020-04-09,US,37.58,new postings,Civil Engineering
2020-04-09,US,75.35,total postings,Civil Engineering
2020-04-10,US,38.89,new postings,Civil Engineering
2020-04-10,US,74.65,total postings,Civil Engineering
2020-04-11,US,40.64,new postings,Civil Engineering
2020-04-11,US,74.19,total postings,Civil Engineering
2020-04-12,US,42.77,new postings,Civil Engineering
2020-04-12,US,73.78,total postings,Civil Engineering
2020-04-13,US,45.21,new postings,Civil Engineering
2020-04-13,US,73.41,total postings,Civil Engineering
2020-04-14,US,46.5,new postings,Civil Engineering
2020-04-14,US,73.19,total postings,Civil Engineering
2020-04-15,US,47.09,new postings,Civil Engineering
2020-04-15,US,72.76,total postings,Civil Engineering
2020-04-16,US,46.94,new postings,Civil Engineering
2020-04-16,US,72.43,total postings,Civil Engineering
2020-04-17,US,46.72,new postings,Civil Engineering
2020-04-17,US,72.13,total postings,Civil Engineering
2020-04-18,US,46,new postings,Civil Engineering
2020-04-18,US,71.77,total postings,Civil Engineering
2020-04-19,US,45.44,new postings,Civil Engineering
2020-04-19,US,71.44,total postings,Civil Engineering
