date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Cleaning & Sanitation
2020-02-01,US,100,total postings,Cleaning & Sanitation
2020-02-02,US,100.47,new postings,Cleaning & Sanitation
2020-02-02,US,99.97,total postings,Cleaning & Sanitation
2020-02-03,US,100.85,new postings,Cleaning & Sanitation
2020-02-03,US,99.96,total postings,Cleaning & Sanitation
2020-02-04,US,100.78,new postings,Cleaning & Sanitation
2020-02-04,US,99.84,total postings,Cleaning & Sanitation
2020-02-05,US,101.15,new postings,Cleaning & Sanitation
2020-02-05,US,99.74,total postings,Cleaning & Sanitation
2020-02-06,US,101.47,new postings,Cleaning & Sanitation
2020-02-06,US,99.68,total postings,Cleaning & Sanitation
2020-02-07,US,101.7,new postings,Cleaning & Sanitation
2020-02-07,US,99.59,total postings,Cleaning & Sanitation
2020-02-08,US,101.49,new postings,Cleaning & Sanitation
2020-02-08,US,99.44,total postings,Cleaning & Sanitation
2020-02-09,US,100.47,new postings,Cleaning & Sanitation
2020-02-09,US,99.27,total postings,Cleaning & Sanitation
2020-02-10,US,99.44,new postings,Cleaning & Sanitation
2020-02-10,US,99.05,total postings,Cleaning & Sanitation
2020-02-11,US,99.08,new postings,Cleaning & Sanitation
2020-02-11,US,98.99,total postings,Cleaning & Sanitation
2020-02-12,US,98.55,new postings,Cleaning & Sanitation
2020-02-12,US,98.9,total postings,Cleaning & Sanitation
2020-02-13,US,98.14,new postings,Cleaning & Sanitation
2020-02-13,US,98.82,total postings,Cleaning & Sanitation
2020-02-14,US,97.76,new postings,Cleaning & Sanitation
2020-02-14,US,98.78,total postings,Cleaning & Sanitation
2020-02-15,US,97.62,new postings,Cleaning & Sanitation
2020-02-15,US,98.69,total postings,Cleaning & Sanitation
2020-02-16,US,97.99,new postings,Cleaning & Sanitation
2020-02-16,US,98.67,total postings,Cleaning & Sanitation
2020-02-17,US,98.49,new postings,Cleaning & Sanitation
2020-02-17,US,98.63,total postings,Cleaning & Sanitation
2020-02-18,US,98.56,new postings,Cleaning & Sanitation
2020-02-18,US,98.61,total postings,Cleaning & Sanitation
2020-02-19,US,98.86,new postings,Cleaning & Sanitation
2020-02-19,US,98.62,total postings,Cleaning & Sanitation
2020-02-20,US,99.02,new postings,Cleaning & Sanitation
2020-02-20,US,98.62,total postings,Cleaning & Sanitation
2020-02-21,US,99.47,new postings,Cleaning & Sanitation
2020-02-21,US,98.56,total postings,Cleaning & Sanitation
2020-02-22,US,100,new postings,Cleaning & Sanitation
2020-02-22,US,98.54,total postings,Cleaning & Sanitation
2020-02-23,US,100.26,new postings,Cleaning & Sanitation
2020-02-23,US,98.51,total postings,Cleaning & Sanitation
2020-02-24,US,100.41,new postings,Cleaning & Sanitation
2020-02-24,US,98.51,total postings,Cleaning & Sanitation
2020-02-25,US,101.1,new postings,Cleaning & Sanitation
2020-02-25,US,98.54,total postings,Cleaning & Sanitation
2020-02-26,US,101.93,new postings,Cleaning & Sanitation
2020-02-26,US,98.72,total postings,Cleaning & Sanitation
2020-02-27,US,102.61,new postings,Cleaning & Sanitation
2020-02-27,US,98.86,total postings,Cleaning & Sanitation
2020-02-28,US,103.07,new postings,Cleaning & Sanitation
2020-02-28,US,99.07,total postings,Cleaning & Sanitation
2020-02-29,US,103.37,new postings,Cleaning & Sanitation
2020-02-29,US,99.26,total postings,Cleaning & Sanitation
2020-03-01,US,104.01,new postings,Cleaning & Sanitation
2020-03-01,US,99.46,total postings,Cleaning & Sanitation
2020-03-02,US,104.95,new postings,Cleaning & Sanitation
2020-03-02,US,99.75,total postings,Cleaning & Sanitation
2020-03-03,US,104.83,new postings,Cleaning & Sanitation
2020-03-03,US,99.9,total postings,Cleaning & Sanitation
2020-03-04,US,104.41,new postings,Cleaning & Sanitation
2020-03-04,US,99.79,total postings,Cleaning & Sanitation
2020-03-05,US,104.31,new postings,Cleaning & Sanitation
2020-03-05,US,99.8,total postings,Cleaning & Sanitation
2020-03-06,US,103.83,new postings,Cleaning & Sanitation
2020-03-06,US,99.78,total postings,Cleaning & Sanitation
2020-03-07,US,102.96,new postings,Cleaning & Sanitation
2020-03-07,US,99.78,total postings,Cleaning & Sanitation
2020-03-08,US,101.4,new postings,Cleaning & Sanitation
2020-03-08,US,99.73,total postings,Cleaning & Sanitation
2020-03-09,US,99.31,new postings,Cleaning & Sanitation
2020-03-09,US,99.45,total postings,Cleaning & Sanitation
2020-03-10,US,97.01,new postings,Cleaning & Sanitation
2020-03-10,US,99.14,total postings,Cleaning & Sanitation
2020-03-11,US,95.21,new postings,Cleaning & Sanitation
2020-03-11,US,98.88,total postings,Cleaning & Sanitation
2020-03-12,US,93.76,new postings,Cleaning & Sanitation
2020-03-12,US,98.4,total postings,Cleaning & Sanitation
2020-03-13,US,91.98,new postings,Cleaning & Sanitation
2020-03-13,US,97.95,total postings,Cleaning & Sanitation
2020-03-14,US,90.49,new postings,Cleaning & Sanitation
