date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Community & Social Service
2020-02-01,US,100,new postings,Community & Social Service
2020-02-02,US,100.15,total postings,Community & Social Service
2020-02-02,US,101.36,new postings,Community & Social Service
2020-02-03,US,100.28,total postings,Community & Social Service
2020-02-03,US,102.56,new postings,Community & Social Service
2020-02-04,US,100.32,total postings,Community & Social Service
2020-02-04,US,102.22,new postings,Community & Social Service
2020-02-05,US,100.38,total postings,Community & Social Service
2020-02-05,US,102.51,new postings,Community & Social Service
2020-02-06,US,100.46,total postings,Community & Social Service
2020-02-06,US,102.22,new postings,Community & Social Service
2020-02-07,US,100.53,total postings,Community & Social Service
2020-02-07,US,101.81,new postings,Community & Social Service
2020-02-08,US,100.55,total postings,Community & Social Service
2020-02-08,US,101.24,new postings,Community & Social Service
2020-02-09,US,100.47,total postings,Community & Social Service
2020-02-09,US,100.46,new postings,Community & Social Service
2020-02-10,US,100.44,total postings,Community & Social Service
2020-02-10,US,99.95,new postings,Community & Social Service
2020-02-11,US,100.43,total postings,Community & Social Service
2020-02-11,US,99.92,new postings,Community & Social Service
2020-02-12,US,100.43,total postings,Community & Social Service
2020-02-12,US,99.84,new postings,Community & Social Service
2020-02-13,US,100.35,total postings,Community & Social Service
2020-02-13,US,99.98,new postings,Community & Social Service
2020-02-14,US,100.24,total postings,Community & Social Service
2020-02-14,US,99.9,new postings,Community & Social Service
2020-02-15,US,100.12,total postings,Community & Social Service
2020-02-15,US,100.01,new postings,Community & Social Service
2020-02-16,US,100.11,total postings,Community & Social Service
2020-02-16,US,100.46,new postings,Community & Social Service
2020-02-17,US,100.05,total postings,Community & Social Service
2020-02-17,US,100.66,new postings,Community & Social Service
2020-02-18,US,100.12,total postings,Community & Social Service
2020-02-18,US,100.71,new postings,Community & Social Service
2020-02-19,US,100.04,total postings,Community & Social Service
2020-02-19,US,99.11,new postings,Community & Social Service
2020-02-20,US,100.07,total postings,Community & Social Service
2020-02-20,US,99.05,new postings,Community & Social Service
2020-02-21,US,100.16,total postings,Community & Social Service
2020-02-21,US,99.6,new postings,Community & Social Service
2020-02-22,US,100.11,total postings,Community & Social Service
2020-02-22,US,99.92,new postings,Community & Social Service
2020-02-23,US,100.07,total postings,Community & Social Service
2020-02-23,US,99.85,new postings,Community & Social Service
2020-02-24,US,100.05,total postings,Community & Social Service
2020-02-24,US,99.88,new postings,Community & Social Service
2020-02-25,US,99.96,total postings,Community & Social Service
2020-02-25,US,100.79,new postings,Community & Social Service
2020-02-26,US,100.08,total postings,Community & Social Service
2020-02-26,US,103.08,new postings,Community & Social Service
2020-02-27,US,100.07,total postings,Community & Social Service
2020-02-27,US,103.68,new postings,Community & Social Service
2020-02-28,US,100.06,total postings,Community & Social Service
2020-02-28,US,103.61,new postings,Community & Social Service
2020-02-29,US,100.14,total postings,Community & Social Service
2020-02-29,US,103.96,new postings,Community & Social Service
2020-03-01,US,100.27,total postings,Community & Social Service
2020-03-01,US,104.68,new postings,Community & Social Service
2020-03-02,US,100.35,total postings,Community & Social Service
2020-03-02,US,105.08,new postings,Community & Social Service
2020-03-03,US,100.33,total postings,Community & Social Service
2020-03-03,US,104.46,new postings,Community & Social Service
2020-03-04,US,100.37,total postings,Community & Social Service
2020-03-04,US,103.83,new postings,Community & Social Service
2020-03-05,US,100.44,total postings,Community & Social Service
2020-03-05,US,103.54,new postings,Community & Social Service
2020-03-06,US,100.42,total postings,Community & Social Service
2020-03-06,US,103.53,new postings,Community & Social Service
2020-03-07,US,100.48,total postings,Community & Social Service
2020-03-07,US,102.86,new postings,Community & Social Service
2020-03-08,US,100.49,total postings,Community & Social Service
2020-03-08,US,101.91,new postings,Community & Social Service
2020-03-09,US,100.41,total postings,Community & Social Service
2020-03-09,US,101.34,new postings,Community & Social Service
2020-03-10,US,100.36,total postings,Community & Social Service
2020-03-10,US,100.56,new postings,Community & Social Service
2020-03-11,US,100.25,total postings,Community & Social Service
2020-03-11,US,99.7,new postings,Community & Social Service
2020-03-12,US,100.2,total postings,Community & Social Service
2020-03-12,US,98.58,new postings,Community & Social Service
2020-03-13,US,100.19,total postings,Community & Social Service
2020-03-13,US,96.91,new postings,Community & Social Service
2020-03-14,US,100.1,total postings,Community & Social Service
2020-03-14,US,94.91,new postings,Community & Social Service
2020-03-15,US,99.82,total postings,Community & Social Service
2020-03-15,US,93.01,new postings,Community & Social Service
2020-03-16,US,99.84,total postings,Community & Social Service
2020-03-16,US,91.3,new postings,Community & Social Service
2020-03-17,US,99.45,total postings,Community & Social Service
2020-03-17,US,88.41,new postings,Community & Social Service
2020-03-18,US,98.87,total postings,Community & Social Service
