date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Data & Analytics
2020-02-01,US,100,total postings,Data & Analytics
2020-02-02,US,99.98,new postings,Data & Analytics
2020-02-02,US,99.97,total postings,Data & Analytics
2020-02-03,US,99.77,new postings,Data & Analytics
2020-02-03,US,99.84,total postings,Data & Analytics
2020-02-04,US,98.39,new postings,Data & Analytics
2020-02-04,US,99.72,total postings,Data & Analytics
2020-02-05,US,97.49,new postings,Data & Analytics
2020-02-05,US,99.67,total postings,Data & Analytics
2020-02-06,US,97.27,new postings,Data & Analytics
2020-02-06,US,99.63,total postings,Data & Analytics
2020-02-07,US,97.79,new postings,Data & Analytics
2020-02-07,US,99.63,total postings,Data & Analytics
2020-02-08,US,98.38,new postings,Data & Analytics
2020-02-08,US,99.73,total postings,Data & Analytics
2020-02-09,US,99.21,new postings,Data & Analytics
2020-02-09,US,99.75,total postings,Data & Analytics
2020-02-10,US,100.76,new postings,Data & Analytics
2020-02-10,US,99.98,total postings,Data & Analytics
2020-02-11,US,102.39,new postings,Data & Analytics
2020-02-11,US,100.13,total postings,Data & Analytics
2020-02-12,US,103.63,new postings,Data & Analytics
2020-02-12,US,100.19,total postings,Data & Analytics
2020-02-13,US,104.06,new postings,Data & Analytics
2020-02-13,US,100.2,total postings,Data & Analytics
2020-02-14,US,103.32,new postings,Data & Analytics
2020-02-14,US,100.14,total postings,Data & Analytics
2020-02-15,US,102.63,new postings,Data & Analytics
2020-02-15,US,99.99,total postings,Data & Analytics
2020-02-16,US,102.27,new postings,Data & Analytics
2020-02-16,US,100.04,total postings,Data & Analytics
2020-02-17,US,101.47,new postings,Data & Analytics
2020-02-17,US,100,total postings,Data & Analytics
2020-02-18,US,99.91,new postings,Data & Analytics
2020-02-18,US,99.81,total postings,Data & Analytics
2020-02-19,US,98.67,new postings,Data & Analytics
2020-02-19,US,99.76,total postings,Data & Analytics
2020-02-20,US,97.87,new postings,Data & Analytics
2020-02-20,US,99.74,total postings,Data & Analytics
2020-02-21,US,98.1,new postings,Data & Analytics
2020-02-21,US,99.7,total postings,Data & Analytics
2020-02-22,US,98.49,new postings,Data & Analytics
2020-02-22,US,99.56,total postings,Data & Analytics
2020-02-23,US,98.33,new postings,Data & Analytics
2020-02-23,US,99.53,total postings,Data & Analytics
2020-02-24,US,98.11,new postings,Data & Analytics
2020-02-24,US,99.44,total postings,Data & Analytics
2020-02-25,US,99.77,new postings,Data & Analytics
2020-02-25,US,99.62,total postings,Data & Analytics
2020-02-26,US,101.02,new postings,Data & Analytics
2020-02-26,US,99.68,total postings,Data & Analytics
2020-02-27,US,102.04,new postings,Data & Analytics
2020-02-27,US,99.8,total postings,Data & Analytics
2020-02-28,US,102.31,new postings,Data & Analytics
2020-02-28,US,99.94,total postings,Data & Analytics
2020-02-29,US,102.71,new postings,Data & Analytics
2020-02-29,US,100.22,total postings,Data & Analytics
2020-03-01,US,103.46,new postings,Data & Analytics
2020-03-01,US,100.36,total postings,Data & Analytics
2020-03-02,US,104.18,new postings,Data & Analytics
2020-03-02,US,100.57,total postings,Data & Analytics
2020-03-03,US,103.74,new postings,Data & Analytics
2020-03-03,US,100.69,total postings,Data & Analytics
2020-03-04,US,102.77,new postings,Data & Analytics
2020-03-04,US,100.72,total postings,Data & Analytics
2020-03-05,US,101.87,new postings,Data & Analytics
2020-03-05,US,100.65,total postings,Data & Analytics
2020-03-06,US,101.13,new postings,Data & Analytics
2020-03-06,US,100.66,total postings,Data & Analytics
2020-03-07,US,100.21,new postings,Data & Analytics
2020-03-07,US,100.61,total postings,Data & Analytics
2020-03-08,US,99.09,new postings,Data & Analytics
2020-03-08,US,100.46,total postings,Data & Analytics
