date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Electrical Engineering
2020-02-01,US,100,total postings,Electrical Engineering
2020-02-02,US,101.72,new postings,Electrical Engineering
2020-02-02,US,99.93,total postings,Electrical Engineering
2020-02-03,US,103.03,new postings,Electrical Engineering
2020-02-03,US,99.89,total postings,Electrical Engineering
2020-02-04,US,103.26,new postings,Electrical Engineering
2020-02-04,US,99.81,total postings,Electrical Engineering
2020-02-05,US,103.68,new postings,Electrical Engineering
2020-02-05,US,99.73,total postings,Electrical Engineering
2020-02-06,US,104.1,new postings,Electrical Engineering
2020-02-06,US,99.69,total postings,Electrical Engineering
2020-02-07,US,104.14,new postings,Electrical Engineering
2020-02-07,US,99.67,total postings,Electrical Engineering
2020-02-08,US,103.27,new postings,Electrical Engineering
2020-02-08,US,99.71,total postings,Electrical Engineering
2020-02-09,US,102.56,new postings,Electrical Engineering
2020-02-09,US,99.74,total postings,Electrical Engineering
2020-02-10,US,102.27,new postings,Electrical Engineering
2020-02-10,US,99.78,total postings,Electrical Engineering
2020-02-11,US,102.41,new postings,Electrical Engineering
2020-02-11,US,99.84,total postings,Electrical Engineering
2020-02-12,US,102.46,new postings,Electrical Engineering
2020-02-12,US,99.91,total postings,Electrical Engineering
2020-02-13,US,102.07,new postings,Electrical Engineering
2020-02-13,US,99.9,total postings,Electrical Engineering
2020-02-14,US,101.45,new postings,Electrical Engineering
2020-02-14,US,99.89,total postings,Electrical Engineering
2020-02-15,US,102.05,new postings,Electrical Engineering
2020-02-15,US,99.85,total postings,Electrical Engineering
2020-02-16,US,102.69,new postings,Electrical Engineering
2020-02-16,US,99.95,total postings,Electrical Engineering
2020-02-17,US,103.17,new postings,Electrical Engineering
2020-02-17,US,100.01,total postings,Electrical Engineering
2020-02-18,US,102.96,new postings,Electrical Engineering
2020-02-18,US,99.93,total postings,Electrical Engineering
2020-02-19,US,102.49,new postings,Electrical Engineering
2020-02-19,US,99.9,total postings,Electrical Engineering
2020-02-20,US,102.69,new postings,Electrical Engineering
2020-02-20,US,99.93,total postings,Electrical Engineering
2020-02-21,US,103.35,new postings,Electrical Engineering
2020-02-21,US,99.92,total postings,Electrical Engineering
2020-02-22,US,102.8,new postings,Electrical Engineering
2020-02-22,US,99.85,total postings,Electrical Engineering
2020-02-23,US,101.83,new postings,Electrical Engineering
2020-02-23,US,99.82,total postings,Electrical Engineering
2020-02-24,US,100.66,new postings,Electrical Engineering
2020-02-24,US,99.77,total postings,Electrical Engineering
2020-02-25,US,101.4,new postings,Electrical Engineering
2020-02-25,US,99.85,total postings,Electrical Engineering
2020-02-26,US,102.35,new postings,Electrical Engineering
2020-02-26,US,99.82,total postings,Electrical Engineering
2020-02-27,US,102.1,new postings,Electrical Engineering
2020-02-27,US,99.74,total postings,Electrical Engineering
2020-02-28,US,101.53,new postings,Electrical Engineering
2020-02-28,US,99.7,total postings,Electrical Engineering
2020-02-29,US,101.85,new postings,Electrical Engineering
2020-02-29,US,99.74,total postings,Electrical Engineering
2020-03-01,US,102.5,new postings,Electrical Engineering
2020-03-01,US,99.66,total postings,Electrical Engineering
2020-03-02,US,103.49,new postings,Electrical Engineering
2020-03-02,US,99.6,total postings,Electrical Engineering
2020-03-03,US,102.78,new postings,Electrical Engineering
2020-03-03,US,99.53,total postings,Electrical Engineering
2020-03-04,US,101.44,new postings,Electrical Engineering
2020-03-04,US,99.44,total postings,Electrical Engineering
2020-03-05,US,101,new postings,Electrical Engineering
2020-03-05,US,99.32,total postings,Electrical Engineering
2020-03-06,US,100.8,new postings,Electrical Engineering
2020-03-06,US,99.25,total postings,Electrical Engineering
2020-03-07,US,100.08,new postings,Electrical Engineering
2020-03-07,US,99.17,total postings,Electrical Engineering
2020-03-08,US,99.01,new postings,Electrical Engineering
2020-03-08,US,99.02,total postings,Electrical Engineering
2020-03-09,US,97.19,new postings,Electrical Engineering
2020-03-09,US,98.78,total postings,Electrical Engineering
2020-03-10,US,95.43,new postings,Electrical Engineering
2020-03-10,US,98.74,total postings,Electrical Engineering
2020-03-11,US,94.3,new postings,Electrical Engineering
2020-03-11,US,98.65,total postings,Electrical Engineering
2020-03-12,US,93.04,new postings,Electrical Engineering
2020-03-12,US,98.67,total postings,Electrical Engineering
2020-03-13,US,90.86,new postings,Electrical Engineering
2020-03-13,US,98.59,total postings,Electrical Engineering
2020-03-14,US,88.67,new postings,Electrical Engineering
2020-03-14,US,98.5,total postings,Electrical Engineering
2020-03-15,US,86.81,new postings,Electrical Engineering
2020-03-15,US,98.36,total postings,Electrical Engineering
2020-03-16,US,85.9,new postings,Electrical Engineering
2020-03-16,US,98.33,total postings,Electrical Engineering
