date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Hospitality & Tourism
2020-02-01,US,100,new postings,Hospitality & Tourism
2020-02-02,US,99.99,total postings,Hospitality & Tourism
2020-02-02,US,104.06,new postings,Hospitality & Tourism
2020-02-03,US,99.91,total postings,Hospitality & Tourism
2020-02-03,US,107.91,new postings,Hospitality & Tourism
2020-02-04,US,100.09,total postings,Hospitality & Tourism
2020-02-04,US,110.2,new postings,Hospitality & Tourism
2020-02-05,US,100.46,total postings,Hospitality & Tourism
2020-02-05,US,112.69,new postings,Hospitality & Tourism
2020-02-06,US,100.63,total postings,Hospitality & Tourism
2020-02-06,US,113.01,new postings,Hospitality & Tourism
2020-02-07,US,100.38,total postings,Hospitality & Tourism
2020-02-07,US,110.42,new postings,Hospitality & Tourism
2020-02-08,US,100.24,total postings,Hospitality & Tourism
2020-02-08,US,106.71,new postings,Hospitality & Tourism
2020-02-09,US,100,total postings,Hospitality & Tourism
2020-02-09,US,103.62,new postings,Hospitality & Tourism
2020-02-10,US,99.93,total postings,Hospitality & Tourism
2020-02-10,US,100.55,new postings,Hospitality & Tourism
2020-02-11,US,99.78,total postings,Hospitality & Tourism
2020-02-11,US,97.76,new postings,Hospitality & Tourism
2020-02-12,US,99.67,total postings,Hospitality & Tourism
2020-02-12,US,95.47,new postings,Hospitality & Tourism
2020-02-13,US,99.63,total postings,Hospitality & Tourism
2020-02-13,US,94,new postings,Hospitality & Tourism
2020-02-14,US,99.62,total postings,Hospitality & Tourism
2020-02-14,US,93.71,new postings,Hospitality & Tourism
2020-02-15,US,99.6,total postings,Hospitality & Tourism
2020-02-15,US,93.76,new postings,Hospitality & Tourism
2020-02-16,US,99.63,total postings,Hospitality & Tourism
2020-02-16,US,94.04,new postings,Hospitality & Tourism
2020-02-17,US,99.58,total postings,Hospitality & Tourism
2020-02-17,US,93.72,new postings,Hospitality & Tourism
2020-02-18,US,99.43,total postings,Hospitality & Tourism
2020-02-18,US,93.71,new postings,Hospitality & Tourism
2020-02-19,US,99.22,total postings,Hospitality & Tourism
2020-02-19,US,93.18,new postings,Hospitality & Tourism
2020-02-20,US,99.13,total postings,Hospitality & Tourism
2020-02-20,US,93.35,new postings,Hospitality & Tourism
2020-02-21,US,99.14,total postings,Hospitality & Tourism
2020-02-21,US,93.88,new postings,Hospitality & Tourism
2020-02-22,US,99.04,total postings,Hospitality & Tourism
2020-02-22,US,95.11,new postings,Hospitality & Tourism
2020-02-23,US,99,total postings,Hospitality & Tourism
2020-02-23,US,95.39,new postings,Hospitality & Tourism
2020-02-24,US,99.05,total postings,Hospitality & Tourism
2020-02-24,US,96.52,new postings,Hospitality & Tourism
2020-02-25,US,99.11,total postings,Hospitality & Tourism
2020-02-25,US,97.78,new postings,Hospitality & Tourism
2020-02-26,US,99.11,total postings,Hospitality & Tourism
2020-02-26,US,99.73,new postings,Hospitality & Tourism
2020-02-27,US,98.9,total postings,Hospitality & Tourism
2020-02-27,US,100.94,new postings,Hospitality & Tourism
2020-02-28,US,98.83,total postings,Hospitality & Tourism
2020-02-28,US,101.49,new postings,Hospitality & Tourism
2020-02-29,US,98.94,total postings,Hospitality & Tourism
2020-02-29,US,101.51,new postings,Hospitality & Tourism
2020-03-01,US,98.85,total postings,Hospitality & Tourism
2020-03-01,US,101.83,new postings,Hospitality & Tourism
2020-03-02,US,98.62,total postings,Hospitality & Tourism
