date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Installation & Maintenance
2020-02-01,US,100,new postings,Installation & Maintenance
2020-02-02,US,100.06,total postings,Installation & Maintenance
2020-02-02,US,99.5,new postings,Installation & Maintenance
2020-02-03,US,100.19,total postings,Installation & Maintenance
2020-02-03,US,99.29,new postings,Installation & Maintenance
2020-02-04,US,100.33,total postings,Installation & Maintenance
2020-02-04,US,99.18,new postings,Installation & Maintenance
2020-02-05,US,100.49,total postings,Installation & Maintenance
2020-02-05,US,99.28,new postings,Installation & Maintenance
2020-02-06,US,100.68,total postings,Installation & Maintenance
2020-02-06,US,99.05,new postings,Installation & Maintenance
2020-02-07,US,100.56,total postings,Installation & Maintenance
2020-02-07,US,98.77,new postings,Installation & Maintenance
2020-02-08,US,100.54,total postings,Installation & Maintenance
2020-02-08,US,98.52,new postings,Installation & Maintenance
2020-02-09,US,100.44,total postings,Installation & Maintenance
2020-02-09,US,98.29,new postings,Installation & Maintenance
2020-02-10,US,100.38,total postings,Installation & Maintenance
2020-02-10,US,98.7,new postings,Installation & Maintenance
2020-02-11,US,100.32,total postings,Installation & Maintenance
2020-02-11,US,98.95,new postings,Installation & Maintenance
2020-02-12,US,100.25,total postings,Installation & Maintenance
2020-02-12,US,99.39,new postings,Installation & Maintenance
2020-02-13,US,100.17,total postings,Installation & Maintenance
2020-02-13,US,99.91,new postings,Installation & Maintenance
2020-02-14,US,100.11,total postings,Installation & Maintenance
2020-02-14,US,100.07,new postings,Installation & Maintenance
2020-02-15,US,99.63,total postings,Installation & Maintenance
2020-02-15,US,100.72,new postings,Installation & Maintenance
2020-02-16,US,99.31,total postings,Installation & Maintenance
2020-02-16,US,101.5,new postings,Installation & Maintenance
2020-02-17,US,98.91,total postings,Installation & Maintenance
2020-02-17,US,101.23,new postings,Installation & Maintenance
2020-02-18,US,98.58,total postings,Installation & Maintenance
2020-02-18,US,100.98,new postings,Installation & Maintenance
2020-02-19,US,98.17,total postings,Installation & Maintenance
2020-02-19,US,99.82,new postings,Installation & Maintenance
2020-02-20,US,97.85,total postings,Installation & Maintenance
2020-02-20,US,99.19,new postings,Installation & Maintenance
2020-02-21,US,97.56,total postings,Installation & Maintenance
2020-02-21,US,99.36,new postings,Installation & Maintenance
2020-02-22,US,97.58,total postings,Installation & Maintenance
2020-02-22,US,99.3,new postings,Installation & Maintenance
2020-02-23,US,97.63,total postings,Installation & Maintenance
2020-02-23,US,99.03,new postings,Installation & Maintenance
2020-02-24,US,97.64,total postings,Installation & Maintenance
2020-02-24,US,99.02,new postings,Installation & Maintenance
2020-02-25,US,97.59,total postings,Installation & Maintenance
2020-02-25,US,100.07,new postings,Installation & Maintenance
2020-02-26,US,97.64,total postings,Installation & Maintenance
2020-02-26,US,101.52,new postings,Installation & Maintenance
2020-02-27,US,97.48,total postings,Installation & Maintenance
2020-02-27,US,102.27,new postings,Installation & Maintenance
2020-02-28,US,97.41,total postings,Installation & Maintenance
2020-02-28,US,102.67,new postings,Installation & Maintenance
2020-02-29,US,97.48,total postings,Installation & Maintenance
2020-02-29,US,103.11,new postings,Installation & Maintenance
2020-03-01,US,97.5,total postings,Installation & Maintenance
2020-03-01,US,103.95,new postings,Installation & Maintenance
2020-03-02,US,97.49,total postings,Installation & Maintenance
2020-03-02,US,104.75,new postings,Installation & Maintenance
2020-03-03,US,97.44,total postings,Installation & Maintenance
2020-03-03,US,104.3,new postings,Installation & Maintenance
2020-03-04,US,97.33,total postings,Installation & Maintenance
2020-03-04,US,104.19,new postings,Installation & Maintenance
2020-03-05,US,97.35,total postings,Installation & Maintenance
2020-03-05,US,104.5,new postings,Installation & Maintenance
2020-03-06,US,97.29,total postings,Installation & Maintenance
2020-03-06,US,104.67,new postings,Installation & Maintenance
2020-03-07,US,97.19,total postings,Installation & Maintenance
2020-03-07,US,104.49,new postings,Installation & Maintenance
2020-03-08,US,97.02,total postings,Installation & Maintenance
2020-03-08,US,103.25,new postings,Installation & Maintenance
2020-03-09,US,96.74,total postings,Installation & Maintenance
2020-03-09,US,101.93,new postings,Installation & Maintenance
2020-03-10,US,96.6,total postings,Installation & Maintenance
2020-03-10,US,100.43,new postings,Installation & Maintenance
2020-03-11,US,96.45,total postings,Installation & Maintenance
2020-03-11,US,99.02,new postings,Installation & Maintenance
2020-03-12,US,96.31,total postings,Installation & Maintenance
2020-03-12,US,97.19,new postings,Installation & Maintenance
2020-03-13,US,96.08,total postings,Installation & Maintenance
2020-03-13,US,94.79,new postings,Installation & Maintenance
2020-03-14,US,95.72,total postings,Installation & Maintenance
2020-03-14,US,92.51,new postings,Installation & Maintenance
2020-03-15,US,95.32,total postings,Installation & Maintenance
2020-03-15,US,91.11,new postings,Installation & Maintenance
2020-03-16,US,95.12,total postings,Installation & Maintenance
2020-03-16,US,90.11,new postings,Installation & Maintenance
2020-03-17,US,94.56,total postings,Installation & Maintenance
2020-03-17,US,88.27,new postings,Installation & Maintenance
2020-03-18,US,93.84,total postings,Installation & Maintenance
2020-03-18,US,84.99,new postings,Installation & Maintenance
2020-03-19,US,92.89,total postings,Installation & Maintenance
2020-03-19,US,80.95,new postings,Installation & Maintenance
2020-03-20,US,91.71,total postings,Installation & Maintenance
2020-03-20,US,76.7,new postings,Installation & Maintenance
2020-03-21,US,90.27,total postings,Installation & Maintenance
2020-03-21,US,72.29,new postings,Installation & Maintenance
2020-03-22,US,88.86,total postings,Installation & Maintenance
2020-03-22,US,67.58,new postings,Installation & Maintenance
2020-03-23,US,87.38,total postings,Installation & Maintenance
2020-03-23,US,62.6,new postings,Installation & Maintenance
2020-03-24,US,85.98,total postings,Installation & Maintenance
2020-03-24,US,59.11,new postings,Installation & Maintenance
2020-03-25,US,84.45,total postings,Installation & Maintenance
2020-03-25,US,56.35,new postings,Installation & Maintenance
2020-03-26,US,82.92,total postings,Installation & Maintenance
2020-03-26,US,54.43,new postings,Installation & Maintenance
2020-03-27,US,81.27,total postings,Installation & Maintenance
2020-03-27,US,52.44,new postings,Installation & Maintenance
2020-03-28,US,79.87,total postings,Installation & Maintenance
2020-03-28,US,50.89,new postings,Installation & Maintenance
2020-03-29,US,78.43,total postings,Installation & Maintenance
2020-03-29,US,49.36,new postings,Installation & Maintenance
2020-03-30,US,76.98,total postings,Installation & Maintenance
2020-03-30,US,48.06,new postings,Installation & Maintenance
2020-03-31,US,75.58,total postings,Installation & Maintenance
2020-03-31,US,46.31,new postings,Installation & Maintenance
2020-04-01,US,74.22,total postings,Installation & Maintenance
2020-04-01,US,44.63,new postings,Installation & Maintenance
2020-04-02,US,72.94,total postings,Installation & Maintenance
2020-04-02,US,43.11,new postings,Installation & Maintenance
2020-04-03,US,71.98,total postings,Installation & Maintenance
2020-04-03,US,42.62,new postings,Installation & Maintenance
2020-04-04,US,70.92,total postings,Installation & Maintenance
2020-04-04,US,41.88,new postings,Installation & Maintenance
2020-04-05,US,69.84,total postings,Installation & Maintenance
2020-04-05,US,40.81,new postings,Installation & Maintenance
2020-04-06,US,68.77,total postings,Installation & Maintenance
2020-04-06,US,39.51,new postings,Installation & Maintenance
2020-04-07,US,67.62,total postings,Installation & Maintenance
2020-04-07,US,38.4,new postings,Installation & Maintenance
2020-04-08,US,66.66,total postings,Installation & Maintenance
2020-04-08,US,38.01,new postings,Installation & Maintenance
2020-04-09,US,65.78,total postings,Installation & Maintenance
2020-04-09,US,37.41,new postings,Installation & Maintenance
2020-04-10,US,64.86,total postings,Installation & Maintenance
2020-04-10,US,36.97,new postings,Installation & Maintenance
2020-04-11,US,64.17,total postings,Installation & Maintenance
2020-04-11,US,37.34,new postings,Installation & Maintenance
2020-04-12,US,63.5,total postings,Installation & Maintenance
2020-04-12,US,38.23,new postings,Installation & Maintenance
2020-04-13,US,62.86,total postings,Installation & Maintenance
2020-04-13,US,39.33,new postings,Installation & Maintenance
2020-04-14,US,62.39,total postings,Installation & Maintenance
2020-04-14,US,40.35,new postings,Installation & Maintenance
2020-04-15,US,61.96,total postings,Installation & Maintenance
2020-04-15,US,40.9,new postings,Installation & Maintenance
2020-04-16,US,61.46,total postings,Installation & Maintenance
2020-04-16,US,41.58,new postings,Installation & Maintenance
2020-04-17,US,61.09,total postings,Installation & Maintenance
2020-04-17,US,42,new postings,Installation & Maintenance
2020-04-18,US,60.72,total postings,Installation & Maintenance
2020-04-18,US,42.16,new postings,Installation & Maintenance
2020-04-19,US,60.33,total postings,Installation & Maintenance
2020-04-19,US,42.13,new postings,Installation & Maintenance
2020-04-20,US,60.04,total postings,Installation & Maintenance
2020-04-20,US,42.14,new postings,Installation & Maintenance
2020-04-21,US,59.8,total postings,Installation & Maintenance
2020-04-21,US,42.84,new postings,Installation & Maintenance
2020-04-22,US,59.45,total postings,Installation & Maintenance
2020-04-22,US,43.4,new postings,Installation & Maintenance
2020-04-23,US,59.34,total postings,Installation & Maintenance
2020-04-23,US,44.22,new postings,Installation & Maintenance
2020-04-24,US,59.18,total postings,Installation & Maintenance
2020-04-24,US,45.17,new postings,Installation & Maintenance
2020-04-25,US,58.97,total postings,Installation & Maintenance
2020-04-25,US,45.74,new postings,Installation & Maintenance
2020-04-26,US,58.86,total postings,Installation & Maintenance
2020-04-26,US,46.52,new postings,Installation & Maintenance
2020-04-27,US,58.77,total postings,Installation & Maintenance
2020-04-27,US,47.32,new postings,Installation & Maintenance
2020-04-28,US,58.6,total postings,Installation & Maintenance
2020-04-28,US,47.72,new postings,Installation & Maintenance
2020-04-29,US,58.65,total postings,Installation & Maintenance
2020-04-29,US,48.77,new postings,Installation & Maintenance
2020-04-30,US,58.66,total postings,Installation & Maintenance
2020-04-30,US,49.98,new postings,Installation & Maintenance
2020-05-01,US,58.58,total postings,Installation & Maintenance
2020-05-01,US,51.91,new postings,Installation & Maintenance
2020-05-02,US,58.7,total postings,Installation & Maintenance
2020-05-02,US,53.87,new postings,Installation & Maintenance
2020-05-03,US,58.86,total postings,Installation & Maintenance
2020-05-03,US,55.79,new postings,Installation & Maintenance
2020-05-04,US,58.96,total postings,Installation & Maintenance
2020-05-04,US,57.52,new postings,Installation & Maintenance
2020-05-05,US,59.16,total postings,Installation & Maintenance
2020-05-05,US,59.31,new postings,Installation & Maintenance
2020-05-06,US,59.39,total postings,Installation & Maintenance
2020-05-06,US,60.65,new postings,Installation & Maintenance
2020-05-07,US,59.62,total postings,Installation & Maintenance
2020-05-07,US,61.75,new postings,Installation & Maintenance
2020-05-08,US,59.95,total postings,Installation & Maintenance
2020-05-08,US,61.51,new postings,Installation & Maintenance
2020-05-09,US,60.22,total postings,Installation & Maintenance
2020-05-09,US,61.54,new postings,Installation & Maintenance
2020-05-10,US,60.53,total postings,Installation & Maintenance
2020-05-10,US,61.37,new postings,Installation & Maintenance
2020-05-11,US,60.82,total postings,Installation & Maintenance
2020-05-11,US,61.44,new postings,Installation & Maintenance
2020-05-12,US,61.1,total postings,Installation & Maintenance
2020-05-12,US,61.31,new postings,Installation & Maintenance
2020-05-13,US,60.96,total postings,Installation & Maintenance
2020-05-13,US,61.28,new postings,Installation & Maintenance
2020-05-14,US,60.94,total postings,Installation & Maintenance
2020-05-14,US,61.5,new postings,Installation & Maintenance
2020-05-15,US,61.18,total postings,Installation & Maintenance
2020-05-15,US,62.24,new postings,Installation & Maintenance
2020-05-16,US,61.25,total postings,Installation & Maintenance
2020-05-16,US,62.63,new postings,Installation & Maintenance
2020-05-17,US,61.32,total postings,Installation & Maintenance
2020-05-17,US,63.09,new postings,Installation & Maintenance
2020-05-18,US,61.48,total postings,Installation & Maintenance
2020-05-18,US,63.51,new postings,Installation & Maintenance
2020-05-19,US,61.62,total postings,Installation & Maintenance
2020-05-19,US,64.04,new postings,Installation & Maintenance
2020-05-20,US,62.1,total postings,Installation & Maintenance
2020-05-20,US,64.61,new postings,Installation & Maintenance
2020-05-21,US,62.49,total postings,Installation & Maintenance
2020-05-21,US,65.31,new postings,Installation & Maintenance
2020-05-22,US,62.72,total postings,Installation & Maintenance
2020-05-22,US,66.07,new postings,Installation & Maintenance
2020-05-23,US,63.12,total postings,Installation & Maintenance
2020-05-23,US,67.05,new postings,Installation & Maintenance
2020-05-24,US,63.39,total postings,Installation & Maintenance
2020-05-24,US,67.87,new postings,Installation & Maintenance
2020-05-25,US,63.56,total postings,Installation & Maintenance
2020-05-25,US,68.4,new postings,Installation & Maintenance
2020-05-26,US,63.62,total postings,Installation & Maintenance
2020-05-26,US,67.38,new postings,Installation & Maintenance
2020-05-27,US,63.71,total postings,Installation & Maintenance
2020-05-27,US,66.49,new postings,Installation & Maintenance
