date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,"IT Infrastructure, Operations & Support"
2020-02-01,US,100,new postings,"IT Infrastructure, Operations & Support"
2020-02-02,US,99.91,total postings,"IT Infrastructure, Operations & Support"
2020-02-02,US,100.33,new postings,"IT Infrastructure, Operations & Support"
2020-02-03,US,99.83,total postings,"IT Infrastructure, Operations & Support"
2020-02-03,US,100.73,new postings,"IT Infrastructure, Operations & Support"
2020-02-04,US,99.57,total postings,"IT Infrastructure, Operations & Support"
2020-02-04,US,99.96,new postings,"IT Infrastructure, Operations & Support"
2020-02-05,US,99.48,total postings,"IT Infrastructure, Operations & Support"
2020-02-05,US,99.6,new postings,"IT Infrastructure, Operations & Support"
2020-02-06,US,99.46,total postings,"IT Infrastructure, Operations & Support"
2020-02-06,US,99.43,new postings,"IT Infrastructure, Operations & Support"
2020-02-07,US,99.46,total postings,"IT Infrastructure, Operations & Support"
2020-02-07,US,99.21,new postings,"IT Infrastructure, Operations & Support"
2020-02-08,US,99.39,total postings,"IT Infrastructure, Operations & Support"
2020-02-08,US,98.91,new postings,"IT Infrastructure, Operations & Support"
2020-02-09,US,99.31,total postings,"IT Infrastructure, Operations & Support"
2020-02-09,US,98.55,new postings,"IT Infrastructure, Operations & Support"
2020-02-10,US,99.29,total postings,"IT Infrastructure, Operations & Support"
2020-02-10,US,98.27,new postings,"IT Infrastructure, Operations & Support"
2020-02-11,US,99.27,total postings,"IT Infrastructure, Operations & Support"
2020-02-11,US,98.67,new postings,"IT Infrastructure, Operations & Support"
2020-02-12,US,99.18,total postings,"IT Infrastructure, Operations & Support"
2020-02-12,US,99.08,new postings,"IT Infrastructure, Operations & Support"
2020-02-13,US,99.14,total postings,"IT Infrastructure, Operations & Support"
2020-02-13,US,99.2,new postings,"IT Infrastructure, Operations & Support"
2020-02-14,US,99.09,total postings,"IT Infrastructure, Operations & Support"
2020-02-14,US,99.35,new postings,"IT Infrastructure, Operations & Support"
2020-02-15,US,99.09,total postings,"IT Infrastructure, Operations & Support"
2020-02-15,US,99.72,new postings,"IT Infrastructure, Operations & Support"
2020-02-16,US,99.19,total postings,"IT Infrastructure, Operations & Support"
2020-02-16,US,100.2,new postings,"IT Infrastructure, Operations & Support"
2020-02-17,US,99.2,total postings,"IT Infrastructure, Operations & Support"
2020-02-17,US,100.84,new postings,"IT Infrastructure, Operations & Support"
2020-02-18,US,99.23,total postings,"IT Infrastructure, Operations & Support"
2020-02-18,US,100.57,new postings,"IT Infrastructure, Operations & Support"
2020-02-19,US,99.22,total postings,"IT Infrastructure, Operations & Support"
2020-02-19,US,100.14,new postings,"IT Infrastructure, Operations & Support"
2020-02-20,US,99.19,total postings,"IT Infrastructure, Operations & Support"
2020-02-20,US,100.28,new postings,"IT Infrastructure, Operations & Support"
2020-02-21,US,99.2,total postings,"IT Infrastructure, Operations & Support"
2020-02-21,US,100.78,new postings,"IT Infrastructure, Operations & Support"
2020-02-22,US,98.85,total postings,"IT Infrastructure, Operations & Support"
2020-02-22,US,100.85,new postings,"IT Infrastructure, Operations & Support"
2020-02-23,US,98.6,total postings,"IT Infrastructure, Operations & Support"
2020-02-23,US,100.5,new postings,"IT Infrastructure, Operations & Support"
2020-02-24,US,98.32,total postings,"IT Infrastructure, Operations & Support"
2020-02-24,US,99.64,new postings,"IT Infrastructure, Operations & Support"
2020-02-25,US,98.11,total postings,"IT Infrastructure, Operations & Support"
2020-02-25,US,100.19,new postings,"IT Infrastructure, Operations & Support"
2020-02-26,US,97.9,total postings,"IT Infrastructure, Operations & Support"
2020-02-26,US,100.45,new postings,"IT Infrastructure, Operations & Support"
2020-02-27,US,97.7,total postings,"IT Infrastructure, Operations & Support"
2020-02-27,US,100.27,new postings,"IT Infrastructure, Operations & Support"
2020-02-28,US,97.47,total postings,"IT Infrastructure, Operations & Support"
2020-02-28,US,99.79,new postings,"IT Infrastructure, Operations & Support"
2020-02-29,US,97.62,total postings,"IT Infrastructure, Operations & Support"
2020-02-29,US,100.4,new postings,"IT Infrastructure, Operations & Support"
2020-03-01,US,97.66,total postings,"IT Infrastructure, Operations & Support"
2020-03-01,US,101.07,new postings,"IT Infrastructure, Operations & Support"
2020-03-02,US,97.75,total postings,"IT Infrastructure, Operations & Support"
2020-03-02,US,101.82,new postings,"IT Infrastructure, Operations & Support"
2020-03-03,US,97.85,total postings,"IT Infrastructure, Operations & Support"
2020-03-03,US,102.09,new postings,"IT Infrastructure, Operations & Support"
2020-03-04,US,97.96,total postings,"IT Infrastructure, Operations & Support"
2020-03-04,US,102.28,new postings,"IT Infrastructure, Operations & Support"
2020-03-05,US,98.08,total postings,"IT Infrastructure, Operations & Support"
2020-03-05,US,102.85,new postings,"IT Infrastructure, Operations & Support"
2020-03-06,US,98.16,total postings,"IT Infrastructure, Operations & Support"
2020-03-06,US,103.09,new postings,"IT Infrastructure, Operations & Support"
2020-03-07,US,98.25,total postings,"IT Infrastructure, Operations & Support"
2020-03-07,US,102.7,new postings,"IT Infrastructure, Operations & Support"
2020-03-08,US,98.28,total postings,"IT Infrastructure, Operations & Support"
2020-03-08,US,102.5,new postings,"IT Infrastructure, Operations & Support"
2020-03-09,US,98.25,total postings,"IT Infrastructure, Operations & Support"
2020-03-09,US,102.21,new postings,"IT Infrastructure, Operations & Support"
2020-03-10,US,98.29,total postings,"IT Infrastructure, Operations & Support"
2020-03-10,US,101.68,new postings,"IT Infrastructure, Operations & Support"
2020-03-11,US,98.26,total postings,"IT Infrastructure, Operations & Support"
2020-03-11,US,101.26,new postings,"IT Infrastructure, Operations & Support"
2020-03-12,US,98.27,total postings,"IT Infrastructure, Operations & Support"
2020-03-12,US,100.69,new postings,"IT Infrastructure, Operations & Support"
2020-03-13,US,98.17,total postings,"IT Infrastructure, Operations & Support"
2020-03-13,US,100.12,new postings,"IT Infrastructure, Operations & Support"
2020-03-14,US,98.04,total postings,"IT Infrastructure, Operations & Support"
2020-03-14,US,98.99,new postings,"IT Infrastructure, Operations & Support"
2020-03-15,US,97.86,total postings,"IT Infrastructure, Operations & Support"
2020-03-15,US,97.54,new postings,"IT Infrastructure, Operations & Support"
2020-03-16,US,97.79,total postings,"IT Infrastructure, Operations & Support"
2020-03-16,US,96.91,new postings,"IT Infrastructure, Operations & Support"
2020-03-17,US,97.49,total postings,"IT Infrastructure, Operations & Support"
2020-03-17,US,95.02,new postings,"IT Infrastructure, Operations & Support"
2020-03-18,US,97.05,total postings,"IT Infrastructure, Operations & Support"
2020-03-18,US,92.45,new postings,"IT Infrastructure, Operations & Support"
2020-03-19,US,96.47,total postings,"IT Infrastructure, Operations & Support"
2020-03-19,US,88.8,new postings,"IT Infrastructure, Operations & Support"
2020-03-20,US,95.75,total postings,"IT Infrastructure, Operations & Support"
2020-03-20,US,84.53,new postings,"IT Infrastructure, Operations & Support"
2020-03-21,US,94.76,total postings,"IT Infrastructure, Operations & Support"
2020-03-21,US,80.48,new postings,"IT Infrastructure, Operations & Support"
2020-03-22,US,93.89,total postings,"IT Infrastructure, Operations & Support"
2020-03-22,US,76.62,new postings,"IT Infrastructure, Operations & Support"
2020-03-23,US,92.89,total postings,"IT Infrastructure, Operations & Support"
2020-03-23,US,71.67,new postings,"IT Infrastructure, Operations & Support"
2020-03-24,US,92.11,total postings,"IT Infrastructure, Operations & Support"
2020-03-24,US,69.23,new postings,"IT Infrastructure, Operations & Support"
2020-03-25,US,91.2,total postings,"IT Infrastructure, Operations & Support"
2020-03-25,US,67.04,new postings,"IT Infrastructure, Operations & Support"
2020-03-26,US,90.22,total postings,"IT Infrastructure, Operations & Support"
2020-03-26,US,65.47,new postings,"IT Infrastructure, Operations & Support"
2020-03-27,US,88.95,total postings,"IT Infrastructure, Operations & Support"
2020-03-27,US,63.32,new postings,"IT Infrastructure, Operations & Support"
2020-03-28,US,87.8,total postings,"IT Infrastructure, Operations & Support"
2020-03-28,US,61.79,new postings,"IT Infrastructure, Operations & Support"
2020-03-29,US,86.53,total postings,"IT Infrastructure, Operations & Support"
2020-03-29,US,59.99,new postings,"IT Infrastructure, Operations & Support"
2020-03-30,US,85.32,total postings,"IT Infrastructure, Operations & Support"
2020-03-30,US,58.84,new postings,"IT Infrastructure, Operations & Support"
2020-03-31,US,83.93,total postings,"IT Infrastructure, Operations & Support"
2020-03-31,US,56.42,new postings,"IT Infrastructure, Operations & Support"
2020-04-01,US,82.64,total postings,"IT Infrastructure, Operations & Support"
2020-04-01,US,54.65,new postings,"IT Infrastructure, Operations & Support"
2020-04-02,US,81.41,total postings,"IT Infrastructure, Operations & Support"
2020-04-02,US,53.34,new postings,"IT Infrastructure, Operations & Support"
2020-04-03,US,80.6,total postings,"IT Infrastructure, Operations & Support"
2020-04-03,US,53.56,new postings,"IT Infrastructure, Operations & Support"
2020-04-04,US,79.73,total postings,"IT Infrastructure, Operations & Support"
2020-04-04,US,53.34,new postings,"IT Infrastructure, Operations & Support"
2020-04-05,US,78.85,total postings,"IT Infrastructure, Operations & Support"
2020-04-05,US,53.15,new postings,"IT Infrastructure, Operations & Support"
2020-04-06,US,77.76,total postings,"IT Infrastructure, Operations & Support"
2020-04-06,US,52.31,new postings,"IT Infrastructure, Operations & Support"
2020-04-07,US,76.65,total postings,"IT Infrastructure, Operations & Support"
2020-04-07,US,51.55,new postings,"IT Infrastructure, Operations & Support"
2020-04-08,US,75.85,total postings,"IT Infrastructure, Operations & Support"
2020-04-08,US,51.21,new postings,"IT Infrastructure, Operations & Support"
2020-04-09,US,75.12,total postings,"IT Infrastructure, Operations & Support"
2020-04-09,US,51.02,new postings,"IT Infrastructure, Operations & Support"
2020-04-10,US,74.4,total postings,"IT Infrastructure, Operations & Support"
2020-04-10,US,50.64,new postings,"IT Infrastructure, Operations & Support"
2020-04-11,US,73.85,total postings,"IT Infrastructure, Operations & Support"
2020-04-11,US,50.69,new postings,"IT Infrastructure, Operations & Support"
2020-04-12,US,73.34,total postings,"IT Infrastructure, Operations & Support"
2020-04-12,US,50.79,new postings,"IT Infrastructure, Operations & Support"
2020-04-13,US,73.07,total postings,"IT Infrastructure, Operations & Support"
2020-04-13,US,51.36,new postings,"IT Infrastructure, Operations & Support"
2020-04-14,US,72.76,total postings,"IT Infrastructure, Operations & Support"
2020-04-14,US,51.87,new postings,"IT Infrastructure, Operations & Support"
2020-04-15,US,72.42,total postings,"IT Infrastructure, Operations & Support"
2020-04-15,US,52.16,new postings,"IT Infrastructure, Operations & Support"
2020-04-16,US,72.05,total postings,"IT Infrastructure, Operations & Support"
2020-04-16,US,51.82,new postings,"IT Infrastructure, Operations & Support"
2020-04-17,US,71.67,total postings,"IT Infrastructure, Operations & Support"
2020-04-17,US,51.22,new postings,"IT Infrastructure, Operations & Support"
2020-04-18,US,71.27,total postings,"IT Infrastructure, Operations & Support"
2020-04-18,US,50.48,new postings,"IT Infrastructure, Operations & Support"
2020-04-19,US,70.86,total postings,"IT Infrastructure, Operations & Support"
2020-04-19,US,49.82,new postings,"IT Infrastructure, Operations & Support"
2020-04-20,US,70.49,total postings,"IT Infrastructure, Operations & Support"
2020-04-20,US,49.13,new postings,"IT Infrastructure, Operations & Support"
2020-04-21,US,70.26,total postings,"IT Infrastructure, Operations & Support"
2020-04-21,US,48.51,new postings,"IT Infrastructure, Operations & Support"
2020-04-22,US,69.88,total postings,"IT Infrastructure, Operations & Support"
2020-04-22,US,47.66,new postings,"IT Infrastructure, Operations & Support"
2020-04-23,US,69.57,total postings,"IT Infrastructure, Operations & Support"
2020-04-23,US,47.19,new postings,"IT Infrastructure, Operations & Support"
2020-04-24,US,69.3,total postings,"IT Infrastructure, Operations & Support"
2020-04-24,US,47.09,new postings,"IT Infrastructure, Operations & Support"
2020-04-25,US,69.01,total postings,"IT Infrastructure, Operations & Support"
2020-04-25,US,46.95,new postings,"IT Infrastructure, Operations & Support"
2020-04-26,US,68.82,total postings,"IT Infrastructure, Operations & Support"
2020-04-26,US,46.83,new postings,"IT Infrastructure, Operations & Support"
2020-04-27,US,68.56,total postings,"IT Infrastructure, Operations & Support"
2020-04-27,US,47.26,new postings,"IT Infrastructure, Operations & Support"
2020-04-28,US,68.23,total postings,"IT Infrastructure, Operations & Support"
2020-04-28,US,47.44,new postings,"IT Infrastructure, Operations & Support"
2020-04-29,US,67.97,total postings,"IT Infrastructure, Operations & Support"
2020-04-29,US,47.77,new postings,"IT Infrastructure, Operations & Support"
2020-04-30,US,67.72,total postings,"IT Infrastructure, Operations & Support"
2020-04-30,US,48.31,new postings,"IT Infrastructure, Operations & Support"
2020-05-01,US,67.58,total postings,"IT Infrastructure, Operations & Support"
2020-05-01,US,48.68,new postings,"IT Infrastructure, Operations & Support"
2020-05-02,US,67.45,total postings,"IT Infrastructure, Operations & Support"
2020-05-02,US,48.97,new postings,"IT Infrastructure, Operations & Support"
2020-05-03,US,67.19,total postings,"IT Infrastructure, Operations & Support"
2020-05-03,US,48.97,new postings,"IT Infrastructure, Operations & Support"
2020-05-04,US,67.08,total postings,"IT Infrastructure, Operations & Support"
