date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,IT Systems & Solutions
2020-02-01,US,100,total postings,IT Systems & Solutions
2020-02-02,US,99.43,new postings,IT Systems & Solutions
2020-02-02,US,99.61,total postings,IT Systems & Solutions
2020-02-03,US,99.36,new postings,IT Systems & Solutions
2020-02-03,US,99.43,total postings,IT Systems & Solutions
2020-02-04,US,99.27,new postings,IT Systems & Solutions
2020-02-04,US,99.18,total postings,IT Systems & Solutions
2020-02-05,US,99.52,new postings,IT Systems & Solutions
2020-02-05,US,99.08,total postings,IT Systems & Solutions
2020-02-06,US,99.53,new postings,IT Systems & Solutions
2020-02-06,US,99,total postings,IT Systems & Solutions
2020-02-07,US,99.62,new postings,IT Systems & Solutions
2020-02-07,US,98.92,total postings,IT Systems & Solutions
2020-02-08,US,99.8,new postings,IT Systems & Solutions
2020-02-08,US,98.91,total postings,IT Systems & Solutions
2020-02-09,US,99.7,new postings,IT Systems & Solutions
2020-02-09,US,98.85,total postings,IT Systems & Solutions
2020-02-10,US,99.32,new postings,IT Systems & Solutions
2020-02-10,US,98.85,total postings,IT Systems & Solutions
2020-02-11,US,98.98,new postings,IT Systems & Solutions
2020-02-11,US,98.79,total postings,IT Systems & Solutions
2020-02-12,US,98.61,new postings,IT Systems & Solutions
2020-02-12,US,98.67,total postings,IT Systems & Solutions
2020-02-13,US,98.56,new postings,IT Systems & Solutions
2020-02-13,US,98.57,total postings,IT Systems & Solutions
2020-02-14,US,98.68,new postings,IT Systems & Solutions
2020-02-14,US,98.46,total postings,IT Systems & Solutions
2020-02-15,US,98.52,new postings,IT Systems & Solutions
2020-02-15,US,98.32,total postings,IT Systems & Solutions
2020-02-16,US,98.95,new postings,IT Systems & Solutions
2020-02-16,US,98.36,total postings,IT Systems & Solutions
2020-02-17,US,99.56,new postings,IT Systems & Solutions
2020-02-17,US,98.34,total postings,IT Systems & Solutions
2020-02-18,US,99.5,new postings,IT Systems & Solutions
2020-02-18,US,98.29,total postings,IT Systems & Solutions
2020-02-19,US,99.44,new postings,IT Systems & Solutions
2020-02-19,US,98.26,total postings,IT Systems & Solutions
2020-02-20,US,99.27,new postings,IT Systems & Solutions
2020-02-20,US,98.36,total postings,IT Systems & Solutions
2020-02-21,US,99.17,new postings,IT Systems & Solutions
2020-02-21,US,98.43,total postings,IT Systems & Solutions
2020-02-22,US,99.05,new postings,IT Systems & Solutions
2020-02-22,US,98.35,total postings,IT Systems & Solutions
2020-02-23,US,98.81,new postings,IT Systems & Solutions
2020-02-23,US,98.36,total postings,IT Systems & Solutions
2020-02-24,US,98.46,new postings,IT Systems & Solutions
2020-02-24,US,98.34,total postings,IT Systems & Solutions
2020-02-25,US,99.37,new postings,IT Systems & Solutions
2020-02-25,US,98.47,total postings,IT Systems & Solutions
2020-02-26,US,99.97,new postings,IT Systems & Solutions
