date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Legal
2020-02-01,US,100,total postings,Legal
2020-02-02,US,101.68,new postings,Legal
2020-02-02,US,99.97,total postings,Legal
2020-02-03,US,102.97,new postings,Legal
2020-02-03,US,99.97,total postings,Legal
2020-02-04,US,103.8,new postings,Legal
2020-02-04,US,99.98,total postings,Legal
2020-02-05,US,103.94,new postings,Legal
2020-02-05,US,99.86,total postings,Legal
2020-02-06,US,104.09,new postings,Legal
2020-02-06,US,99.77,total postings,Legal
2020-02-07,US,103.97,new postings,Legal
2020-02-07,US,99.68,total postings,Legal
2020-02-08,US,103.89,new postings,Legal
2020-02-08,US,99.64,total postings,Legal
2020-02-09,US,103.78,new postings,Legal
2020-02-09,US,99.59,total postings,Legal
2020-02-10,US,103.98,new postings,Legal
2020-02-10,US,99.56,total postings,Legal
2020-02-11,US,103.87,new postings,Legal
2020-02-11,US,99.46,total postings,Legal
2020-02-12,US,104.53,new postings,Legal
2020-02-12,US,99.45,total postings,Legal
2020-02-13,US,105.33,new postings,Legal
2020-02-13,US,99.5,total postings,Legal
2020-02-14,US,105.94,new postings,Legal
2020-02-14,US,99.54,total postings,Legal
2020-02-15,US,106.36,new postings,Legal
2020-02-15,US,99.5,total postings,Legal
2020-02-16,US,106.73,new postings,Legal
2020-02-16,US,99.57,total postings,Legal
2020-02-17,US,107.16,new postings,Legal
2020-02-17,US,99.58,total postings,Legal
2020-02-18,US,107.56,new postings,Legal
2020-02-18,US,99.53,total postings,Legal
2020-02-19,US,107.35,new postings,Legal
2020-02-19,US,99.47,total postings,Legal
2020-02-20,US,106.93,new postings,Legal
2020-02-20,US,99.46,total postings,Legal
2020-02-21,US,106.97,new postings,Legal
2020-02-21,US,99.46,total postings,Legal
2020-02-22,US,107.06,new postings,Legal
2020-02-22,US,99.26,total postings,Legal
2020-02-23,US,106.84,new postings,Legal
2020-02-23,US,99.17,total postings,Legal
2020-02-24,US,106.48,new postings,Legal
2020-02-24,US,99.06,total postings,Legal
2020-02-25,US,107.36,new postings,Legal
2020-02-25,US,99.11,total postings,Legal
2020-02-26,US,108.57,new postings,Legal
2020-02-26,US,99.21,total postings,Legal
2020-02-27,US,109.51,new postings,Legal
2020-02-27,US,99.2,total postings,Legal
2020-02-28,US,109.19,new postings,Legal
2020-02-28,US,99.17,total postings,Legal
2020-02-29,US,108.93,new postings,Legal
2020-02-29,US,99.35,total postings,Legal
2020-03-01,US,108.55,new postings,Legal
2020-03-01,US,99.37,total postings,Legal
2020-03-02,US,108.36,new postings,Legal
2020-03-02,US,99.48,total postings,Legal
2020-03-03,US,107.25,new postings,Legal
2020-03-03,US,99.57,total postings,Legal
2020-03-04,US,105.9,new postings,Legal
2020-03-04,US,99.53,total postings,Legal
2020-03-05,US,104.9,new postings,Legal
2020-03-05,US,99.53,total postings,Legal
2020-03-06,US,104.61,new postings,Legal
2020-03-06,US,99.55,total postings,Legal
2020-03-07,US,104.65,new postings,Legal
2020-03-07,US,99.59,total postings,Legal
2020-03-08,US,104.71,new postings,Legal
2020-03-08,US,99.52,total postings,Legal
2020-03-09,US,104.64,new postings,Legal
2020-03-09,US,99.39,total postings,Legal
2020-03-10,US,104.26,new postings,Legal
2020-03-10,US,99.27,total postings,Legal
2020-03-11,US,103.67,new postings,Legal
2020-03-11,US,99.11,total postings,Legal
2020-03-12,US,102.61,new postings,Legal
2020-03-12,US,98.92,total postings,Legal
2020-03-13,US,101.35,new postings,Legal
2020-03-13,US,98.73,total postings,Legal
2020-03-14,US,99.08,new postings,Legal
2020-03-14,US,98.46,total postings,Legal
2020-03-15,US,96.85,new postings,Legal
2020-03-15,US,98.18,total postings,Legal
2020-03-16,US,94.91,new postings,Legal
2020-03-16,US,97.95,total postings,Legal
2020-03-17,US,91.66,new postings,Legal
2020-03-17,US,97.41,total postings,Legal
2020-03-18,US,87.15,new postings,Legal
2020-03-18,US,96.79,total postings,Legal
2020-03-19,US,81.51,new postings,Legal
2020-03-19,US,95.86,total postings,Legal
2020-03-20,US,74.99,new postings,Legal
2020-03-20,US,94.54,total postings,Legal
2020-03-21,US,68.33,new postings,Legal
2020-03-21,US,92.82,total postings,Legal
2020-03-22,US,61.67,new postings,Legal
2020-03-22,US,91.27,total postings,Legal
2020-03-23,US,54.77,new postings,Legal
2020-03-23,US,89.58,total postings,Legal
2020-03-24,US,49.2,new postings,Legal
2020-03-24,US,88.02,total postings,Legal
2020-03-25,US,44.96,new postings,Legal
2020-03-25,US,86.18,total postings,Legal
2020-03-26,US,41.49,new postings,Legal
2020-03-26,US,84.31,total postings,Legal
2020-03-27,US,38.74,new postings,Legal
2020-03-27,US,82.4,total postings,Legal
2020-03-28,US,37.16,new postings,Legal
2020-03-28,US,80.71,total postings,Legal
2020-03-29,US,35.7,new postings,Legal
2020-03-29,US,78.91,total postings,Legal
2020-03-30,US,34.36,new postings,Legal
2020-03-30,US,77.25,total postings,Legal
2020-03-31,US,32.97,new postings,Legal
2020-03-31,US,75.52,total postings,Legal
2020-04-01,US,31.78,new postings,Legal
2020-04-01,US,73.87,total postings,Legal
2020-04-02,US,31,new postings,Legal
2020-04-02,US,72.19,total postings,Legal
2020-04-03,US,30.67,new postings,Legal
2020-04-03,US,70.96,total postings,Legal
2020-04-04,US,30.34,new postings,Legal
2020-04-04,US,69.76,total postings,Legal
2020-04-05,US,29.53,new postings,Legal
2020-04-05,US,68.47,total postings,Legal
2020-04-06,US,28.55,new postings,Legal
2020-04-06,US,67.02,total postings,Legal
2020-04-07,US,27.86,new postings,Legal
2020-04-07,US,65.64,total postings,Legal
2020-04-08,US,27.59,new postings,Legal
2020-04-08,US,64.55,total postings,Legal
2020-04-09,US,27.71,new postings,Legal
2020-04-09,US,63.67,total postings,Legal
2020-04-10,US,28.01,new postings,Legal
2020-04-10,US,62.79,total postings,Legal
2020-04-11,US,28.6,new postings,Legal
2020-04-11,US,62.1,total postings,Legal
2020-04-12,US,29.4,new postings,Legal
2020-04-12,US,61.33,total postings,Legal
2020-04-13,US,30.5,new postings,Legal
2020-04-13,US,60.78,total postings,Legal
2020-04-14,US,31.06,new postings,Legal
2020-04-14,US,60.05,total postings,Legal
2020-04-15,US,31.18,new postings,Legal
2020-04-15,US,59.36,total postings,Legal
2020-04-16,US,30.65,new postings,Legal
2020-04-16,US,58.72,total postings,Legal
2020-04-17,US,30.37,new postings,Legal
2020-04-17,US,58.05,total postings,Legal
2020-04-18,US,29.98,new postings,Legal
2020-04-18,US,57.44,total postings,Legal
2020-04-19,US,29.89,new postings,Legal
2020-04-19,US,56.9,total postings,Legal
2020-04-20,US,29.71,new postings,Legal
2020-04-20,US,56.43,total postings,Legal
2020-04-21,US,30.18,new postings,Legal
2020-04-21,US,56.2,total postings,Legal
2020-04-22,US,30.85,new postings,Legal
2020-04-22,US,55.91,total postings,Legal
2020-04-23,US,31.85,new postings,Legal
2020-04-23,US,55.65,total postings,Legal
2020-04-24,US,32.34,new postings,Legal
2020-04-24,US,55.34,total postings,Legal
2020-04-25,US,33.12,new postings,Legal
2020-04-25,US,55.06,total postings,Legal
2020-04-26,US,33.85,new postings,Legal
2020-04-26,US,54.86,total postings,Legal
2020-04-27,US,35.01,new postings,Legal
2020-04-27,US,54.59,total postings,Legal
2020-04-28,US,35.03,new postings,Legal
2020-04-28,US,54.25,total postings,Legal
2020-04-29,US,35.36,new postings,Legal
2020-04-29,US,54.01,total postings,Legal
2020-04-30,US,35.7,new postings,Legal
2020-04-30,US,53.78,total postings,Legal
2020-05-01,US,35.98,new postings,Legal
2020-05-01,US,53.59,total postings,Legal
2020-05-02,US,35.89,new postings,Legal
2020-05-02,US,53.36,total postings,Legal
2020-05-03,US,35.24,new postings,Legal
2020-05-03,US,52.97,total postings,Legal
2020-05-04,US,34.23,new postings,Legal
2020-05-04,US,52.67,total postings,Legal
2020-05-05,US,34.36,new postings,Legal
2020-05-05,US,52.43,total postings,Legal
2020-05-06,US,34.68,new postings,Legal
2020-05-06,US,52.24,total postings,Legal
2020-05-07,US,35.05,new postings,Legal
2020-05-07,US,52.03,total postings,Legal
2020-05-08,US,35.67,new postings,Legal
2020-05-08,US,51.84,total postings,Legal
2020-05-09,US,36.21,new postings,Legal
2020-05-09,US,51.72,total postings,Legal
2020-05-10,US,37.29,new postings,Legal
2020-05-10,US,51.81,total postings,Legal
2020-05-11,US,38.57,new postings,Legal
2020-05-11,US,51.8,total postings,Legal
2020-05-12,US,39.86,new postings,Legal
2020-05-12,US,51.79,total postings,Legal
