date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Logistic Support
2020-02-01,US,100,total postings,Logistic Support
2020-02-02,US,99.89,total postings,Logistic Support
2020-02-02,US,99.15,new postings,Logistic Support
2020-02-03,US,97.52,new postings,Logistic Support
2020-02-03,US,99.78,total postings,Logistic Support
2020-02-04,US,94.8,new postings,Logistic Support
2020-02-04,US,99.56,total postings,Logistic Support
2020-02-05,US,99.55,total postings,Logistic Support
2020-02-05,US,92.25,new postings,Logistic Support
2020-02-06,US,99.5,total postings,Logistic Support
2020-02-06,US,89.74,new postings,Logistic Support
2020-02-07,US,87.69,new postings,Logistic Support
2020-02-07,US,99.3,total postings,Logistic Support
2020-02-08,US,99.32,total postings,Logistic Support
2020-02-08,US,87.34,new postings,Logistic Support
2020-02-09,US,99.19,total postings,Logistic Support
2020-02-09,US,88.84,new postings,Logistic Support
2020-02-10,US,98.74,total postings,Logistic Support
2020-02-10,US,90.33,new postings,Logistic Support
2020-02-11,US,98.39,total postings,Logistic Support
2020-02-11,US,94.11,new postings,Logistic Support
2020-02-12,US,97.99,total postings,Logistic Support
2020-02-12,US,97.41,new postings,Logistic Support
2020-02-13,US,100.63,new postings,Logistic Support
2020-02-13,US,97.59,total postings,Logistic Support
2020-02-14,US,103.41,new postings,Logistic Support
2020-02-14,US,97.33,total postings,Logistic Support
2020-02-15,US,96.91,total postings,Logistic Support
2020-02-15,US,105.82,new postings,Logistic Support
2020-02-16,US,96.57,total postings,Logistic Support
2020-02-16,US,106.65,new postings,Logistic Support
2020-02-17,US,107.87,new postings,Logistic Support
2020-02-17,US,96.5,total postings,Logistic Support
2020-02-18,US,96.53,total postings,Logistic Support
2020-02-18,US,105.89,new postings,Logistic Support
2020-02-19,US,104.47,new postings,Logistic Support
2020-02-19,US,96.53,total postings,Logistic Support
2020-02-20,US,103.26,new postings,Logistic Support
2020-02-20,US,96.54,total postings,Logistic Support
2020-02-21,US,102.49,new postings,Logistic Support
2020-02-21,US,96.48,total postings,Logistic Support
2020-02-22,US,96.27,total postings,Logistic Support
2020-02-22,US,101.49,new postings,Logistic Support
2020-02-23,US,101.12,new postings,Logistic Support
2020-02-23,US,96.24,total postings,Logistic Support
2020-02-24,US,100.18,new postings,Logistic Support
2020-02-24,US,96.25,total postings,Logistic Support
2020-02-25,US,101.11,new postings,Logistic Support
2020-02-25,US,96.11,total postings,Logistic Support
2020-02-26,US,95.98,total postings,Logistic Support
2020-02-26,US,101.54,new postings,Logistic Support
2020-02-27,US,101.03,new postings,Logistic Support
2020-02-27,US,95.76,total postings,Logistic Support
2020-02-28,US,95.72,total postings,Logistic Support
2020-02-28,US,100.16,new postings,Logistic Support
2020-02-29,US,95.99,total postings,Logistic Support
2020-02-29,US,99.11,new postings,Logistic Support
2020-03-01,US,97.73,new postings,Logistic Support
2020-03-01,US,96.11,total postings,Logistic Support
2020-03-02,US,97.13,new postings,Logistic Support
