date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Management
2020-02-01,US,100,new postings,Management
2020-02-02,US,100.25,total postings,Management
2020-02-02,US,100.42,new postings,Management
2020-02-03,US,100.46,total postings,Management
2020-02-03,US,100.75,new postings,Management
2020-02-04,US,100.63,total postings,Management
2020-02-04,US,100.76,new postings,Management
2020-02-05,US,100.95,total postings,Management
2020-02-05,US,100.43,new postings,Management
2020-02-06,US,101.37,total postings,Management
2020-02-06,US,100.43,new postings,Management
2020-02-07,US,100.83,total postings,Management
2020-02-07,US,98.85,new postings,Management
2020-02-08,US,100.89,total postings,Management
2020-02-08,US,102.91,new postings,Management
2020-02-09,US,100.88,total postings,Management
2020-02-09,US,105.87,new postings,Management
2020-02-10,US,101.02,total postings,Management
2020-02-10,US,109.08,new postings,Management
2020-02-11,US,101.16,total postings,Management
2020-02-11,US,112.28,new postings,Management
2020-02-12,US,101.19,total postings,Management
2020-02-12,US,115.46,new postings,Management
2020-02-13,US,101.23,total postings,Management
2020-02-13,US,118.71,new postings,Management
2020-02-14,US,101.72,total postings,Management
2020-02-14,US,123.9,new postings,Management
2020-02-15,US,101,total postings,Management
2020-02-15,US,120.96,new postings,Management
2020-02-16,US,100.42,total postings,Management
2020-02-16,US,118.79,new postings,Management
2020-02-17,US,99.68,total postings,Management
2020-02-17,US,116.72,new postings,Management
2020-02-18,US,98.82,total postings,Management
2020-02-18,US,113.53,new postings,Management
2020-02-19,US,98.02,total postings,Management
2020-02-19,US,110.08,new postings,Management
2020-02-20,US,97.2,total postings,Management
2020-02-20,US,106.62,new postings,Management
2020-02-21,US,96.48,total postings,Management
2020-02-21,US,102.94,new postings,Management
2020-02-22,US,96.4,total postings,Management
2020-02-22,US,101.9,new postings,Management
2020-02-23,US,96.42,total postings,Management
2020-02-23,US,100.52,new postings,Management
2020-02-24,US,96.48,total postings,Management
2020-02-24,US,98.95,new postings,Management
2020-02-25,US,96.71,total postings,Management
2020-02-25,US,99.13,new postings,Management
2020-02-26,US,96.98,total postings,Management
2020-02-26,US,99.93,new postings,Management
2020-02-27,US,97.2,total postings,Management
2020-02-27,US,100.86,new postings,Management
2020-02-28,US,97.32,total postings,Management
2020-02-28,US,102.3,new postings,Management
2020-02-29,US,97.39,total postings,Management
2020-02-29,US,104.38,new postings,Management
2020-03-01,US,97.38,total postings,Management
2020-03-01,US,106.26,new postings,Management
2020-03-02,US,97.48,total postings,Management
2020-03-02,US,107.25,new postings,Management
2020-03-03,US,97.34,total postings,Management
2020-03-03,US,107.27,new postings,Management
2020-03-04,US,97.19,total postings,Management
2020-03-04,US,107.11,new postings,Management
2020-03-05,US,97.05,total postings,Management
2020-03-05,US,106.24,new postings,Management
2020-03-06,US,96.8,total postings,Management
2020-03-06,US,105.02,new postings,Management
2020-03-07,US,96.14,total postings,Management
2020-03-07,US,100.47,new postings,Management
2020-03-08,US,95.96,total postings,Management
2020-03-08,US,99.99,new postings,Management
2020-03-09,US,95.72,total postings,Management
2020-03-09,US,100.39,new postings,Management
2020-03-10,US,95.67,total postings,Management
2020-03-10,US,101.65,new postings,Management
2020-03-11,US,95.54,total postings,Management
2020-03-11,US,102.4,new postings,Management
2020-03-12,US,95.44,total postings,Management
2020-03-12,US,103.78,new postings,Management
2020-03-13,US,95.41,total postings,Management
2020-03-13,US,105.12,new postings,Management
2020-03-14,US,95.8,total postings,Management
2020-03-14,US,108.54,new postings,Management
2020-03-15,US,95.59,total postings,Management
2020-03-15,US,107.03,new postings,Management
2020-03-16,US,95.38,total postings,Management
2020-03-16,US,105.36,new postings,Management
2020-03-17,US,95.12,total postings,Management
2020-03-17,US,101.43,new postings,Management
2020-03-18,US,94.77,total postings,Management
2020-03-18,US,96.3,new postings,Management
2020-03-19,US,94.31,total postings,Management
2020-03-19,US,89.7,new postings,Management
2020-03-20,US,93.75,total postings,Management
2020-03-20,US,82.33,new postings,Management
2020-03-21,US,92.81,total postings,Management
2020-03-21,US,76.48,new postings,Management
2020-03-22,US,91.97,total postings,Management
2020-03-22,US,71.91,new postings,Management
2020-03-23,US,91.04,total postings,Management
2020-03-23,US,67.02,new postings,Management
2020-03-24,US,90.1,total postings,Management
2020-03-24,US,64.86,new postings,Management
2020-03-25,US,88.98,total postings,Management
2020-03-25,US,63.82,new postings,Management
2020-03-26,US,87.77,total postings,Management
2020-03-26,US,63.88,new postings,Management
2020-03-27,US,86.5,total postings,Management
2020-03-27,US,64.52,new postings,Management
2020-03-28,US,85.61,total postings,Management
2020-03-28,US,63.06,new postings,Management
2020-03-29,US,84.65,total postings,Management
2020-03-29,US,61.72,new postings,Management
2020-03-30,US,83.75,total postings,Management
2020-03-30,US,61.04,new postings,Management
2020-03-31,US,82.81,total postings,Management
2020-03-31,US,59.21,new postings,Management
2020-04-01,US,81.95,total postings,Management
2020-04-01,US,56.95,new postings,Management
2020-04-02,US,81.21,total postings,Management
2020-04-02,US,55.02,new postings,Management
2020-04-03,US,80.62,total postings,Management
2020-04-03,US,53.37,new postings,Management
2020-04-04,US,79.27,total postings,Management
2020-04-04,US,51.42,new postings,Management
2020-04-05,US,77.9,total postings,Management
2020-04-05,US,48.62,new postings,Management
2020-04-06,US,77.04,total postings,Management
2020-04-06,US,46.56,new postings,Management
2020-04-07,US,75.62,total postings,Management
2020-04-07,US,43.3,new postings,Management
2020-04-08,US,74.76,total postings,Management
2020-04-08,US,45.02,new postings,Management
2020-04-09,US,73.92,total postings,Management
2020-04-09,US,46.42,new postings,Management
2020-04-10,US,73.14,total postings,Management
2020-04-10,US,49.74,new postings,Management
2020-04-11,US,73,total postings,Management
2020-04-11,US,55.92,new postings,Management
2020-04-12,US,72.85,total postings,Management
2020-04-12,US,62.12,new postings,Management
2020-04-13,US,72.24,total postings,Management
2020-04-13,US,67.23,new postings,Management
2020-04-14,US,72.06,total postings,Management
2020-04-14,US,72.42,new postings,Management
2020-04-15,US,71.36,total postings,Management
2020-04-15,US,70.31,new postings,Management
2020-04-16,US,70.75,total postings,Management
2020-04-16,US,68.34,new postings,Management
2020-04-17,US,69.99,total postings,Management
2020-04-17,US,65.19,new postings,Management
2020-04-18,US,69.34,total postings,Management
2020-04-18,US,61.94,new postings,Management
2020-04-19,US,68.72,total postings,Management
2020-04-19,US,59.6,new postings,Management
2020-04-20,US,68.11,total postings,Management
2020-04-20,US,57.12,new postings,Management
2020-04-21,US,67.81,total postings,Management
2020-04-21,US,55.98,new postings,Management
2020-04-22,US,67.55,total postings,Management
2020-04-22,US,58.22,new postings,Management
2020-04-23,US,67.21,total postings,Management
2020-04-23,US,60.73,new postings,Management
2020-04-24,US,67.01,total postings,Management
2020-04-24,US,62.61,new postings,Management
2020-04-25,US,66.89,total postings,Management
2020-04-25,US,63.17,new postings,Management
2020-04-26,US,66.79,total postings,Management
2020-04-26,US,63.13,new postings,Management
2020-04-27,US,66.73,total postings,Management
2020-04-27,US,63.76,new postings,Management
2020-04-28,US,66.63,total postings,Management
2020-04-28,US,63.92,new postings,Management
2020-04-29,US,66.54,total postings,Management
2020-04-29,US,64.49,new postings,Management
2020-04-30,US,66.56,total postings,Management
2020-04-30,US,65.02,new postings,Management
2020-05-01,US,66.49,total postings,Management
2020-05-01,US,65.26,new postings,Management
2020-05-02,US,66.32,total postings,Management
2020-05-02,US,66.32,new postings,Management
2020-05-03,US,66.12,total postings,Management
2020-05-03,US,67.45,new postings,Management
2020-05-04,US,65.81,total postings,Management
2020-05-04,US,67.49,new postings,Management
2020-05-05,US,65.6,total postings,Management
2020-05-05,US,68.08,new postings,Management
2020-05-06,US,65.48,total postings,Management
2020-05-06,US,68.06,new postings,Management
2020-05-07,US,64.73,total postings,Management
2020-05-07,US,66.51,new postings,Management
2020-05-08,US,64.78,total postings,Management
2020-05-08,US,68.24,new postings,Management
2020-05-09,US,64.93,total postings,Management
2020-05-09,US,68.47,new postings,Management
2020-05-10,US,65.13,total postings,Management
2020-05-10,US,70.08,new postings,Management
2020-05-11,US,65.09,total postings,Management
2020-05-11,US,71.38,new postings,Management
2020-05-12,US,64.97,total postings,Management
2020-05-12,US,72.62,new postings,Management
2020-05-13,US,64.53,total postings,Management
2020-05-13,US,74.8,new postings,Management
2020-05-14,US,64.94,total postings,Management
2020-05-14,US,78.85,new postings,Management
2020-05-15,US,64.83,total postings,Management
2020-05-15,US,79.33,new postings,Management
2020-05-16,US,64.54,total postings,Management
2020-05-16,US,78.8,new postings,Management
2020-05-17,US,64.53,total postings,Management
2020-05-17,US,77.3,new postings,Management
2020-05-18,US,64.74,total postings,Management
2020-05-18,US,76.24,new postings,Management
2020-05-19,US,64.78,total postings,Management
2020-05-19,US,75.17,new postings,Management
2020-05-20,US,65.3,total postings,Management
2020-05-20,US,72.23,new postings,Management
2020-05-21,US,65.67,total postings,Management
2020-05-21,US,68.81,new postings,Management
2020-05-22,US,65.98,total postings,Management
2020-05-22,US,67.56,new postings,Management
2020-05-23,US,66.3,total postings,Management
2020-05-23,US,68.55,new postings,Management
2020-05-24,US,66.43,total postings,Management
2020-05-24,US,69.08,new postings,Management
2020-05-25,US,66.47,total postings,Management
2020-05-25,US,69.82,new postings,Management
2020-05-26,US,66.68,total postings,Management
2020-05-26,US,69.1,new postings,Management
2020-05-27,US,66.73,total postings,Management
2020-05-27,US,69.57,new postings,Management
2020-05-28,US,66.55,total postings,Management
2020-05-28,US,70.4,new postings,Management
2020-05-29,US,66.52,total postings,Management
2020-05-29,US,70.44,new postings,Management
2020-05-30,US,66.75,total postings,Management
2020-05-30,US,69,new postings,Management
2020-05-31,US,66.8,total postings,Management
2020-05-31,US,70.51,new postings,Management
2020-06-01,US,66.93,total postings,Management
2020-06-01,US,72.7,new postings,Management
2020-06-02,US,67.07,total postings,Management
2020-06-02,US,76.58,new postings,Management
2020-06-03,US,67.4,total postings,Management
2020-06-03,US,79.93,new postings,Management
2020-06-04,US,67.86,total postings,Management
2020-06-04,US,84.25,new postings,Management
2020-06-05,US,68.15,total postings,Management
2020-06-05,US,87.3,new postings,Management
2020-06-06,US,68.33,total postings,Management
2020-06-06,US,90.98,new postings,Management
2020-06-07,US,68.15,total postings,Management
2020-06-07,US,87.87,new postings,Management
2020-06-08,US,68.4,total postings,Management
2020-06-08,US,88.38,new postings,Management
2020-06-09,US,68.63,total postings,Management
2020-06-09,US,88,new postings,Management
2020-06-10,US,68.63,total postings,Management
2020-06-10,US,88.83,new postings,Management
2020-06-11,US,68.79,total postings,Management
2020-06-11,US,87.56,new postings,Management
2020-06-12,US,68.95,total postings,Management
2020-06-12,US,87.32,new postings,Management
2020-06-13,US,69.29,total postings,Management
2020-06-13,US,89.23,new postings,Management
2020-06-14,US,70.17,total postings,Management
2020-06-14,US,95.54,new postings,Management
2020-06-15,US,70.62,total postings,Management
2020-06-15,US,97.07,new postings,Management
2020-06-16,US,71.28,total postings,Management
2020-06-16,US,99.3,new postings,Management
2020-06-17,US,71.94,total postings,Management
2020-06-17,US,100.07,new postings,Management
2020-06-18,US,72.52,total postings,Management
2020-06-18,US,102.08,new postings,Management
2020-06-19,US,73.01,total postings,Management
2020-06-19,US,100.89,new postings,Management
2020-06-20,US,73.66,total postings,Management
2020-06-20,US,99.76,new postings,Management
2020-06-21,US,74.37,total postings,Management
2020-06-21,US,98.25,new postings,Management
2020-06-22,US,75.19,total postings,Management
2020-06-22,US,97.66,new postings,Management
2020-06-23,US,75.05,total postings,Management
2020-06-23,US,95.55,new postings,Management
2020-06-24,US,74.97,total postings,Management
2020-06-24,US,94.54,new postings,Management
2020-06-25,US,74.94,total postings,Management
2020-06-25,US,92.88,new postings,Management
2020-06-26,US,74.96,total postings,Management
2020-06-26,US,93.31,new postings,Management
2020-06-27,US,74.67,total postings,Management
2020-06-27,US,92.28,new postings,Management
2020-06-28,US,74.26,total postings,Management
2020-06-28,US,91.57,new postings,Management
2020-06-29,US,73.66,total postings,Management
2020-06-29,US,90.56,new postings,Management
2020-06-30,US,73.89,total postings,Management
2020-06-30,US,90.86,new postings,Management
2020-07-01,US,74.04,total postings,Management
2020-07-01,US,90.14,new postings,Management
2020-07-02,US,74.12,total postings,Management
2020-07-02,US,91.07,new postings,Management
2020-07-03,US,74.15,total postings,Management
2020-07-03,US,92.91,new postings,Management
2020-07-04,US,74.22,total postings,Management
2020-07-04,US,91.1,new postings,Management
2020-07-05,US,74.24,total postings,Management
2020-07-05,US,91.99,new postings,Management
2020-07-06,US,74.42,total postings,Management
2020-07-06,US,91.77,new postings,Management
2020-07-07,US,73.99,total postings,Management
2020-07-07,US,88.71,new postings,Management
2020-07-08,US,74.26,total postings,Management
2020-07-08,US,90.97,new postings,Management
2020-07-09,US,74.6,total postings,Management
2020-07-09,US,92.01,new postings,Management
2020-07-10,US,74.88,total postings,Management
2020-07-10,US,93.32,new postings,Management
2020-07-11,US,75.21,total postings,Management
2020-07-11,US,97.92,new postings,Management
2020-07-12,US,75.5,total postings,Management
2020-07-12,US,98.41,new postings,Management
2020-07-13,US,75.68,total postings,Management
2020-07-13,US,99.6,new postings,Management
2020-07-14,US,76.47,total postings,Management
2020-07-14,US,103.97,new postings,Management
2020-07-15,US,76.58,total postings,Management
2020-07-15,US,103.83,new postings,Management
2020-07-16,US,76.57,total postings,Management
2020-07-16,US,102.73,new postings,Management
2020-07-17,US,76.71,total postings,Management
