date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Marketing
2020-02-01,US,100,total postings,Marketing
2020-02-02,US,101.42,new postings,Marketing
2020-02-02,US,99.97,total postings,Marketing
2020-02-03,US,102.56,new postings,Marketing
2020-02-03,US,99.99,total postings,Marketing
2020-02-04,US,102.88,new postings,Marketing
2020-02-04,US,99.99,total postings,Marketing
2020-02-05,US,102.77,new postings,Marketing
2020-02-05,US,100.03,total postings,Marketing
2020-02-06,US,102.83,new postings,Marketing
2020-02-06,US,100.09,total postings,Marketing
2020-02-07,US,103.02,new postings,Marketing
2020-02-07,US,100.13,total postings,Marketing
2020-02-08,US,102.79,new postings,Marketing
2020-02-08,US,100.17,total postings,Marketing
2020-02-09,US,102.76,new postings,Marketing
2020-02-09,US,100.19,total postings,Marketing
2020-02-10,US,103.53,new postings,Marketing
2020-02-10,US,100.33,total postings,Marketing
2020-02-11,US,104.48,new postings,Marketing
2020-02-11,US,100.45,total postings,Marketing
2020-02-12,US,105.24,new postings,Marketing
2020-02-12,US,100.56,total postings,Marketing
2020-02-13,US,105.86,new postings,Marketing
2020-02-13,US,100.68,total postings,Marketing
2020-02-14,US,106.34,new postings,Marketing
2020-02-14,US,100.77,total postings,Marketing
2020-02-15,US,106.63,new postings,Marketing
2020-02-15,US,100.82,total postings,Marketing
2020-02-16,US,107.3,new postings,Marketing
2020-02-16,US,100.99,total postings,Marketing
2020-02-17,US,107.23,new postings,Marketing
2020-02-17,US,101,total postings,Marketing
2020-02-18,US,106.44,new postings,Marketing
2020-02-18,US,100.94,total postings,Marketing
2020-02-19,US,105.91,new postings,Marketing
2020-02-19,US,100.93,total postings,Marketing
2020-02-20,US,105.29,new postings,Marketing
2020-02-20,US,100.86,total postings,Marketing
2020-02-21,US,105.24,new postings,Marketing
2020-02-21,US,100.92,total postings,Marketing
2020-02-22,US,105.18,new postings,Marketing
2020-02-22,US,100.8,total postings,Marketing
2020-02-23,US,104.48,new postings,Marketing
2020-02-23,US,100.82,total postings,Marketing
2020-02-24,US,103.96,new postings,Marketing
2020-02-24,US,100.81,total postings,Marketing
2020-02-25,US,105.16,new postings,Marketing
2020-02-25,US,100.95,total postings,Marketing
2020-02-26,US,105.68,new postings,Marketing
2020-02-26,US,100.97,total postings,Marketing
2020-02-27,US,106.05,new postings,Marketing
2020-02-27,US,101.06,total postings,Marketing
2020-02-28,US,105.66,new postings,Marketing
2020-02-28,US,101.05,total postings,Marketing
2020-02-29,US,105.66,new postings,Marketing
2020-02-29,US,101.23,total postings,Marketing
2020-03-01,US,105.67,new postings,Marketing
2020-03-01,US,101.27,total postings,Marketing
2020-03-02,US,105.27,new postings,Marketing
2020-03-02,US,101.33,total postings,Marketing
2020-03-03,US,103.78,new postings,Marketing
2020-03-03,US,101.33,total postings,Marketing
2020-03-04,US,102.73,new postings,Marketing
2020-03-04,US,101.29,total postings,Marketing
2020-03-05,US,101.9,new postings,Marketing
2020-03-05,US,101.24,total postings,Marketing
2020-03-06,US,101.09,new postings,Marketing
2020-03-06,US,101.11,total postings,Marketing
2020-03-07,US,99.93,new postings,Marketing
2020-03-07,US,101.05,total postings,Marketing
2020-03-08,US,98.76,new postings,Marketing
2020-03-08,US,100.93,total postings,Marketing
2020-03-09,US,98.29,new postings,Marketing
2020-03-09,US,100.75,total postings,Marketing
2020-03-10,US,97.73,new postings,Marketing
2020-03-10,US,100.67,total postings,Marketing
2020-03-11,US,97.02,new postings,Marketing
2020-03-11,US,100.49,total postings,Marketing
2020-03-12,US,95.68,new postings,Marketing
2020-03-12,US,100.34,total postings,Marketing
2020-03-13,US,94.31,new postings,Marketing
2020-03-13,US,100.21,total postings,Marketing
2020-03-14,US,92.58,new postings,Marketing
2020-03-14,US,99.99,total postings,Marketing
2020-03-15,US,91.01,new postings,Marketing
2020-03-15,US,99.7,total postings,Marketing
2020-03-16,US,89.19,new postings,Marketing
2020-03-16,US,99.47,total postings,Marketing
2020-03-17,US,85.51,new postings,Marketing
2020-03-17,US,98.91,total postings,Marketing
2020-03-18,US,80.7,new postings,Marketing
2020-03-18,US,98.18,total postings,Marketing
2020-03-19,US,75.33,new postings,Marketing
2020-03-19,US,96.86,total postings,Marketing
2020-03-20,US,69.2,new postings,Marketing
2020-03-20,US,95.17,total postings,Marketing
2020-03-21,US,63.07,new postings,Marketing
2020-03-21,US,93.02,total postings,Marketing
2020-03-22,US,56.71,new postings,Marketing
2020-03-22,US,90.92,total postings,Marketing
2020-03-23,US,50.29,new postings,Marketing
2020-03-23,US,88.73,total postings,Marketing
2020-03-24,US,46.75,new postings,Marketing
2020-03-24,US,86.52,total postings,Marketing
2020-03-25,US,44.49,new postings,Marketing
2020-03-25,US,84.22,total postings,Marketing
2020-03-26,US,43.04,new postings,Marketing
2020-03-26,US,82.11,total postings,Marketing
2020-03-27,US,41.05,new postings,Marketing
2020-03-27,US,79.79,total postings,Marketing
2020-03-28,US,39.66,new postings,Marketing
2020-03-28,US,77.76,total postings,Marketing
2020-03-29,US,38.26,new postings,Marketing
2020-03-29,US,75.66,total postings,Marketing
2020-03-30,US,36.9,new postings,Marketing
2020-03-30,US,73.65,total postings,Marketing
2020-03-31,US,34.59,new postings,Marketing
2020-03-31,US,71.63,total postings,Marketing
2020-04-01,US,31.92,new postings,Marketing
2020-04-01,US,69.6,total postings,Marketing
2020-04-02,US,29.56,new postings,Marketing
2020-04-02,US,67.53,total postings,Marketing
2020-04-03,US,28.86,new postings,Marketing
2020-04-03,US,65.81,total postings,Marketing
2020-04-04,US,28.12,new postings,Marketing
2020-04-04,US,64.08,total postings,Marketing
2020-04-05,US,27.64,new postings,Marketing
2020-04-05,US,62.31,total postings,Marketing
2020-04-06,US,26.98,new postings,Marketing
2020-04-06,US,60.42,total postings,Marketing
2020-04-07,US,26.12,new postings,Marketing
2020-04-07,US,58.62,total postings,Marketing
2020-04-08,US,25.81,new postings,Marketing
2020-04-08,US,57.16,total postings,Marketing
2020-04-09,US,25.43,new postings,Marketing
2020-04-09,US,55.88,total postings,Marketing
2020-04-10,US,25.08,new postings,Marketing
2020-04-10,US,54.89,total postings,Marketing
2020-04-11,US,25.41,new postings,Marketing
2020-04-11,US,54.08,total postings,Marketing
2020-04-12,US,25.78,new postings,Marketing
2020-04-12,US,53.36,total postings,Marketing
2020-04-13,US,26.33,new postings,Marketing
2020-04-13,US,52.74,total postings,Marketing
2020-04-14,US,27.17,new postings,Marketing
2020-04-14,US,52.16,total postings,Marketing
2020-04-15,US,27.8,new postings,Marketing
2020-04-15,US,51.49,total postings,Marketing
2020-04-16,US,28.38,new postings,Marketing
2020-04-16,US,50.91,total postings,Marketing
2020-04-17,US,28.76,new postings,Marketing
2020-04-17,US,50.31,total postings,Marketing
2020-04-18,US,28.83,new postings,Marketing
2020-04-18,US,49.79,total postings,Marketing
2020-04-19,US,28.92,new postings,Marketing
2020-04-19,US,49.21,total postings,Marketing
2020-04-20,US,29.02,new postings,Marketing
2020-04-20,US,48.72,total postings,Marketing
2020-04-21,US,28.95,new postings,Marketing
2020-04-21,US,48.32,total postings,Marketing
2020-04-22,US,29.17,new postings,Marketing
2020-04-22,US,47.97,total postings,Marketing
2020-04-23,US,29.76,new postings,Marketing
2020-04-23,US,47.65,total postings,Marketing
2020-04-24,US,30.48,new postings,Marketing
2020-04-24,US,47.33,total postings,Marketing
2020-04-25,US,31.23,new postings,Marketing
2020-04-25,US,47.01,total postings,Marketing
2020-04-26,US,31.78,new postings,Marketing
2020-04-26,US,46.73,total postings,Marketing
2020-04-27,US,32.62,new postings,Marketing
2020-04-27,US,46.46,total postings,Marketing
2020-04-28,US,33.18,new postings,Marketing
2020-04-28,US,46.2,total postings,Marketing
2020-04-29,US,34.06,new postings,Marketing
2020-04-29,US,45.96,total postings,Marketing
2020-04-30,US,34.84,new postings,Marketing
2020-04-30,US,45.78,total postings,Marketing
2020-05-01,US,35.41,new postings,Marketing
2020-05-01,US,45.53,total postings,Marketing
2020-05-02,US,35.69,new postings,Marketing
2020-05-02,US,45.34,total postings,Marketing
2020-05-03,US,35.68,new postings,Marketing
2020-05-03,US,45.09,total postings,Marketing
2020-05-04,US,35.57,new postings,Marketing
2020-05-04,US,44.84,total postings,Marketing
2020-05-05,US,35.86,new postings,Marketing
2020-05-05,US,44.69,total postings,Marketing
2020-05-06,US,35.75,new postings,Marketing
2020-05-06,US,44.66,total postings,Marketing
2020-05-07,US,35.35,new postings,Marketing
2020-05-07,US,44.6,total postings,Marketing
2020-05-08,US,35.12,new postings,Marketing
2020-05-08,US,44.64,total postings,Marketing
2020-05-09,US,34.95,new postings,Marketing
2020-05-09,US,44.69,total postings,Marketing
2020-05-10,US,35.18,new postings,Marketing
2020-05-10,US,44.89,total postings,Marketing
2020-05-11,US,35.09,new postings,Marketing
2020-05-11,US,45.01,total postings,Marketing
2020-05-12,US,35.23,new postings,Marketing
2020-05-12,US,44.89,total postings,Marketing
2020-05-13,US,34.85,new postings,Marketing
2020-05-13,US,44.61,total postings,Marketing
2020-05-14,US,34.43,new postings,Marketing
2020-05-14,US,44.34,total postings,Marketing
2020-05-15,US,35.06,new postings,Marketing
2020-05-15,US,44.36,total postings,Marketing
2020-05-16,US,35.71,new postings,Marketing
2020-05-16,US,44.14,total postings,Marketing
2020-05-17,US,36.08,new postings,Marketing
2020-05-17,US,43.94,total postings,Marketing
2020-05-18,US,36.65,new postings,Marketing
2020-05-18,US,43.89,total postings,Marketing
2020-05-19,US,37,new postings,Marketing
2020-05-19,US,43.93,total postings,Marketing
2020-05-20,US,37.71,new postings,Marketing
2020-05-20,US,44.28,total postings,Marketing
2020-05-21,US,39.01,new postings,Marketing
2020-05-21,US,44.71,total postings,Marketing
2020-05-22,US,39.12,new postings,Marketing
2020-05-22,US,44.72,total postings,Marketing
2020-05-23,US,39.06,new postings,Marketing
2020-05-23,US,44.9,total postings,Marketing
2020-05-24,US,39.08,new postings,Marketing
2020-05-24,US,44.99,total postings,Marketing
2020-05-25,US,39.22,new postings,Marketing
2020-05-25,US,44.97,total postings,Marketing
2020-05-26,US,38.7,new postings,Marketing
2020-05-26,US,45,total postings,Marketing
2020-05-27,US,38.2,new postings,Marketing
2020-05-27,US,44.84,total postings,Marketing
2020-05-28,US,38.15,new postings,Marketing
2020-05-28,US,44.61,total postings,Marketing
2020-05-29,US,38.67,new postings,Marketing
2020-05-29,US,44.64,total postings,Marketing
2020-05-30,US,39.45,new postings,Marketing
2020-05-30,US,44.94,total postings,Marketing
2020-05-31,US,42.15,new postings,Marketing
2020-05-31,US,45.14,total postings,Marketing
2020-06-01,US,44.33,new postings,Marketing
2020-06-01,US,45.21,total postings,Marketing
2020-06-02,US,47.96,new postings,Marketing
2020-06-02,US,45.4,total postings,Marketing
2020-06-03,US,51.7,new postings,Marketing
2020-06-03,US,45.69,total postings,Marketing
2020-06-04,US,53.62,new postings,Marketing
2020-06-04,US,45.85,total postings,Marketing
2020-06-05,US,54.85,new postings,Marketing
2020-06-05,US,46.08,total postings,Marketing
2020-06-06,US,55.66,new postings,Marketing
