date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Media & Communications
2020-02-01,US,100,new postings,Media & Communications
2020-02-02,US,99.96,total postings,Media & Communications
2020-02-02,US,99.97,new postings,Media & Communications
2020-02-03,US,99.99,total postings,Media & Communications
2020-02-03,US,99.68,new postings,Media & Communications
2020-02-04,US,99.67,total postings,Media & Communications
2020-02-04,US,98.88,new postings,Media & Communications
2020-02-05,US,99.68,total postings,Media & Communications
2020-02-05,US,99.09,new postings,Media & Communications
2020-02-06,US,99.88,total postings,Media & Communications
2020-02-06,US,100.61,new postings,Media & Communications
2020-02-07,US,100.04,total postings,Media & Communications
2020-02-07,US,102.1,new postings,Media & Communications
2020-02-08,US,100.2,total postings,Media & Communications
2020-02-08,US,102.73,new postings,Media & Communications
2020-02-09,US,100.48,total postings,Media & Communications
2020-02-09,US,104.12,new postings,Media & Communications
2020-02-10,US,100.82,total postings,Media & Communications
2020-02-10,US,105.38,new postings,Media & Communications
2020-02-11,US,101.46,total postings,Media & Communications
2020-02-11,US,107.04,new postings,Media & Communications
2020-02-12,US,101.76,total postings,Media & Communications
2020-02-12,US,107.68,new postings,Media & Communications
2020-02-13,US,101.92,total postings,Media & Communications
2020-02-13,US,106.69,new postings,Media & Communications
2020-02-14,US,102.2,total postings,Media & Communications
2020-02-14,US,106.1,new postings,Media & Communications
2020-02-15,US,102.29,total postings,Media & Communications
2020-02-15,US,106.09,new postings,Media & Communications
2020-02-16,US,102.57,total postings,Media & Communications
2020-02-16,US,105.63,new postings,Media & Communications
2020-02-17,US,102.89,total postings,Media & Communications
2020-02-17,US,105.4,new postings,Media & Communications
2020-02-18,US,102.52,total postings,Media & Communications
2020-02-18,US,103.21,new postings,Media & Communications
2020-02-19,US,102.22,total postings,Media & Communications
2020-02-19,US,101.66,new postings,Media & Communications
2020-02-20,US,101.93,total postings,Media & Communications
2020-02-20,US,101.46,new postings,Media & Communications
2020-02-21,US,101.35,total postings,Media & Communications
2020-02-21,US,100.69,new postings,Media & Communications
2020-02-22,US,100.75,total postings,Media & Communications
2020-02-22,US,99.94,new postings,Media & Communications
2020-02-23,US,100.57,total postings,Media & Communications
2020-02-23,US,99.65,new postings,Media & Communications
2020-02-24,US,100.27,total postings,Media & Communications
2020-02-24,US,98.68,new postings,Media & Communications
2020-02-25,US,100.57,total postings,Media & Communications
2020-02-25,US,99.87,new postings,Media & Communications
2020-02-26,US,100.89,total postings,Media & Communications
2020-02-26,US,100.77,new postings,Media & Communications
2020-02-27,US,101.21,total postings,Media & Communications
2020-02-27,US,100.37,new postings,Media & Communications
2020-02-28,US,101.63,total postings,Media & Communications
2020-02-28,US,99.75,new postings,Media & Communications
2020-02-29,US,102.27,total postings,Media & Communications
2020-02-29,US,99.18,new postings,Media & Communications
2020-03-01,US,102.4,total postings,Media & Communications
2020-03-01,US,98,new postings,Media & Communications
2020-03-02,US,102.44,total postings,Media & Communications
2020-03-02,US,97.21,new postings,Media & Communications
2020-03-03,US,102.55,total postings,Media & Communications
2020-03-03,US,96.15,new postings,Media & Communications
2020-03-04,US,102.48,total postings,Media & Communications
2020-03-04,US,95.14,new postings,Media & Communications
2020-03-05,US,102.39,total postings,Media & Communications
2020-03-05,US,95.18,new postings,Media & Communications
2020-03-06,US,102.33,total postings,Media & Communications
2020-03-06,US,95.13,new postings,Media & Communications
2020-03-07,US,102.23,total postings,Media & Communications
2020-03-07,US,94.51,new postings,Media & Communications
2020-03-08,US,102.1,total postings,Media & Communications
2020-03-08,US,94.12,new postings,Media & Communications
2020-03-09,US,101.97,total postings,Media & Communications
2020-03-09,US,94.13,new postings,Media & Communications
2020-03-10,US,101.76,total postings,Media & Communications
2020-03-10,US,92.9,new postings,Media & Communications
2020-03-11,US,101.6,total postings,Media & Communications
2020-03-11,US,91.77,new postings,Media & Communications
2020-03-12,US,101.32,total postings,Media & Communications
2020-03-12,US,90,new postings,Media & Communications
2020-03-13,US,100.96,total postings,Media & Communications
2020-03-13,US,88.47,new postings,Media & Communications
2020-03-14,US,100.58,total postings,Media & Communications
2020-03-14,US,86.93,new postings,Media & Communications
2020-03-15,US,100.01,total postings,Media & Communications
2020-03-15,US,85.27,new postings,Media & Communications
2020-03-16,US,99.53,total postings,Media & Communications
2020-03-16,US,83.41,new postings,Media & Communications
2020-03-17,US,98.64,total postings,Media & Communications
2020-03-17,US,80.41,new postings,Media & Communications
2020-03-18,US,97.4,total postings,Media & Communications
2020-03-18,US,75.5,new postings,Media & Communications
2020-03-19,US,95.96,total postings,Media & Communications
2020-03-19,US,69.61,new postings,Media & Communications
2020-03-20,US,94.22,total postings,Media & Communications
2020-03-20,US,62.91,new postings,Media & Communications
2020-03-21,US,92.03,total postings,Media & Communications
2020-03-21,US,56.29,new postings,Media & Communications
2020-03-22,US,90.13,total postings,Media & Communications
2020-03-22,US,49.54,new postings,Media & Communications
2020-03-23,US,88.1,total postings,Media & Communications
2020-03-23,US,42.87,new postings,Media & Communications
