date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Medical Information
2020-02-01,US,100,total postings,Medical Information
2020-02-02,US,100.08,new postings,Medical Information
2020-02-02,US,100.05,total postings,Medical Information
2020-02-03,US,100.27,new postings,Medical Information
2020-02-03,US,100.11,total postings,Medical Information
2020-02-04,US,99.64,new postings,Medical Information
2020-02-04,US,100.14,total postings,Medical Information
2020-02-05,US,99.23,new postings,Medical Information
2020-02-05,US,100.18,total postings,Medical Information
2020-02-06,US,99.01,new postings,Medical Information
2020-02-06,US,100.25,total postings,Medical Information
2020-02-07,US,98.82,new postings,Medical Information
2020-02-07,US,100.28,total postings,Medical Information
2020-02-08,US,98.51,new postings,Medical Information
2020-02-08,US,100.35,total postings,Medical Information
2020-02-09,US,98.2,new postings,Medical Information
2020-02-09,US,100.37,total postings,Medical Information
2020-02-10,US,97.98,new postings,Medical Information
2020-02-10,US,100.39,total postings,Medical Information
2020-02-11,US,98.27,new postings,Medical Information
2020-02-11,US,100.4,total postings,Medical Information
2020-02-12,US,100.8,new postings,Medical Information
2020-02-12,US,100.65,total postings,Medical Information
2020-02-13,US,103.22,new postings,Medical Information
2020-02-13,US,100.84,total postings,Medical Information
2020-02-14,US,105.64,new postings,Medical Information
2020-02-14,US,101.08,total postings,Medical Information
2020-02-15,US,107.68,new postings,Medical Information
2020-02-15,US,101.23,total postings,Medical Information
2020-02-16,US,110.34,new postings,Medical Information
2020-02-16,US,101.43,total postings,Medical Information
2020-02-17,US,112.89,new postings,Medical Information
2020-02-17,US,101.65,total postings,Medical Information
2020-02-18,US,114.37,new postings,Medical Information
2020-02-18,US,101.97,total postings,Medical Information
2020-02-19,US,111.47,new postings,Medical Information
2020-02-19,US,101.96,total postings,Medical Information
2020-02-20,US,108.74,new postings,Medical Information
2020-02-20,US,101.91,total postings,Medical Information
2020-02-21,US,106.5,new postings,Medical Information
2020-02-21,US,101.92,total postings,Medical Information
2020-02-22,US,104.5,new postings,Medical Information
2020-02-22,US,101.94,total postings,Medical Information
2020-02-23,US,101.79,new postings,Medical Information
2020-02-23,US,101.96,total postings,Medical Information
2020-02-24,US,99.46,new postings,Medical Information
2020-02-24,US,101.97,total postings,Medical Information
2020-02-25,US,98.54,new postings,Medical Information
2020-02-25,US,102.03,total postings,Medical Information
2020-02-26,US,99.45,new postings,Medical Information
2020-02-26,US,102.19,total postings,Medical Information
2020-02-27,US,100.24,new postings,Medical Information
2020-02-27,US,102.42,total postings,Medical Information
2020-02-28,US,100.38,new postings,Medical Information
2020-02-28,US,102.55,total postings,Medical Information
2020-02-29,US,101.37,new postings,Medical Information
2020-02-29,US,102.91,total postings,Medical Information
2020-03-01,US,102.6,new postings,Medical Information
2020-03-01,US,103.23,total postings,Medical Information
2020-03-02,US,103.35,new postings,Medical Information
2020-03-02,US,103.49,total postings,Medical Information
2020-03-03,US,103.41,new postings,Medical Information
2020-03-03,US,103.62,total postings,Medical Information
2020-03-04,US,103.45,new postings,Medical Information
2020-03-04,US,103.59,total postings,Medical Information
2020-03-05,US,103.54,new postings,Medical Information
2020-03-05,US,103.5,total postings,Medical Information
2020-03-06,US,103.99,new postings,Medical Information
2020-03-06,US,103.42,total postings,Medical Information
2020-03-07,US,103.38,new postings,Medical Information
2020-03-07,US,103.22,total postings,Medical Information
2020-03-08,US,102.5,new postings,Medical Information
2020-03-08,US,103.02,total postings,Medical Information
2020-03-09,US,101.61,new postings,Medical Information
2020-03-09,US,102.67,total postings,Medical Information
2020-03-10,US,100.85,new postings,Medical Information
2020-03-10,US,102.34,total postings,Medical Information
2020-03-11,US,100.73,new postings,Medical Information
2020-03-11,US,102.22,total postings,Medical Information
2020-03-12,US,100.58,new postings,Medical Information
2020-03-12,US,102.11,total postings,Medical Information
2020-03-13,US,100.37,new postings,Medical Information
2020-03-13,US,102.02,total postings,Medical Information
2020-03-14,US,100.15,new postings,Medical Information
2020-03-14,US,101.89,total postings,Medical Information
2020-03-15,US,100.13,new postings,Medical Information
2020-03-15,US,101.71,total postings,Medical Information
2020-03-16,US,100.31,new postings,Medical Information
2020-03-16,US,101.76,total postings,Medical Information
2020-03-17,US,99.23,new postings,Medical Information
2020-03-17,US,101.7,total postings,Medical Information
2020-03-18,US,96.47,new postings,Medical Information
2020-03-18,US,101.63,total postings,Medical Information
2020-03-19,US,92.86,new postings,Medical Information
2020-03-19,US,101.47,total postings,Medical Information
2020-03-20,US,88.07,new postings,Medical Information
2020-03-20,US,100.9,total postings,Medical Information
2020-03-21,US,82.66,new postings,Medical Information
2020-03-21,US,99.84,total postings,Medical Information
2020-03-22,US,77.07,new postings,Medical Information
2020-03-22,US,98.86,total postings,Medical Information
2020-03-23,US,71.37,new postings,Medical Information
2020-03-23,US,97.79,total postings,Medical Information
2020-03-24,US,66.79,new postings,Medical Information
2020-03-24,US,96.56,total postings,Medical Information
2020-03-25,US,62.89,new postings,Medical Information
2020-03-25,US,94.99,total postings,Medical Information
2020-03-26,US,59.18,new postings,Medical Information
2020-03-26,US,92.86,total postings,Medical Information
2020-03-27,US,55.14,new postings,Medical Information
2020-03-27,US,90.38,total postings,Medical Information
2020-03-28,US,51.69,new postings,Medical Information
2020-03-28,US,88.05,total postings,Medical Information
2020-03-29,US,48.46,new postings,Medical Information
2020-03-29,US,85.67,total postings,Medical Information
2020-03-30,US,45.29,new postings,Medical Information
2020-03-30,US,83.25,total postings,Medical Information
2020-03-31,US,42.15,new postings,Medical Information
2020-03-31,US,80.81,total postings,Medical Information
2020-04-01,US,39.42,new postings,Medical Information
2020-04-01,US,78.53,total postings,Medical Information
2020-04-02,US,37.12,new postings,Medical Information
2020-04-02,US,76.43,total postings,Medical Information
2020-04-03,US,36.47,new postings,Medical Information
2020-04-03,US,74.98,total postings,Medical Information
2020-04-04,US,36.05,new postings,Medical Information
2020-04-04,US,73.61,total postings,Medical Information
2020-04-05,US,35.27,new postings,Medical Information
2020-04-05,US,72.02,total postings,Medical Information
2020-04-06,US,34.29,new postings,Medical Information
2020-04-06,US,70.41,total postings,Medical Information
2020-04-07,US,33.16,new postings,Medical Information
2020-04-07,US,68.77,total postings,Medical Information
2020-04-08,US,32.16,new postings,Medical Information
2020-04-08,US,67.23,total postings,Medical Information
2020-04-09,US,31.36,new postings,Medical Information
2020-04-09,US,65.82,total postings,Medical Information
2020-04-10,US,30.22,new postings,Medical Information
2020-04-10,US,64.44,total postings,Medical Information
2020-04-11,US,29.37,new postings,Medical Information
2020-04-11,US,63.24,total postings,Medical Information
2020-04-12,US,28.67,new postings,Medical Information
2020-04-12,US,62.16,total postings,Medical Information
2020-04-13,US,28.28,new postings,Medical Information
2020-04-13,US,61.16,total postings,Medical Information
2020-04-14,US,27.95,new postings,Medical Information
2020-04-14,US,60.32,total postings,Medical Information
2020-04-15,US,27.69,new postings,Medical Information
2020-04-15,US,59.53,total postings,Medical Information
2020-04-16,US,27.33,new postings,Medical Information
2020-04-16,US,58.87,total postings,Medical Information
2020-04-17,US,27.1,new postings,Medical Information
2020-04-17,US,58.17,total postings,Medical Information
2020-04-18,US,27.01,new postings,Medical Information
2020-04-18,US,57.52,total postings,Medical Information
2020-04-19,US,26.79,new postings,Medical Information
2020-04-19,US,56.88,total postings,Medical Information
2020-04-20,US,26.48,new postings,Medical Information
2020-04-20,US,56.4,total postings,Medical Information
2020-04-21,US,26.29,new postings,Medical Information
2020-04-21,US,55.83,total postings,Medical Information
2020-04-22,US,25.79,new postings,Medical Information
2020-04-22,US,55.12,total postings,Medical Information
2020-04-23,US,25.61,new postings,Medical Information
2020-04-23,US,54.53,total postings,Medical Information
2020-04-24,US,25.64,new postings,Medical Information
2020-04-24,US,53.97,total postings,Medical Information
2020-04-25,US,25.4,new postings,Medical Information
2020-04-25,US,53.47,total postings,Medical Information
2020-04-26,US,25.52,new postings,Medical Information
2020-04-26,US,53,total postings,Medical Information
2020-04-27,US,25.86,new postings,Medical Information
2020-04-27,US,52.53,total postings,Medical Information
2020-04-28,US,26.41,new postings,Medical Information
2020-04-28,US,52.11,total postings,Medical Information
2020-04-29,US,27.05,new postings,Medical Information
2020-04-29,US,51.78,total postings,Medical Information
2020-04-30,US,27.83,new postings,Medical Information
2020-04-30,US,51.47,total postings,Medical Information
2020-05-01,US,28.54,new postings,Medical Information
2020-05-01,US,51.21,total postings,Medical Information
2020-05-02,US,29.32,new postings,Medical Information
2020-05-02,US,50.93,total postings,Medical Information
2020-05-03,US,29.97,new postings,Medical Information
2020-05-03,US,50.68,total postings,Medical Information
2020-05-04,US,30.34,new postings,Medical Information
2020-05-04,US,50.44,total postings,Medical Information
2020-05-05,US,31.03,new postings,Medical Information
2020-05-05,US,50.25,total postings,Medical Information
2020-05-06,US,31.96,new postings,Medical Information
2020-05-06,US,50.12,total postings,Medical Information
2020-05-07,US,32.71,new postings,Medical Information
2020-05-07,US,50.08,total postings,Medical Information
2020-05-08,US,33.21,new postings,Medical Information
2020-05-08,US,50.01,total postings,Medical Information
2020-05-09,US,33.81,new postings,Medical Information
2020-05-09,US,49.97,total postings,Medical Information
2020-05-10,US,34.37,new postings,Medical Information
2020-05-10,US,49.94,total postings,Medical Information
2020-05-11,US,35.13,new postings,Medical Information
2020-05-11,US,49.9,total postings,Medical Information
2020-05-12,US,35.82,new postings,Medical Information
2020-05-12,US,50.01,total postings,Medical Information
2020-05-13,US,36.2,new postings,Medical Information
2020-05-13,US,49.65,total postings,Medical Information
2020-05-14,US,36.82,new postings,Medical Information
2020-05-14,US,49.34,total postings,Medical Information
2020-05-15,US,38.22,new postings,Medical Information
2020-05-15,US,49.45,total postings,Medical Information
2020-05-16,US,39.52,new postings,Medical Information
2020-05-16,US,49.5,total postings,Medical Information
2020-05-17,US,40.74,new postings,Medical Information
2020-05-17,US,49.6,total postings,Medical Information
2020-05-18,US,41.76,new postings,Medical Information
2020-05-18,US,49.61,total postings,Medical Information
2020-05-19,US,42.62,new postings,Medical Information
2020-05-19,US,49.62,total postings,Medical Information
2020-05-20,US,43.9,new postings,Medical Information
2020-05-20,US,50.21,total postings,Medical Information
2020-05-21,US,44.98,new postings,Medical Information
2020-05-21,US,50.89,total postings,Medical Information
2020-05-22,US,45.67,new postings,Medical Information
2020-05-22,US,51.32,total postings,Medical Information
2020-05-23,US,46.29,new postings,Medical Information
2020-05-23,US,51.79,total postings,Medical Information
2020-05-24,US,46.93,new postings,Medical Information
2020-05-24,US,52.16,total postings,Medical Information
2020-05-25,US,47.86,new postings,Medical Information
2020-05-25,US,52.51,total postings,Medical Information
2020-05-26,US,47.65,new postings,Medical Information
2020-05-26,US,52.72,total postings,Medical Information
2020-05-27,US,47.03,new postings,Medical Information
2020-05-27,US,52.81,total postings,Medical Information
2020-05-28,US,46.52,new postings,Medical Information
2020-05-28,US,52.82,total postings,Medical Information
2020-05-29,US,48.67,new postings,Medical Information
2020-05-29,US,52.8,total postings,Medical Information
2020-05-30,US,49.72,new postings,Medical Information
2020-05-30,US,53,total postings,Medical Information
2020-05-31,US,52.67,new postings,Medical Information
2020-05-31,US,53.24,total postings,Medical Information
2020-06-01,US,55.3,new postings,Medical Information
2020-06-01,US,53.6,total postings,Medical Information
2020-06-02,US,60.03,new postings,Medical Information
2020-06-02,US,54.03,total postings,Medical Information
2020-06-03,US,65.25,new postings,Medical Information
2020-06-03,US,54.6,total postings,Medical Information
2020-06-04,US,70.17,new postings,Medical Information
2020-06-04,US,55.02,total postings,Medical Information
2020-06-05,US,72.25,new postings,Medical Information
2020-06-05,US,55.5,total postings,Medical Information
2020-06-06,US,72.78,new postings,Medical Information
2020-06-06,US,55.87,total postings,Medical Information
2020-06-07,US,71.14,new postings,Medical Information
2020-06-07,US,56.23,total postings,Medical Information
2020-06-08,US,69.4,new postings,Medical Information
2020-06-08,US,56.5,total postings,Medical Information
2020-06-09,US,66.65,new postings,Medical Information
2020-06-09,US,56.85,total postings,Medical Information
2020-06-10,US,64.38,new postings,Medical Information
2020-06-10,US,57.19,total postings,Medical Information
2020-06-11,US,62.26,new postings,Medical Information
2020-06-11,US,57.57,total postings,Medical Information
2020-06-12,US,60.4,new postings,Medical Information
2020-06-12,US,57.92,total postings,Medical Information
2020-06-13,US,61.36,new postings,Medical Information
2020-06-13,US,58.21,total postings,Medical Information
2020-06-14,US,62.72,new postings,Medical Information
2020-06-14,US,58.57,total postings,Medical Information
2020-06-15,US,64.46,new postings,Medical Information
2020-06-15,US,59.14,total postings,Medical Information
2020-06-16,US,66.31,new postings,Medical Information
2020-06-16,US,59.63,total postings,Medical Information
2020-06-17,US,67.55,new postings,Medical Information
2020-06-17,US,60.09,total postings,Medical Information
2020-06-18,US,68.85,new postings,Medical Information
2020-06-18,US,60.65,total postings,Medical Information
2020-06-19,US,69.68,new postings,Medical Information
2020-06-19,US,61.17,total postings,Medical Information
2020-06-20,US,70.64,new postings,Medical Information
2020-06-20,US,61.77,total postings,Medical Information
2020-06-21,US,71.43,new postings,Medical Information
2020-06-21,US,62.34,total postings,Medical Information
2020-06-22,US,72.13,new postings,Medical Information
2020-06-22,US,62.75,total postings,Medical Information
2020-06-23,US,72.8,new postings,Medical Information
2020-06-23,US,63.21,total postings,Medical Information
2020-06-24,US,74.01,new postings,Medical Information
2020-06-24,US,63.79,total postings,Medical Information
2020-06-25,US,75.22,new postings,Medical Information
2020-06-25,US,64.39,total postings,Medical Information
2020-06-26,US,76.39,new postings,Medical Information
2020-06-26,US,64.9,total postings,Medical Information
2020-06-27,US,77.33,new postings,Medical Information
