date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Nursing
2020-02-01,US,100,total postings,Nursing
2020-02-02,US,99.55,new postings,Nursing
2020-02-02,US,99.82,total postings,Nursing
2020-02-03,US,99.72,total postings,Nursing
2020-02-03,US,98.97,new postings,Nursing
2020-02-04,US,99.62,total postings,Nursing
2020-02-04,US,98.85,new postings,Nursing
2020-02-05,US,99.1,new postings,Nursing
2020-02-05,US,99.56,total postings,Nursing
2020-02-06,US,99.59,total postings,Nursing
2020-02-06,US,99.11,new postings,Nursing
2020-02-07,US,99.23,new postings,Nursing
2020-02-07,US,99.55,total postings,Nursing
2020-02-08,US,99.46,total postings,Nursing
2020-02-08,US,99.13,new postings,Nursing
2020-02-09,US,99.27,new postings,Nursing
2020-02-09,US,99.44,total postings,Nursing
2020-02-10,US,99.28,new postings,Nursing
2020-02-10,US,99.44,total postings,Nursing
2020-02-11,US,99.41,new postings,Nursing
2020-02-11,US,99.45,total postings,Nursing
2020-02-12,US,99.54,total postings,Nursing
2020-02-12,US,99.92,new postings,Nursing
2020-02-13,US,100.56,new postings,Nursing
2020-02-13,US,99.49,total postings,Nursing
2020-02-14,US,99.57,total postings,Nursing
2020-02-14,US,100.79,new postings,Nursing
2020-02-15,US,101.15,new postings,Nursing
2020-02-15,US,99.56,total postings,Nursing
2020-02-16,US,99.61,total postings,Nursing
2020-02-16,US,101.74,new postings,Nursing
2020-02-17,US,102.54,new postings,Nursing
2020-02-17,US,99.67,total postings,Nursing
2020-02-18,US,99.73,total postings,Nursing
2020-02-18,US,102.78,new postings,Nursing
2020-02-19,US,102.47,new postings,Nursing
2020-02-19,US,99.76,total postings,Nursing
2020-02-20,US,99.84,total postings,Nursing
2020-02-20,US,102.45,new postings,Nursing
2020-02-21,US,103.18,new postings,Nursing
2020-02-21,US,99.81,total postings,Nursing
2020-02-22,US,103.79,new postings,Nursing
2020-02-22,US,99.89,total postings,Nursing
2020-02-23,US,99.96,total postings,Nursing
2020-02-23,US,103.88,new postings,Nursing
2020-02-24,US,103.95,new postings,Nursing
2020-02-24,US,99.98,total postings,Nursing
2020-02-25,US,104.4,new postings,Nursing
2020-02-25,US,100.05,total postings,Nursing
2020-02-26,US,104.97,new postings,Nursing
2020-02-26,US,100.15,total postings,Nursing
2020-02-27,US,105,new postings,Nursing
2020-02-27,US,100.28,total postings,Nursing
2020-02-28,US,100.48,total postings,Nursing
2020-02-28,US,104.47,new postings,Nursing
2020-02-29,US,105.79,new postings,Nursing
2020-02-29,US,100.81,total postings,Nursing
2020-03-01,US,101.12,total postings,Nursing
2020-03-01,US,107.45,new postings,Nursing
2020-03-02,US,101.37,total postings,Nursing
2020-03-02,US,108.74,new postings,Nursing
2020-03-03,US,101.54,total postings,Nursing
2020-03-03,US,111.12,new postings,Nursing
2020-03-04,US,112.3,new postings,Nursing
2020-03-04,US,101.55,total postings,Nursing
2020-03-05,US,101.48,total postings,Nursing
2020-03-05,US,113.01,new postings,Nursing
2020-03-06,US,113.73,new postings,Nursing
2020-03-06,US,101.36,total postings,Nursing
2020-03-07,US,112.09,new postings,Nursing
2020-03-07,US,101.13,total postings,Nursing
2020-03-08,US,100.86,total postings,Nursing
2020-03-08,US,109.86,new postings,Nursing
2020-03-09,US,107.48,new postings,Nursing
2020-03-09,US,100.53,total postings,Nursing
2020-03-10,US,100.16,total postings,Nursing
2020-03-10,US,103.92,new postings,Nursing
2020-03-11,US,101.76,new postings,Nursing
2020-03-11,US,99.91,total postings,Nursing
2020-03-12,US,99.96,new postings,Nursing
2020-03-12,US,99.69,total postings,Nursing
2020-03-13,US,99.55,total postings,Nursing
2020-03-13,US,98.55,new postings,Nursing
2020-03-14,US,99.4,total postings,Nursing
2020-03-14,US,97.8,new postings,Nursing
2020-03-15,US,97.16,new postings,Nursing
2020-03-15,US,99.05,total postings,Nursing
2020-03-16,US,99.03,total postings,Nursing
2020-03-16,US,97.69,new postings,Nursing
2020-03-17,US,98.91,total postings,Nursing
2020-03-17,US,97.56,new postings,Nursing
2020-03-18,US,97.15,new postings,Nursing
2020-03-18,US,98.86,total postings,Nursing
2020-03-19,US,98.82,total postings,Nursing
2020-03-19,US,96.46,new postings,Nursing
2020-03-20,US,98.62,total postings,Nursing
2020-03-20,US,94.8,new postings,Nursing
2020-03-21,US,98.26,total postings,Nursing
2020-03-21,US,93.38,new postings,Nursing
2020-03-22,US,92.39,new postings,Nursing
2020-03-22,US,98.27,total postings,Nursing
2020-03-23,US,90.44,new postings,Nursing
2020-03-23,US,97.97,total postings,Nursing
2020-03-24,US,97.75,total postings,Nursing
2020-03-24,US,89.28,new postings,Nursing
2020-03-25,US,97.27,total postings,Nursing
2020-03-25,US,88.06,new postings,Nursing
2020-03-26,US,87.09,new postings,Nursing
2020-03-26,US,96.7,total postings,Nursing
2020-03-27,US,95.98,total postings,Nursing
2020-03-27,US,86.32,new postings,Nursing
2020-03-28,US,84.91,new postings,Nursing
2020-03-28,US,95.2,total postings,Nursing
2020-03-29,US,83.56,new postings,Nursing
2020-03-29,US,94.3,total postings,Nursing
2020-03-30,US,82.58,new postings,Nursing
2020-03-30,US,93.44,total postings,Nursing
2020-03-31,US,92.65,total postings,Nursing
2020-03-31,US,81.83,new postings,Nursing
2020-04-01,US,81.34,new postings,Nursing
2020-04-01,US,91.93,total postings,Nursing
2020-04-02,US,91.21,total postings,Nursing
2020-04-02,US,81.16,new postings,Nursing
2020-04-03,US,90.71,total postings,Nursing
2020-04-03,US,81.2,new postings,Nursing
2020-04-04,US,90.22,total postings,Nursing
2020-04-04,US,81.23,new postings,Nursing
2020-04-05,US,80.37,new postings,Nursing
2020-04-05,US,89.6,total postings,Nursing
2020-04-06,US,88.91,total postings,Nursing
2020-04-06,US,78.9,new postings,Nursing
2020-04-07,US,77.1,new postings,Nursing
2020-04-07,US,88.05,total postings,Nursing
2020-04-08,US,75.8,new postings,Nursing
2020-04-08,US,87.34,total postings,Nursing
2020-04-09,US,86.45,total postings,Nursing
2020-04-09,US,74.53,new postings,Nursing
2020-04-10,US,85.51,total postings,Nursing
2020-04-10,US,73.32,new postings,Nursing
2020-04-11,US,84.78,total postings,Nursing
2020-04-11,US,72.85,new postings,Nursing
2020-04-12,US,72.89,new postings,Nursing
2020-04-12,US,84.11,total postings,Nursing
2020-04-13,US,73.28,new postings,Nursing
2020-04-13,US,83.44,total postings,Nursing
2020-04-14,US,82.94,total postings,Nursing
2020-04-14,US,73.42,new postings,Nursing
2020-04-15,US,82.46,total postings,Nursing
2020-04-15,US,73.04,new postings,Nursing
2020-04-16,US,82.06,total postings,Nursing
2020-04-16,US,72.75,new postings,Nursing
2020-04-17,US,72.59,new postings,Nursing
2020-04-17,US,81.69,total postings,Nursing
2020-04-18,US,81.24,total postings,Nursing
2020-04-18,US,72.61,new postings,Nursing
2020-04-19,US,72.94,new postings,Nursing
2020-04-19,US,80.84,total postings,Nursing
2020-04-20,US,80.65,total postings,Nursing
2020-04-20,US,73.44,new postings,Nursing
2020-04-21,US,74.07,new postings,Nursing
2020-04-21,US,80.35,total postings,Nursing
2020-04-22,US,79.85,total postings,Nursing
2020-04-22,US,74.71,new postings,Nursing
2020-04-23,US,75.44,new postings,Nursing
2020-04-23,US,79.53,total postings,Nursing
2020-04-24,US,76.02,new postings,Nursing
2020-04-24,US,79.09,total postings,Nursing
2020-04-25,US,76.22,new postings,Nursing
2020-04-25,US,78.65,total postings,Nursing
