date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Pharmacy
2020-02-01,US,100,new postings,Pharmacy
2020-02-02,US,104.11,new postings,Pharmacy
2020-02-02,US,99.96,total postings,Pharmacy
2020-02-03,US,107.43,new postings,Pharmacy
2020-02-03,US,96.48,total postings,Pharmacy
2020-02-04,US,109.74,new postings,Pharmacy
2020-02-04,US,96.21,total postings,Pharmacy
2020-02-05,US,112.41,new postings,Pharmacy
2020-02-05,US,96.01,total postings,Pharmacy
2020-02-06,US,114.22,new postings,Pharmacy
2020-02-06,US,95.94,total postings,Pharmacy
2020-02-07,US,95.9,total postings,Pharmacy
2020-02-07,US,114.63,new postings,Pharmacy
2020-02-08,US,95.96,total postings,Pharmacy
2020-02-08,US,113.55,new postings,Pharmacy
2020-02-09,US,109.66,new postings,Pharmacy
2020-02-09,US,95.9,total postings,Pharmacy
2020-02-10,US,106.54,new postings,Pharmacy
2020-02-10,US,99.27,total postings,Pharmacy
2020-02-11,US,104.03,new postings,Pharmacy
2020-02-11,US,99.43,total postings,Pharmacy
2020-02-12,US,99.67,total postings,Pharmacy
2020-02-12,US,102.24,new postings,Pharmacy
2020-02-13,US,99.84,total postings,Pharmacy
2020-02-13,US,100.65,new postings,Pharmacy
2020-02-14,US,100.08,total postings,Pharmacy
2020-02-14,US,100.02,new postings,Pharmacy
2020-02-15,US,101.03,new postings,Pharmacy
2020-02-15,US,100.31,total postings,Pharmacy
2020-02-16,US,102.19,new postings,Pharmacy
2020-02-16,US,100.7,total postings,Pharmacy
2020-02-17,US,104.29,new postings,Pharmacy
2020-02-17,US,100.99,total postings,Pharmacy
2020-02-18,US,101.27,total postings,Pharmacy
2020-02-18,US,105.88,new postings,Pharmacy
2020-02-19,US,101.45,total postings,Pharmacy
2020-02-19,US,107.11,new postings,Pharmacy
2020-02-20,US,108.68,new postings,Pharmacy
2020-02-20,US,101.71,total postings,Pharmacy
2020-02-21,US,110.31,new postings,Pharmacy
2020-02-21,US,101.92,total postings,Pharmacy
2020-02-22,US,101.88,total postings,Pharmacy
2020-02-22,US,110.42,new postings,Pharmacy
2020-02-23,US,109.66,new postings,Pharmacy
2020-02-23,US,101.32,total postings,Pharmacy
2020-02-24,US,101.27,total postings,Pharmacy
2020-02-24,US,108.51,new postings,Pharmacy
2020-02-25,US,108.62,new postings,Pharmacy
2020-02-25,US,101.25,total postings,Pharmacy
2020-02-26,US,107.89,new postings,Pharmacy
2020-02-26,US,101.22,total postings,Pharmacy
2020-02-27,US,107.51,new postings,Pharmacy
2020-02-27,US,101.01,total postings,Pharmacy
2020-02-28,US,100.8,total postings,Pharmacy
2020-02-28,US,107.52,new postings,Pharmacy
2020-02-29,US,108.35,new postings,Pharmacy
2020-02-29,US,100.79,total postings,Pharmacy
2020-03-01,US,101.24,total postings,Pharmacy
2020-03-01,US,109.71,new postings,Pharmacy
2020-03-02,US,110.97,new postings,Pharmacy
2020-03-02,US,101.26,total postings,Pharmacy
2020-03-03,US,101.25,total postings,Pharmacy
2020-03-03,US,111.42,new postings,Pharmacy
2020-03-04,US,111.56,new postings,Pharmacy
2020-03-04,US,101.17,total postings,Pharmacy
2020-03-05,US,110.97,new postings,Pharmacy
2020-03-05,US,101.18,total postings,Pharmacy
2020-03-06,US,110.11,new postings,Pharmacy
2020-03-06,US,101.26,total postings,Pharmacy
2020-03-07,US,101.16,total postings,Pharmacy
2020-03-07,US,109.6,new postings,Pharmacy
2020-03-08,US,108.48,new postings,Pharmacy
2020-03-08,US,101.22,total postings,Pharmacy
2020-03-09,US,101.17,total postings,Pharmacy
2020-03-09,US,106.59,new postings,Pharmacy
2020-03-10,US,101.06,total postings,Pharmacy
2020-03-10,US,104.54,new postings,Pharmacy
2020-03-11,US,104.33,new postings,Pharmacy
2020-03-11,US,100.92,total postings,Pharmacy
2020-03-12,US,104.76,new postings,Pharmacy
2020-03-12,US,100.9,total postings,Pharmacy
2020-03-13,US,100.98,total postings,Pharmacy
2020-03-13,US,105.53,new postings,Pharmacy
2020-03-14,US,106.07,new postings,Pharmacy
2020-03-14,US,101.11,total postings,Pharmacy
2020-03-15,US,107.27,new postings,Pharmacy
2020-03-15,US,101.12,total postings,Pharmacy
2020-03-16,US,109.51,new postings,Pharmacy
2020-03-16,US,101.19,total postings,Pharmacy
2020-03-17,US,101.27,total postings,Pharmacy
2020-03-17,US,111.31,new postings,Pharmacy
2020-03-18,US,110.93,new postings,Pharmacy
2020-03-18,US,101.62,total postings,Pharmacy
2020-03-19,US,101.91,total postings,Pharmacy
2020-03-19,US,110.36,new postings,Pharmacy
2020-03-20,US,109.6,new postings,Pharmacy
2020-03-20,US,102.09,total postings,Pharmacy
2020-03-21,US,102.23,total postings,Pharmacy
2020-03-21,US,108.31,new postings,Pharmacy
2020-03-22,US,107.04,new postings,Pharmacy
2020-03-22,US,102.37,total postings,Pharmacy
2020-03-23,US,102.51,total postings,Pharmacy
