date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Physicians & Surgeons
2020-02-01,US,100,total postings,Physicians & Surgeons
2020-02-02,US,103.38,new postings,Physicians & Surgeons
2020-02-02,US,100.13,total postings,Physicians & Surgeons
2020-02-03,US,106.1,new postings,Physicians & Surgeons
2020-02-03,US,100.23,total postings,Physicians & Surgeons
2020-02-04,US,106.92,new postings,Physicians & Surgeons
2020-02-04,US,100.14,total postings,Physicians & Surgeons
2020-02-05,US,107.43,new postings,Physicians & Surgeons
2020-02-05,US,100.19,total postings,Physicians & Surgeons
2020-02-06,US,106.08,new postings,Physicians & Surgeons
2020-02-06,US,100.29,total postings,Physicians & Surgeons
2020-02-07,US,104.53,new postings,Physicians & Surgeons
2020-02-07,US,100.37,total postings,Physicians & Surgeons
2020-02-08,US,103.68,new postings,Physicians & Surgeons
2020-02-08,US,100.33,total postings,Physicians & Surgeons
2020-02-09,US,102.71,new postings,Physicians & Surgeons
2020-02-09,US,100.33,total postings,Physicians & Surgeons
2020-02-10,US,101.76,new postings,Physicians & Surgeons
2020-02-10,US,100.34,total postings,Physicians & Surgeons
2020-02-11,US,101.8,new postings,Physicians & Surgeons
2020-02-11,US,100.43,total postings,Physicians & Surgeons
2020-02-12,US,101.18,new postings,Physicians & Surgeons
2020-02-12,US,100.39,total postings,Physicians & Surgeons
2020-02-13,US,101.2,new postings,Physicians & Surgeons
2020-02-13,US,100.2,total postings,Physicians & Surgeons
2020-02-14,US,101.08,new postings,Physicians & Surgeons
2020-02-14,US,100.03,total postings,Physicians & Surgeons
2020-02-15,US,101.05,new postings,Physicians & Surgeons
2020-02-15,US,99.95,total postings,Physicians & Surgeons
2020-02-16,US,100.57,new postings,Physicians & Surgeons
2020-02-16,US,99.89,total postings,Physicians & Surgeons
2020-02-17,US,99.87,new postings,Physicians & Surgeons
2020-02-17,US,99.78,total postings,Physicians & Surgeons
2020-02-18,US,99.4,new postings,Physicians & Surgeons
