date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Production & Manufacturing
2020-02-01,US,100,total postings,Production & Manufacturing
2020-02-02,US,100.84,new postings,Production & Manufacturing
2020-02-02,US,99.92,total postings,Production & Manufacturing
2020-02-03,US,101.62,new postings,Production & Manufacturing
2020-02-03,US,99.87,total postings,Production & Manufacturing
2020-02-04,US,101.65,new postings,Production & Manufacturing
2020-02-04,US,99.81,total postings,Production & Manufacturing
2020-02-05,US,102.06,new postings,Production & Manufacturing
2020-02-05,US,99.84,total postings,Production & Manufacturing
2020-02-06,US,102.16,new postings,Production & Manufacturing
2020-02-06,US,99.91,total postings,Production & Manufacturing
2020-02-07,US,102.27,new postings,Production & Manufacturing
2020-02-07,US,100,total postings,Production & Manufacturing
2020-02-08,US,102.04,new postings,Production & Manufacturing
2020-02-08,US,100.03,total postings,Production & Manufacturing
2020-02-09,US,102.05,new postings,Production & Manufacturing
2020-02-09,US,100.03,total postings,Production & Manufacturing
2020-02-10,US,102.09,new postings,Production & Manufacturing
2020-02-10,US,100.01,total postings,Production & Manufacturing
2020-02-11,US,102.6,new postings,Production & Manufacturing
2020-02-11,US,100.01,total postings,Production & Manufacturing
2020-02-12,US,102.63,new postings,Production & Manufacturing
2020-02-12,US,100.02,total postings,Production & Manufacturing
2020-02-13,US,103.17,new postings,Production & Manufacturing
2020-02-13,US,100.04,total postings,Production & Manufacturing
2020-02-14,US,103.26,new postings,Production & Manufacturing
2020-02-14,US,100.08,total postings,Production & Manufacturing
2020-02-15,US,103.83,new postings,Production & Manufacturing
2020-02-15,US,100.1,total postings,Production & Manufacturing
2020-02-16,US,104.1,new postings,Production & Manufacturing
2020-02-16,US,100.22,total postings,Production & Manufacturing
2020-02-17,US,104.44,new postings,Production & Manufacturing
2020-02-17,US,100.34,total postings,Production & Manufacturing
2020-02-18,US,104.48,new postings,Production & Manufacturing
2020-02-18,US,100.33,total postings,Production & Manufacturing
2020-02-19,US,105.08,new postings,Production & Manufacturing
2020-02-19,US,100.33,total postings,Production & Manufacturing
2020-02-20,US,105.34,new postings,Production & Manufacturing
2020-02-20,US,100.38,total postings,Production & Manufacturing
2020-02-21,US,106.31,new postings,Production & Manufacturing
2020-02-21,US,100.42,total postings,Production & Manufacturing
2020-02-22,US,106.78,new postings,Production & Manufacturing
2020-02-22,US,100.3,total postings,Production & Manufacturing
2020-02-23,US,107.23,new postings,Production & Manufacturing
2020-02-23,US,100.3,total postings,Production & Manufacturing
2020-02-24,US,107.29,new postings,Production & Manufacturing
2020-02-24,US,100.23,total postings,Production & Manufacturing
2020-02-25,US,108,new postings,Production & Manufacturing
2020-02-25,US,100.27,total postings,Production & Manufacturing
2020-02-26,US,107.71,new postings,Production & Manufacturing
2020-02-26,US,100.35,total postings,Production & Manufacturing
2020-02-27,US,107.5,new postings,Production & Manufacturing
2020-02-27,US,100.3,total postings,Production & Manufacturing
2020-02-28,US,106.86,new postings,Production & Manufacturing
2020-02-28,US,100.31,total postings,Production & Manufacturing
2020-02-29,US,106.54,new postings,Production & Manufacturing
2020-02-29,US,100.46,total postings,Production & Manufacturing
2020-03-01,US,106.2,new postings,Production & Manufacturing
2020-03-01,US,100.48,total postings,Production & Manufacturing
2020-03-02,US,106.2,new postings,Production & Manufacturing
2020-03-02,US,100.54,total postings,Production & Manufacturing
2020-03-03,US,105.35,new postings,Production & Manufacturing
2020-03-03,US,100.55,total postings,Production & Manufacturing
2020-03-04,US,105.38,new postings,Production & Manufacturing
2020-03-04,US,100.55,total postings,Production & Manufacturing
2020-03-05,US,105.51,new postings,Production & Manufacturing
2020-03-05,US,100.58,total postings,Production & Manufacturing
2020-03-06,US,105.39,new postings,Production & Manufacturing
2020-03-06,US,100.6,total postings,Production & Manufacturing
2020-03-07,US,104.67,new postings,Production & Manufacturing
2020-03-07,US,100.56,total postings,Production & Manufacturing
2020-03-08,US,104.33,new postings,Production & Manufacturing
2020-03-08,US,100.43,total postings,Production & Manufacturing
2020-03-09,US,103.68,new postings,Production & Manufacturing
2020-03-09,US,100.24,total postings,Production & Manufacturing
2020-03-10,US,104.35,new postings,Production & Manufacturing
2020-03-10,US,100.27,total postings,Production & Manufacturing
2020-03-11,US,104.47,new postings,Production & Manufacturing
2020-03-11,US,100.25,total postings,Production & Manufacturing
2020-03-12,US,103.93,new postings,Production & Manufacturing
2020-03-12,US,100.24,total postings,Production & Manufacturing
2020-03-13,US,103.48,new postings,Production & Manufacturing
2020-03-13,US,100.12,total postings,Production & Manufacturing
2020-03-14,US,103.15,new postings,Production & Manufacturing
2020-03-14,US,100.03,total postings,Production & Manufacturing
2020-03-15,US,102.74,new postings,Production & Manufacturing
2020-03-15,US,99.93,total postings,Production & Manufacturing
2020-03-16,US,102.82,new postings,Production & Manufacturing
2020-03-16,US,99.92,total postings,Production & Manufacturing
2020-03-17,US,99.37,new postings,Production & Manufacturing
2020-03-17,US,99.5,total postings,Production & Manufacturing
2020-03-18,US,95.32,new postings,Production & Manufacturing
2020-03-18,US,98.82,total postings,Production & Manufacturing
2020-03-19,US,90.81,new postings,Production & Manufacturing
2020-03-19,US,97.89,total postings,Production & Manufacturing
2020-03-20,US,86.12,new postings,Production & Manufacturing
2020-03-20,US,96.75,total postings,Production & Manufacturing
2020-03-21,US,81.16,new postings,Production & Manufacturing
2020-03-21,US,95.3,total postings,Production & Manufacturing
2020-03-22,US,76.02,new postings,Production & Manufacturing
2020-03-22,US,93.93,total postings,Production & Manufacturing
2020-03-23,US,70.62,new postings,Production & Manufacturing
2020-03-23,US,92.45,total postings,Production & Manufacturing
2020-03-24,US,68.3,new postings,Production & Manufacturing
2020-03-24,US,90.94,total postings,Production & Manufacturing
