date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Project Management
2020-02-01,US,100,total postings,Project Management
2020-02-02,US,100.01,total postings,Project Management
2020-02-02,US,100.6,new postings,Project Management
2020-02-03,US,101.48,new postings,Project Management
2020-02-03,US,100.04,total postings,Project Management
2020-02-04,US,99.99,total postings,Project Management
2020-02-04,US,101.49,new postings,Project Management
2020-02-05,US,101.29,new postings,Project Management
2020-02-05,US,99.99,total postings,Project Management
2020-02-06,US,100.04,total postings,Project Management
2020-02-06,US,101.53,new postings,Project Management
2020-02-07,US,100.04,total postings,Project Management
2020-02-07,US,102.02,new postings,Project Management
2020-02-08,US,102.52,new postings,Project Management
2020-02-08,US,100.06,total postings,Project Management
2020-02-09,US,100.01,total postings,Project Management
2020-02-09,US,102.9,new postings,Project Management
2020-02-10,US,100.03,total postings,Project Management
2020-02-10,US,103.13,new postings,Project Management
2020-02-11,US,103.42,new postings,Project Management
2020-02-11,US,99.99,total postings,Project Management
2020-02-12,US,99.88,total postings,Project Management
2020-02-12,US,103.56,new postings,Project Management
2020-02-13,US,99.82,total postings,Project Management
2020-02-13,US,103.57,new postings,Project Management
2020-02-14,US,99.78,total postings,Project Management
2020-02-14,US,103.17,new postings,Project Management
2020-02-15,US,102.91,new postings,Project Management
2020-02-15,US,99.73,total postings,Project Management
2020-02-16,US,99.83,total postings,Project Management
2020-02-16,US,102.9,new postings,Project Management
2020-02-17,US,99.88,total postings,Project Management
2020-02-17,US,103.14,new postings,Project Management
2020-02-18,US,103.02,new postings,Project Management
2020-02-18,US,99.84,total postings,Project Management
2020-02-19,US,99.88,total postings,Project Management
2020-02-19,US,103.15,new postings,Project Management
2020-02-20,US,103.13,new postings,Project Management
2020-02-20,US,99.98,total postings,Project Management
2020-02-21,US,103.57,new postings,Project Management
2020-02-21,US,100.03,total postings,Project Management
2020-02-22,US,103.57,new postings,Project Management
2020-02-22,US,99.96,total postings,Project Management
2020-02-23,US,100.02,total postings,Project Management
2020-02-23,US,103.51,new postings,Project Management
2020-02-24,US,103.27,new postings,Project Management
2020-02-24,US,100.07,total postings,Project Management
2020-02-25,US,104.14,new postings,Project Management
2020-02-25,US,100.29,total postings,Project Management
2020-02-26,US,100.42,total postings,Project Management
2020-02-26,US,104.9,new postings,Project Management
2020-02-27,US,100.46,total postings,Project Management
