date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Retail
2020-02-01,US,100,total postings,Retail
2020-02-02,US,99.9,new postings,Retail
2020-02-02,US,99.67,total postings,Retail
2020-02-03,US,100.59,new postings,Retail
2020-02-03,US,99.13,total postings,Retail
2020-02-04,US,100.91,new postings,Retail
2020-02-04,US,99.03,total postings,Retail
2020-02-05,US,101.84,new postings,Retail
2020-02-05,US,98.88,total postings,Retail
2020-02-06,US,102.23,new postings,Retail
2020-02-06,US,98.72,total postings,Retail
2020-02-07,US,100.26,new postings,Retail
2020-02-07,US,97.9,total postings,Retail
2020-02-08,US,102.21,new postings,Retail
2020-02-08,US,97.85,total postings,Retail
2020-02-09,US,104.2,new postings,Retail
2020-02-09,US,97.71,total postings,Retail
2020-02-10,US,106.1,new postings,Retail
2020-02-10,US,97.76,total postings,Retail
2020-02-11,US,108.58,new postings,Retail
2020-02-11,US,97.53,total postings,Retail
2020-02-12,US,110.65,new postings,Retail
2020-02-12,US,97.29,total postings,Retail
2020-02-13,US,112.51,new postings,Retail
2020-02-13,US,97.17,total postings,Retail
2020-02-14,US,116.64,new postings,Retail
2020-02-14,US,97.55,total postings,Retail
2020-02-15,US,116.69,new postings,Retail
2020-02-15,US,97.5,total postings,Retail
2020-02-16,US,116.36,new postings,Retail
2020-02-16,US,97.58,total postings,Retail
2020-02-17,US,115.88,new postings,Retail
2020-02-17,US,97.83,total postings,Retail
2020-02-18,US,114.07,new postings,Retail
2020-02-18,US,97.94,total postings,Retail
2020-02-19,US,112.39,new postings,Retail
2020-02-19,US,98.21,total postings,Retail
2020-02-20,US,111.24,new postings,Retail
2020-02-20,US,98.39,total postings,Retail
2020-02-21,US,110.73,new postings,Retail
2020-02-21,US,98.84,total postings,Retail
2020-02-22,US,109.65,new postings,Retail
2020-02-22,US,98.87,total postings,Retail
2020-02-23,US,107.88,new postings,Retail
2020-02-23,US,99.04,total postings,Retail
2020-02-24,US,106.14,new postings,Retail
2020-02-24,US,99.06,total postings,Retail
2020-02-25,US,105.32,new postings,Retail
2020-02-25,US,99.17,total postings,Retail
2020-02-26,US,104.72,new postings,Retail
2020-02-26,US,99.08,total postings,Retail
2020-02-27,US,103.75,new postings,Retail
2020-02-27,US,99.06,total postings,Retail
2020-02-28,US,102.81,new postings,Retail
2020-02-28,US,98.95,total postings,Retail
2020-02-29,US,103.18,new postings,Retail
2020-02-29,US,98.98,total postings,Retail
2020-03-01,US,103.97,new postings,Retail
2020-03-01,US,98.74,total postings,Retail
2020-03-02,US,103.97,new postings,Retail
2020-03-02,US,98.58,total postings,Retail
2020-03-03,US,103.97,new postings,Retail
2020-03-03,US,98.43,total postings,Retail
2020-03-04,US,103.5,new postings,Retail
2020-03-04,US,98.23,total postings,Retail
2020-03-05,US,102.69,new postings,Retail
2020-03-05,US,98.05,total postings,Retail
2020-03-06,US,101.83,new postings,Retail
2020-03-06,US,97.84,total postings,Retail
2020-03-07,US,97.48,new postings,Retail
2020-03-07,US,97.2,total postings,Retail
2020-03-08,US,96.41,new postings,Retail
2020-03-08,US,97.11,total postings,Retail
2020-03-09,US,96.82,new postings,Retail
2020-03-09,US,96.78,total postings,Retail
2020-03-10,US,97.46,new postings,Retail
2020-03-10,US,96.67,total postings,Retail
2020-03-11,US,98.1,new postings,Retail
2020-03-11,US,96.39,total postings,Retail
2020-03-12,US,99.89,new postings,Retail
2020-03-12,US,96.03,total postings,Retail
2020-03-13,US,101.36,new postings,Retail
2020-03-13,US,95.66,total postings,Retail
2020-03-14,US,105.24,new postings,Retail
2020-03-14,US,95.75,total postings,Retail
2020-03-15,US,103.85,new postings,Retail
2020-03-15,US,95.32,total postings,Retail
2020-03-16,US,102.49,new postings,Retail
2020-03-16,US,95.06,total postings,Retail
2020-03-17,US,99.25,new postings,Retail
2020-03-17,US,94.5,total postings,Retail
2020-03-18,US,95.43,new postings,Retail
2020-03-18,US,94.29,total postings,Retail
2020-03-19,US,93.64,new postings,Retail
2020-03-19,US,94.28,total postings,Retail
2020-03-20,US,91.47,new postings,Retail
2020-03-20,US,94.05,total postings,Retail
2020-03-21,US,90.79,new postings,Retail
2020-03-21,US,93.57,total postings,Retail
2020-03-22,US,93.15,new postings,Retail
2020-03-22,US,93.18,total postings,Retail
2020-03-23,US,94.23,new postings,Retail
2020-03-23,US,92.8,total postings,Retail
2020-03-24,US,96.68,new postings,Retail
2020-03-24,US,92.44,total postings,Retail
2020-03-25,US,98.97,new postings,Retail
2020-03-25,US,91.74,total postings,Retail
2020-03-26,US,96,new postings,Retail
2020-03-26,US,90.6,total postings,Retail
2020-03-27,US,91.96,new postings,Retail
2020-03-27,US,89.33,total postings,Retail
2020-03-28,US,86.1,new postings,Retail
2020-03-28,US,88.37,total postings,Retail
2020-03-29,US,79.05,new postings,Retail
2020-03-29,US,87.32,total postings,Retail
2020-03-30,US,72.45,new postings,Retail
2020-03-30,US,86.1,total postings,Retail
2020-03-31,US,65.64,new postings,Retail
2020-03-31,US,85.01,total postings,Retail
2020-04-01,US,59.03,new postings,Retail
2020-04-01,US,83.57,total postings,Retail
2020-04-02,US,54.07,new postings,Retail
2020-04-02,US,82.3,total postings,Retail
2020-04-03,US,50.68,new postings,Retail
2020-04-03,US,81.23,total postings,Retail
2020-04-04,US,46.97,new postings,Retail
2020-04-04,US,79.7,total postings,Retail
2020-04-05,US,42.79,new postings,Retail
2020-04-05,US,78.31,total postings,Retail
2020-04-06,US,39.07,new postings,Retail
2020-04-06,US,77.2,total postings,Retail
2020-04-07,US,35.38,new postings,Retail
2020-04-07,US,75.78,total postings,Retail
2020-04-08,US,34.08,new postings,Retail
2020-04-08,US,75.06,total postings,Retail
2020-04-09,US,35.2,new postings,Retail
2020-04-09,US,74.42,total postings,Retail
2020-04-10,US,36.63,new postings,Retail
2020-04-10,US,73.53,total postings,Retail
2020-04-11,US,39.15,new postings,Retail
2020-04-11,US,73.03,total postings,Retail
2020-04-12,US,42.41,new postings,Retail
2020-04-12,US,72.48,total postings,Retail
2020-04-13,US,46.11,new postings,Retail
2020-04-13,US,71.92,total postings,Retail
2020-04-14,US,49.84,new postings,Retail
2020-04-14,US,71.69,total postings,Retail
2020-04-15,US,51.33,new postings,Retail
2020-04-15,US,71.21,total postings,Retail
2020-04-16,US,51.7,new postings,Retail
2020-04-16,US,70.52,total postings,Retail
2020-04-17,US,51.43,new postings,Retail
2020-04-17,US,69.86,total postings,Retail
2020-04-18,US,50.84,new postings,Retail
2020-04-18,US,69.13,total postings,Retail
2020-04-19,US,50.09,new postings,Retail
2020-04-19,US,68.36,total postings,Retail
2020-04-20,US,48.4,new postings,Retail
2020-04-20,US,67.76,total postings,Retail
2020-04-21,US,46.54,new postings,Retail
2020-04-21,US,67.01,total postings,Retail
2020-04-22,US,45.81,new postings,Retail
2020-04-22,US,66.36,total postings,Retail
2020-04-23,US,44.5,new postings,Retail
2020-04-23,US,65.64,total postings,Retail
2020-04-24,US,44.23,new postings,Retail
2020-04-24,US,65.35,total postings,Retail
2020-04-25,US,44.35,new postings,Retail
2020-04-25,US,65.14,total postings,Retail
2020-04-26,US,44.88,new postings,Retail
2020-04-26,US,64.99,total postings,Retail
2020-04-27,US,45.72,new postings,Retail
2020-04-27,US,64.53,total postings,Retail
2020-04-28,US,47.15,new postings,Retail
2020-04-28,US,64.08,total postings,Retail
2020-04-29,US,48.23,new postings,Retail
2020-04-29,US,63.66,total postings,Retail
2020-04-30,US,51.06,new postings,Retail
2020-04-30,US,63.56,total postings,Retail
2020-05-01,US,52.35,new postings,Retail
2020-05-01,US,63.31,total postings,Retail
2020-05-02,US,52.71,new postings,Retail
2020-05-02,US,62.79,total postings,Retail
2020-05-03,US,52.88,new postings,Retail
2020-05-03,US,62.24,total postings,Retail
2020-05-04,US,52.99,new postings,Retail
2020-05-04,US,61.78,total postings,Retail
2020-05-05,US,52.81,new postings,Retail
2020-05-05,US,61.36,total postings,Retail
2020-05-06,US,54.4,new postings,Retail
2020-05-06,US,61.18,total postings,Retail
2020-05-07,US,52.12,new postings,Retail
2020-05-07,US,60.55,total postings,Retail
2020-05-08,US,53.08,new postings,Retail
2020-05-08,US,60.52,total postings,Retail
2020-05-09,US,55.6,new postings,Retail
2020-05-09,US,60.9,total postings,Retail
2020-05-10,US,57.54,new postings,Retail
2020-05-10,US,61.27,total postings,Retail
2020-05-11,US,57.96,new postings,Retail
2020-05-11,US,61.39,total postings,Retail
2020-05-12,US,58.78,new postings,Retail
2020-05-12,US,61.65,total postings,Retail
2020-05-13,US,58.08,new postings,Retail
2020-05-13,US,61.43,total postings,Retail
2020-05-14,US,61.07,new postings,Retail
2020-05-14,US,62.08,total postings,Retail
2020-05-15,US,62.38,new postings,Retail
