date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,new postings,Sales
2020-02-01,US,100,total postings,Sales
2020-02-02,US,100.6,new postings,Sales
2020-02-02,US,99.84,total postings,Sales
2020-02-03,US,101.11,new postings,Sales
2020-02-03,US,99.71,total postings,Sales
2020-02-04,US,100.63,new postings,Sales
2020-02-04,US,99.6,total postings,Sales
2020-02-05,US,100.55,new postings,Sales
2020-02-05,US,99.53,total postings,Sales
2020-02-06,US,100.1,new postings,Sales
2020-02-06,US,99.49,total postings,Sales
2020-02-07,US,98.75,new postings,Sales
2020-02-07,US,99.2,total postings,Sales
2020-02-08,US,98.96,new postings,Sales
2020-02-08,US,99.18,total postings,Sales
2020-02-09,US,99.54,new postings,Sales
2020-02-09,US,99.22,total postings,Sales
2020-02-10,US,100.53,new postings,Sales
2020-02-10,US,99.26,total postings,Sales
2020-02-11,US,101.9,new postings,Sales
2020-02-11,US,99.28,total postings,Sales
2020-02-12,US,103.89,new postings,Sales
2020-02-12,US,99.3,total postings,Sales
2020-02-13,US,105.74,new postings,Sales
2020-02-13,US,99.26,total postings,Sales
2020-02-14,US,108.35,new postings,Sales
2020-02-14,US,99.46,total postings,Sales
2020-02-15,US,108.17,new postings,Sales
2020-02-15,US,99.33,total postings,Sales
2020-02-16,US,107.97,new postings,Sales
2020-02-16,US,99.25,total postings,Sales
2020-02-17,US,107.22,new postings,Sales
2020-02-17,US,99.09,total postings,Sales
2020-02-18,US,105.94,new postings,Sales
2020-02-18,US,98.93,total postings,Sales
2020-02-19,US,103.96,new postings,Sales
2020-02-19,US,98.78,total postings,Sales
2020-02-20,US,102.38,new postings,Sales
2020-02-20,US,98.82,total postings,Sales
2020-02-21,US,101.4,new postings,Sales
2020-02-21,US,98.86,total postings,Sales
2020-02-22,US,101.19,new postings,Sales
2020-02-22,US,98.83,total postings,Sales
2020-02-23,US,100.83,new postings,Sales
2020-02-23,US,98.95,total postings,Sales
2020-02-24,US,100.55,new postings,Sales
2020-02-24,US,99.02,total postings,Sales
2020-02-25,US,101.47,new postings,Sales
2020-02-25,US,99.2,total postings,Sales
2020-02-26,US,102.06,new postings,Sales
2020-02-26,US,99.33,total postings,Sales
2020-02-27,US,102.69,new postings,Sales
2020-02-27,US,99.34,total postings,Sales
2020-02-28,US,103.14,new postings,Sales
2020-02-28,US,99.4,total postings,Sales
2020-02-29,US,104.46,new postings,Sales
2020-02-29,US,99.65,total postings,Sales
2020-03-01,US,105.42,new postings,Sales
2020-03-01,US,99.76,total postings,Sales
