date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Scientific Research & Development
2020-02-01,US,100,new postings,Scientific Research & Development
2020-02-02,US,100,total postings,Scientific Research & Development
2020-02-02,US,100.76,new postings,Scientific Research & Development
2020-02-03,US,99.94,total postings,Scientific Research & Development
2020-02-03,US,101.34,new postings,Scientific Research & Development
2020-02-04,US,99.93,total postings,Scientific Research & Development
2020-02-04,US,100.92,new postings,Scientific Research & Development
2020-02-05,US,99.89,total postings,Scientific Research & Development
2020-02-05,US,100.95,new postings,Scientific Research & Development
2020-02-06,US,99.93,total postings,Scientific Research & Development
2020-02-06,US,101.5,new postings,Scientific Research & Development
2020-02-07,US,100,total postings,Scientific Research & Development
2020-02-07,US,102.19,new postings,Scientific Research & Development
2020-02-08,US,99.98,total postings,Scientific Research & Development
2020-02-08,US,102.55,new postings,Scientific Research & Development
2020-02-09,US,99.94,total postings,Scientific Research & Development
2020-02-09,US,102.82,new postings,Scientific Research & Development
2020-02-10,US,99.91,total postings,Scientific Research & Development
2020-02-10,US,102.92,new postings,Scientific Research & Development
2020-02-11,US,99.84,total postings,Scientific Research & Development
2020-02-11,US,103.58,new postings,Scientific Research & Development
2020-02-12,US,99.79,total postings,Scientific Research & Development
2020-02-12,US,104.27,new postings,Scientific Research & Development
2020-02-13,US,99.7,total postings,Scientific Research & Development
2020-02-13,US,104.44,new postings,Scientific Research & Development
2020-02-14,US,99.77,total postings,Scientific Research & Development
2020-02-14,US,104.89,new postings,Scientific Research & Development
2020-02-15,US,99.69,total postings,Scientific Research & Development
2020-02-15,US,105.45,new postings,Scientific Research & Development
2020-02-16,US,99.83,total postings,Scientific Research & Development
2020-02-16,US,106.51,new postings,Scientific Research & Development
2020-02-17,US,99.98,total postings,Scientific Research & Development
2020-02-17,US,108.18,new postings,Scientific Research & Development
2020-02-18,US,100.12,total postings,Scientific Research & Development
2020-02-18,US,108.44,new postings,Scientific Research & Development
2020-02-19,US,100.28,total postings,Scientific Research & Development
2020-02-19,US,107.94,new postings,Scientific Research & Development
2020-02-20,US,100.4,total postings,Scientific Research & Development
2020-02-20,US,107.34,new postings,Scientific Research & Development
2020-02-21,US,100.46,total postings,Scientific Research & Development
2020-02-21,US,107.5,new postings,Scientific Research & Development
2020-02-22,US,100.46,total postings,Scientific Research & Development
2020-02-22,US,106.99,new postings,Scientific Research & Development
2020-02-23,US,100.55,total postings,Scientific Research & Development
2020-02-23,US,106.24,new postings,Scientific Research & Development
2020-02-24,US,100.57,total postings,Scientific Research & Development
2020-02-24,US,104.76,new postings,Scientific Research & Development
2020-02-25,US,100.69,total postings,Scientific Research & Development
2020-02-25,US,105.43,new postings,Scientific Research & Development
2020-02-26,US,100.78,total postings,Scientific Research & Development
2020-02-26,US,106.47,new postings,Scientific Research & Development
2020-02-27,US,100.95,total postings,Scientific Research & Development
2020-02-27,US,107.7,new postings,Scientific Research & Development
2020-02-28,US,101.1,total postings,Scientific Research & Development
2020-02-28,US,108.02,new postings,Scientific Research & Development
2020-02-29,US,101.5,total postings,Scientific Research & Development
2020-02-29,US,109.08,new postings,Scientific Research & Development
2020-03-01,US,101.76,total postings,Scientific Research & Development
2020-03-01,US,110.09,new postings,Scientific Research & Development
2020-03-02,US,102.02,total postings,Scientific Research & Development
2020-03-02,US,110.88,new postings,Scientific Research & Development
2020-03-03,US,102.27,total postings,Scientific Research & Development
2020-03-03,US,111.01,new postings,Scientific Research & Development
2020-03-04,US,102.46,total postings,Scientific Research & Development
2020-03-04,US,111.13,new postings,Scientific Research & Development
2020-03-05,US,102.56,total postings,Scientific Research & Development
2020-03-05,US,110.71,new postings,Scientific Research & Development
2020-03-06,US,102.72,total postings,Scientific Research & Development
2020-03-06,US,110.29,new postings,Scientific Research & Development
