date,jobcountry,indeed_job_postings_index,variable,display_name
2020-02-01,US,100,total postings,Software Development
2020-02-01,US,100,new postings,Software Development
2020-02-02,US,99.84,total postings,Software Development
2020-02-02,US,100.5,new postings,Software Development
2020-02-03,US,99.73,total postings,Software Development
2020-02-03,US,101.09,new postings,Software Development
2020-02-04,US,99.55,total postings,Software Development
2020-02-04,US,100.91,new postings,Software Development
2020-02-05,US,99.46,total postings,Software Development
2020-02-05,US,101.15,new postings,Software Development
2020-02-06,US,99.46,total postings,Software Development
2020-02-06,US,101.69,new postings,Software Development
2020-02-07,US,99.44,total postings,Software Development
2020-02-07,US,102.5,new postings,Software Development
2020-02-08,US,99.51,total postings,Software Development
2020-02-08,US,103.21,new postings,Software Development
2020-02-09,US,99.54,total postings,Software Development
2020-02-09,US,103.41,new postings,Software Development
2020-02-10,US,99.61,total postings,Software Development
2020-02-10,US,103.91,new postings,Software Development
2020-02-11,US,99.65,total postings,Software Development
2020-02-11,US,104.21,new postings,Software Development
2020-02-12,US,99.65,total postings,Software Development
2020-02-12,US,104.81,new postings,Software Development
2020-02-13,US,99.62,total postings,Software Development
2020-02-13,US,104.99,new postings,Software Development
2020-02-14,US,99.63,total postings,Software Development
2020-02-14,US,104.72,new postings,Software Development
2020-02-15,US,99.6,total postings,Software Development
2020-02-15,US,104.57,new postings,Software Development
2020-02-16,US,99.7,total postings,Software Development
2020-02-16,US,105.28,new postings,Software Development
2020-02-17,US,99.71,total postings,Software Development
2020-02-17,US,105.81,new postings,Software Development
2020-02-18,US,99.69,total postings,Software Development
2020-02-18,US,105.89,new postings,Software Development
2020-02-19,US,99.68,total postings,Software Development
2020-02-19,US,105.57,new postings,Software Development
2020-02-20,US,99.74,total postings,Software Development
2020-02-20,US,105.39,new postings,Software Development
2020-02-21,US,99.74,total postings,Software Development
2020-02-21,US,105.92,new postings,Software Development
2020-02-22,US,99.59,total postings,Software Development
2020-02-22,US,106.04,new postings,Software Development
2020-02-23,US,99.59,total postings,Software Development
2020-02-23,US,105.8,new postings,Software Development
2020-02-24,US,99.54,total postings,Software Development
2020-02-24,US,105.48,new postings,Software Development
2020-02-25,US,99.63,total postings,Software Development
2020-02-25,US,106.56,new postings,Software Development
2020-02-26,US,99.65,total postings,Software Development
2020-02-26,US,107.28,new postings,Software Development
2020-02-27,US,99.66,total postings,Software Development
2020-02-27,US,108.09,new postings,Software Development
2020-02-28,US,99.72,total postings,Software Development
2020-02-28,US,108.42,new postings,Software Development
2020-02-29,US,99.98,total postings,Software Development
2020-02-29,US,109.41,new postings,Software Development
2020-03-01,US,100.11,total postings,Software Development
2020-03-01,US,110.49,new postings,Software Development
2020-03-02,US,100.3,total postings,Software Development
2020-03-02,US,111.72,new postings,Software Development
2020-03-03,US,100.44,total postings,Software Development
2020-03-03,US,112.35,new postings,Software Development
2020-03-04,US,100.58,total postings,Software Development
2020-03-04,US,113.36,new postings,Software Development
2020-03-05,US,100.65,total postings,Software Development
2020-03-05,US,114.14,new postings,Software Development
2020-03-06,US,100.78,total postings,Software Development
2020-03-06,US,114.67,new postings,Software Development
2020-03-07,US,100.8,total postings,Software Development
2020-03-07,US,114.48,new postings,Software Development
2020-03-08,US,100.71,total postings,Software Development
2020-03-08,US,114.06,new postings,Software Development
2020-03-09,US,100.54,total postings,Software Development
2020-03-09,US,113.27,new postings,Software Development
2020-03-10,US,100.49,total postings,Software Development
2020-03-10,US,112.18,new postings,Software Development
2020-03-11,US,100.4,total postings,Software Development
2020-03-11,US,110.95,new postings,Software Development
2020-03-12,US,100.39,total postings,Software Development
2020-03-12,US,109.64,new postings,Software Development
2020-03-13,US,100.26,total postings,Software Development
2020-03-13,US,108.39,new postings,Software Development
2020-03-14,US,100.24,total postings,Software Development
2020-03-14,US,107.08,new postings,Software Development
2020-03-15,US,100.2,total postings,Software Development
2020-03-15,US,105.76,new postings,Software Development
2020-03-16,US,100.28,total postings,Software Development
2020-03-16,US,105.08,new postings,Software Development
2020-03-17,US,100.13,total postings,Software Development
2020-03-17,US,103.53,new postings,Software Development
2020-03-18,US,99.98,total postings,Software Development
2020-03-18,US,101.99,new postings,Software Development
2020-03-19,US,99.69,total postings,Software Development
2020-03-19,US,100.23,new postings,Software Development
2020-03-20,US,99.34,total postings,Software Development
2020-03-20,US,97.8,new postings,Software Development
2020-03-21,US,98.74,total postings,Software Development
2020-03-21,US,94.85,new postings,Software Development
2020-03-22,US,98.22,total postings,Software Development
2020-03-22,US,91.82,new postings,Software Development
2020-03-23,US,97.55,total postings,Software Development
2020-03-23,US,88.16,new postings,Software Development
2020-03-24,US,97.05,total postings,Software Development
2020-03-24,US,87.02,new postings,Software Development
2020-03-25,US,96.37,total postings,Software Development
2020-03-25,US,84.82,new postings,Software Development
2020-03-26,US,95.37,total postings,Software Development
2020-03-26,US,82.28,new postings,Software Development
2020-03-27,US,93.95,total postings,Software Development
2020-03-27,US,79.45,new postings,Software Development
2020-03-28,US,92.61,total postings,Software Development
2020-03-28,US,77.42,new postings,Software Development
2020-03-29,US,91.12,total postings,Software Development
2020-03-29,US,75.53,new postings,Software Development
2020-03-30,US,89.74,total postings,Software Development
2020-03-30,US,74.11,new postings,Software Development
2020-03-31,US,88.24,total postings,Software Development
2020-03-31,US,71.13,new postings,Software Development
2020-04-01,US,86.79,total postings,Software Development
2020-04-01,US,69.35,new postings,Software Development
2020-04-02,US,85.57,total postings,Software Development
2020-04-02,US,68.51,new postings,Software Development
2020-04-03,US,84.85,total postings,Software Development
2020-04-03,US,68.86,new postings,Software Development
2020-04-04,US,84.04,total postings,Software Development
2020-04-04,US,68.84,new postings,Software Development
2020-04-05,US,83.25,total postings,Software Development
2020-04-05,US,68.92,new postings,Software Development
2020-04-06,US,82.38,total postings,Software Development
2020-04-06,US,68.51,new postings,Software Development
2020-04-07,US,81.42,total postings,Software Development
2020-04-07,US,67.75,new postings,Software Development
2020-04-08,US,80.66,total postings,Software Development
2020-04-08,US,67.3,new postings,Software Development
2020-04-09,US,79.87,total postings,Software Development
2020-04-09,US,66.61,new postings,Software Development
2020-04-10,US,79.13,total postings,Software Development
2020-04-10,US,65.79,new postings,Software Development
2020-04-11,US,78.66,total postings,Software Development
2020-04-11,US,65.59,new postings,Software Development
2020-04-12,US,78.2,total postings,Software Development
2020-04-12,US,64.93,new postings,Software Development
2020-04-13,US,77.82,total postings,Software Development
2020-04-13,US,64.79,new postings,Software Development
2020-04-14,US,77.48,total postings,Software Development
2020-04-14,US,64.71,new postings,Software Development
2020-04-15,US,77.05,total postings,Software Development
2020-04-15,US,64.32,new postings,Software Development
2020-04-16,US,76.66,total postings,Software Development
2020-04-16,US,63.97,new postings,Software Development
2020-04-17,US,76.23,total postings,Software Development
2020-04-17,US,63.66,new postings,Software Development
2020-04-18,US,75.74,total postings,Software Development
2020-04-18,US,63.52,new postings,Software Development
2020-04-19,US,75.18,total postings,Software Development
2020-04-19,US,63.51,new postings,Software Development
2020-04-20,US,74.74,total postings,Software Development
2020-04-20,US,63.34,new postings,Software Development
2020-04-21,US,74.37,total postings,Software Development
2020-04-21,US,63.72,new postings,Software Development
2020-04-22,US,73.97,total postings,Software Development
2020-04-22,US,64.43,new postings,Software Development
2020-04-23,US,73.68,total postings,Software Development
2020-04-23,US,65.22,new postings,Software Development
2020-04-24,US,73.34,total postings,Software Development
2020-04-24,US,65.85,new postings,Software Development
2020-04-25,US,72.93,total postings,Software Development
2020-04-25,US,65.91,new postings,Software Development
2020-04-26,US,72.61,total postings,Software Development
2020-04-26,US,66.18,new postings,Software Development
2020-04-27,US,72.18,total postings,Software Development
2020-04-27,US,66.44,new postings,Software Development
2020-04-28,US,71.75,total postings,Software Development
2020-04-28,US,65.7,new postings,Software Development
2020-04-29,US,71.28,total postings,Software Development
2020-04-29,US,65.1,new postings,Software Development
2020-04-30,US,70.76,total postings,Software Development
2020-04-30,US,64.22,new postings,Software Development
2020-05-01,US,70.28,total postings,Software Development
2020-05-01,US,63.45,new postings,Software Development
2020-05-02,US,69.89,total postings,Software Development
2020-05-02,US,62.87,new postings,Software Development
2020-05-03,US,69.46,total postings,Software Development
2020-05-03,US,62.11,new postings,Software Development
2020-05-04,US,69.04,total postings,Software Development
2020-05-04,US,60.77,new postings,Software Development
2020-05-05,US,68.7,total postings,Software Development
2020-05-05,US,60.64,new postings,Software Development
2020-05-06,US,68.49,total postings,Software Development
2020-05-06,US,60.79,new postings,Software Development
2020-05-07,US,68.26,total postings,Software Development
2020-05-07,US,61.12,new postings,Software Development
2020-05-08,US,68.01,total postings,Software Development
2020-05-08,US,61.33,new postings,Software Development
2020-05-09,US,67.81,total postings,Software Development
2020-05-09,US,61.66,new postings,Software Development
2020-05-10,US,67.73,total postings,Software Development
2020-05-10,US,62.28,new postings,Software Development
2020-05-11,US,67.57,total postings,Software Development
2020-05-11,US,63.27,new postings,Software Development
2020-05-12,US,67.28,total postings,Software Development
2020-05-12,US,63.27,new postings,Software Development
2020-05-13,US,66.66,total postings,Software Development
2020-05-13,US,62.22,new postings,Software Development
2020-05-14,US,66.24,total postings,Software Development
2020-05-14,US,61.62,new postings,Software Development
2020-05-15,US,66.04,total postings,Software Development
2020-05-15,US,61.4,new postings,Software Development
2020-05-16,US,65.61,total postings,Software Development
2020-05-16,US,60.89,new postings,Software Development
2020-05-17,US,65.14,total postings,Software Development
2020-05-17,US,60.34,new postings,Software Development
2020-05-18,US,64.87,total postings,Software Development
2020-05-18,US,60.01,new postings,Software Development
2020-05-19,US,64.69,total postings,Software Development
2020-05-19,US,60.42,new postings,Software Development
2020-05-20,US,64.86,total postings,Software Development
2020-05-20,US,61.09,new postings,Software Development
2020-05-21,US,65.04,total postings,Software Development
2020-05-21,US,61.35,new postings,Software Development
2020-05-22,US,65.1,total postings,Software Development
2020-05-22,US,61.75,new postings,Software Development
2020-05-23,US,65.22,total postings,Software Development
2020-05-23,US,62.41,new postings,Software Development
2020-05-24,US,65.35,total postings,Software Development
2020-05-24,US,62.83,new postings,Software Development
2020-05-25,US,65.32,total postings,Software Development
2020-05-25,US,63.24,new postings,Software Development
2020-05-26,US,65.3,total postings,Software Development
2020-05-26,US,62.2,new postings,Software Development
2020-05-27,US,65.18,total postings,Software Development
2020-05-27,US,61.08,new postings,Software Development
2020-05-28,US,64.9,total postings,Software Development
2020-05-28,US,60.56,new postings,Software Development
2020-05-29,US,64.74,total postings,Software Development
2020-05-29,US,59.89,new postings,Software Development
2020-05-30,US,64.98,total postings,Software Development
2020-05-30,US,58.82,new postings,Software Development
